Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
PX4/PX4-Autopilot,75,2012-11-27T16:31:41Z,2012-12-02T06:55:55Z,TRUE,2012-12-02T06:55:55Z,3d4e80d9fecce3cc80f81e49585904f88f5d84c9,3,1,4d6fb3a037e1f58b02daa2e582931ab91d9b0f8b,,Added delay test to measure comm delays with a led scope,This adds a simple test to measure rates and delay end-to-end for wireless comms (offboard control) with a scope.
PX4/PX4-Autopilot,90,2012-12-02T03:37:59Z,2012-12-02T06:59:36Z,TRUE,2012-12-02T06:59:36Z,00d8ed7596d545921a45a549764f31033647d9c5,6,2,2a8ef50df4747f0242459bdc22f11a46410f43bb 269bd9f4038189716bd630031c90e98b421e5a79,,BlinkM driver,This is working well enough that I think other folks might want to play with it.
PX4/PX4-Autopilot,126,2013-01-02T07:26:59Z,2013-01-06T10:06:13Z,TRUE,2013-01-06T10:06:13Z,9386dd14a0a2409217f0274dc26f6784ff9e67db,16,11,63464a8959d90bd92c4998a80992c416b85c2057 0fff8aa23b477bebda9c1a79f5cd0b5eceeb95d1 890b1ac0689984cb6bc4638cc2aa8ec869d14f91 8ffba227718f6f7897abb5a1fd77f770f1f3db1f 3916230d8fc7185a7eefcc1640a68bacf3eac72b 73b787a8ddbc0e4d3cb1a5b92b7c6604b5dd6db1 920608bf3671662f94b4939ffdaf6fde2b08edff 219ab05a707d8f2795dc91f5884a42f20dd6a640 0134186420273170c14b80b8114ccd2474da1792 318609bf59083e4247dfd179a3bb36dc2eb9fb45 375d3c14d742248b434c080527886a95ea1d563f,,support external apps in build for APM,This makes it possible to have apps in an external tree  allowing APM to build its sketches on PX4 without having a modified Firmware tree
PX4/PX4-Autopilot,130,2013-01-05T23:56:03Z,2013-01-06T10:40:41Z,TRUE,2013-01-06T10:40:41Z,65b129b46013b424b4bc26238fa7e22a871d976e,21,11,476db468697089895c15ab151e58b71c5b3a2c95 22f5a1dc9423d04e70c109f74b1948536070598f bc432b1feb906e5c2895d35bf1430fa6bf004061 b167912b1b3137c494a5033fe0dea6bb373624d2 bd2f6b58e67245b4fbe6da272b8c59be3511c53b 9be1f999357edd37658c301d9dd5aaa1d8db26a7 d93fda20fd55746923d607e717f254bc92741eab 4eb7df6ff5b0015a825ca07c1206dd545b4567b5 803352e7225ace232ed4a419118956656f13b947 8eb8909a3c24c6028e4945e4a057d6d2f27f3d04 34d078b556bdd5f82bfcfbe8ce13d4c3b333e458,,Enables the PX4IO ADC from px4io adc integration branch,This branch contains px4io-adc-integration  but also refactors the readout of the battery status (new battery_status uORB topic  changes in commander app to read this message).  It should be safe to merge once it has been verified that FMU and IO both report valid voltages via MAVLink.
PX4/PX4-Autopilot,141,2013-01-09T10:06:58Z,2013-01-11T07:01:47Z,TRUE,2013-01-11T07:01:47Z,a4b25003022955d355f5e296acf48c42ac0031f4,67,10,435bae6542fa1f465e1f045b4ea264c53b594902 b78a430424f6cfef1a6889a729043688634059a1 3bb145f584298de3ac636be38be25d4b1235a8be 6f8081b5ea74d0749d67836e33e4bee78b887a53 e1a6f1b9107c67179c9499e252c16ed6ea4bc2da 16e49c447d788c73535a6dd36474673cbf9b8e4f fd75f19374c8ee918bbb59315906d3fe4067aac6 955ae0aa45fd56d8abc4f85fed315eb97e9ffc99 241a8357c0dcd32a21cf468b574cb766b60b0ab5 46cf2a538f3c48ad7aba4cfad2a47b406733f365,,Sdlog buffering,This changes the SD logger to an implementation with two threads  thread sync via pthread condition and locking.  The high-prio thread fills the ringbuffer  the low-prio thread empties it to microSD. This is to avoid loosing sensor messages or alternatively delaying controllers by SD I/O.
PX4/PX4-Autopilot,152,2013-01-13T07:01:11Z,2013-01-13T07:01:24Z,TRUE,2013-01-13T07:01:24Z,4066828f4ca281ecb50124b02b81f6e8fc7a277f,2,1,6d301710d97c3812a5f1e6c26415461b2fe92f58,,Suppress warnings from ARM s DSP_Lib code that are spamming developers t,...o no benefit.  fixes #149
PX4/PX4-Autopilot,150,2013-01-12T20:40:49Z,2013-01-13T21:54:47Z,TRUE,2013-01-13T21:54:47Z,0c040c8b496a2d5f695fb689c14e00bbacaf65a5,6,4,6d301710d97c3812a5f1e6c26415461b2fe92f58 5b07efdbeb8b6c6e7c3e5a86a2e55a2de345b579 1c63eda98bb89d0d206efb88195020f5822d7df8 dba244a8d48b8367c8ca14abaf5ff3b46ab7ad08,,Use the compiler to generate app dependencies,The NuttX dependency generator has a number of issues (doesn't handle sources in subdirectories  for example).  In most cases  we can ask the compiler to do it for us  so let's do that instead.
PX4/PX4-Autopilot,135,2013-01-06T22:01:07Z,2013-01-14T15:16:49Z,FALSE,none,26c9429cf5d4b80bfadbaca4a2eee666c9a4a7c2,20,88,c162f00f9d14a84c163d1156ed8bf4ea9fd76513 fa2e0f52579352867ec8c25bf8ae93fb2af6b595 658a61c79fef1d8e92b851a282e2519f95bd65e0 391bb314d99e85ffff6916824687af04c7768879 d5ceda0c4b86694da87c31d8e6b423e0d0090213 c25a5327b6529de4cd25ac219b2890aa9ecb3dcf 1f3ff1b755346eab6487fd02fb11eff0c76a82b5 b76cbcb47da27174e6c6345b717a4e243b4e8d23 f419e244c15c2d2e06756d96e4dd18bd061fb8bf 00a3c93199ef68e91b81a3426c75d9de89f3105a a2f8c134b3a539fd468b8255e7bcacb34d6203fe b44e327ca811f3497c3c8324bc338eb22d029f15 64c194318563affab9114b493e14d6e2b71b5c84 62de25193da13b8b6c30aa3b42851a8a18a0a2c9 f2293e93c43a37d2fe5e6ee5aa529b3dba2ddccb 9f4fce759929ef324033b57e5283c2e13fe64db8 926141074ad579c06f97e9e99570318f59eade30 f2af223d75bfe7aa019c40846964e4e55fa28ceb 3583829d72a546b9e1a4f658ed491cc543cdf475 f060637bcba2fa3b2add3f5e021bb4ec9a66f0ea 2c0b7c401401072559fa1202ef00123e75da1586 d1b5fec29302177bde41870e5be00b11c60f870e e077c41913edc7204fed85a55678fb5e90b0b360 e48dc73ae10d1d8d5336ca91d74a8c0cb83916f7 e8d8f1e6601c3929e540fa4780a0db373e89f68c 1fcaf0831aabb81afc408893643f0a91b62ca771 f53f08972025344cc3f15a03d8ed3633eb85022a 2e3cade797f26b0fa65eabf182c66821ac785b6c 3e7c4dc13292703bdea60338f8c6dbd45030bd3a 2e7cab4ac9ce6038a346bd41f78a1c604fd54d7d 2c62307ad350a1ec63d2af0f7edc3e1a4f8b4edf 061fa51603917a9c52fd9dfaec4c304ac61e4516 3936b984e715cc085cd65009ca5379f993a3933f 275fbd0082a8a9e38859d309efcd976b3a8d2f17 37eaba7b645e5612ea6ea2a03c367ab168ce68ad 3e9a257aeced4ac87abebb960ff352b268f060c6 d92f1b03cfb4352d0c6b34c3d86645895b6b4975 e60255abc94ae7089d4ad7466f26936a9819ba6c 8352d1b960a628039d623d23b3eb4488254e0b0b 9e2b8119b4a0e45969b79851a58e6d5b7c97f776 82f61ac2a25c0dd125de1d172b64f38e2eae886d 7a973c642abf79c743d4fffca5634011539b2b91 d6e70a63e5d384ecf4515ca0f5067532bcb38a2a 3373218bef992bb1d537408899050b3532c28470 776914300d2049fb82e99e432a1921080fabebcd 7672134a018004bbb92f20f9739c13fb0ff4f63b f66cbc134d17a8967b7087fc17aa70f6b8fdfcb5 8eb9e4df2d848c23f38959c8cc488f83ed8a5611 be061e37363a8bf3ef11c286f4cca15006af0370 f20c0aec127f477538b655b1afcc47739bfe92fe 214563d280346d287e97955761435999fb0e5cc8 f44ce453215b87590b670fc5fadbd460c1485077 96a7c6b768540c3ea4bef13e665fdc9f31d72966 01842ca49814ff571f2166b99eff4a52bd1c27f8 c590ffe3c695c907e69ab53adeaa37065bb4febf 7aa550363244eec4477d7024eba58304b9891af6 cc852251e6a48a7e26832434446d7a1233a2c46b e2302b3c69d66de7f85f369c5e8d94ae519f1933 a6cdb38c5c82c791598ed41509abf4eb2c7d39ad 84659455df8efd895d81076a7dfab08f92f2a910 490fd3b7ae338baefa4bc4810f6eac5c3135c45c 6e7ce88e9f7138f7bc53eb6dd2a34934ca6691f8 13bbf68d6791bcf075b128855326ab48bbd8bb8d 0d4f0f4578b6f1761de01df2b35ce0bfa44f2d0b a61d132b6ff6cc89b9e6a79ff45a6e56204d5928 8d1d55f9da20121b5a70b7bd1f6902da05affd04 c48eae4228d4bb290928e1e4c2533af12fa29dea a7ecf9e17f16bc0e4ec6d9123a97cc315a01650e 15e050d2f90c49496c3a4e1932da80998ac90134 e4e4b666f12fd33ad7ac67176c99316d6e5f2d68 a9e26f8ce388ad0144488f1348f90a8f8e9231d9 092d6edef276cad85a37be17c19c5cac5fdaeebe 8829612bb6cab8ada4ec185d45193064ea51124d 7f0ec85998604ce034e4ca3e92a0eea2a0cf4bcc 3f3a73fd29c550cf2d2bcda20c242516ee2b6a35 f5b3262e5db9147bfeb3dafdc43f258937d4cb72 e034afd6d64168c8bba6fd978aa136a0d02fd981 c8fa8c9b23eff99db7bd4ef46ce7d6293449c6b2 af5f5df35a8cd07a679d15d92fcdf44574892a0b f53ce00e84a8d711eee7ff8990258fc35bbc2b09 db01143f958d51c0cbcdd4b2fd7f1010b7fe538a 77c430b17c2c94b5cd2ebe65e8541ddddec0c18a 151df669431826aa8863bbdaefc1147f506fd9c2 4b1a8a1443399b1a3d69386d316c40f44b3b8e84 ca1a4e8802dad4b2b9351a0bef913c90ffeb1217 958842bc318887c82cb3fb5fbf0eab3b2d131485 fdf0c39bb7c97c672a9dc2d9c1651efe3356595f cce32592a127e0a921ff9bbcbfb12bfb0c5dbfd7,,Sensor hil fixedwing,This is a merge of sensor_hil_incr with fixedwing.
PX4/PX4-Autopilot,176,2013-01-20T21:26:13Z,2013-01-24T07:16:51Z,TRUE,2013-01-24T07:16:51Z,311868783021ccfba2955bee7246c9facd236673,2,2,09ddf7f1b3e79bd37227520610847fbcf94187ce ff35e5a58347f4d03d097f5939f19751ed82ae06,,Move APM startup scripts to APM git repo,This adds support for EXTERNAL_SCRIPTS in PX4 build  allowing the APM build to install a rc.APM script from its git tree
PX4/PX4-Autopilot,179,2013-01-21T22:46:05Z,2013-01-26T19:10:11Z,TRUE,2013-01-26T19:10:11Z,35203e26605f9698c1454e003c7f4dfd15accb1f,6,2,2ebb1812f1eea47f06e79650242416493ce279b9 4baa1821cbf36f6b22636eb79325c9656332fb6b,,Implemented airspeed measurement,First stab at airspeed measurement. Not yet tested in flight.
