Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
ArduPilot/apm_planner,41,2013-08-23T03:31:14Z,2013-08-23T04:43:30Z,True,2013-08-23T04:43:30Z,dc0cbb7b7695d4af99454ec0a766b55073ac42a1,1,1,81d2e1cfa3defb8212a124fe9d71b51f360c7b64,,fixed build on Linux,no Qslog.h in Linux Qt packages 
ArduPilot/apm_planner,51,2013-10-24T15:39:03Z,2013-10-24T15:47:22Z,True,2013-10-24T15:47:22Z,8bcfe5b1ac79b4c80f33feec049eb92b292d0667,2,1,5cedc4337f04164db2f0d3e784a926d645a79703,,Load From File message,On Linux when the user presses cancel on the "Load from File" dialog  was getting an error message saying the app could not open the file.  Also fixed a spelling error in ApmPlaneLevel.cc. 
ArduPilot/apm_planner,55,2013-10-28T18:42:09Z,2013-10-28T19:37:50Z,False,none,d67660aca7cda6537741d79d6a51eb89ccef546d,1,16,c2e58d80226456254c53ec66116018c14be2fc75 5f32cb8c7bedeb800453db1bf78c77bd59e953ff adb8bc9e2c3f46aa9f5a43232faadd9e45049f89 548b68060cbb77571d1247f3eb19b66c642b46d0 ecbf38d557255b62462361166a828738ffdda052 01beae26d512b482b203972fb07db0ff262058dd 3d6739248f8d352ebc1792c1ea03190365eb8150 6f9455596b3894907a6b8712f786be8e926ae049 e0c697aa506555e55333ced1ce38c0a0bb51584a 28e5b599c9ffda9376eac703a8cffb06a79098af 1a64f9bbcbc92d78486dcefe7a6096ae6a8685a2 e0ae770e1b6d1ab98ff6f7bf3de07e7b6189bac5 ad1c4dcfe7f2b74b7483a1342860c01435bad8eb 36062ad79c28eb0f61f33ac8ac92aefd25ff62a4 9f07f3dbe985f25db096127fd4c8d7628959162f 2144bf79cff4790afb147aae7c66d5d4fef5952d,,Ch6 tune segfault,
ArduPilot/apm_planner,54,2013-10-26T07:09:58Z,2013-10-28T20:02:56Z,False,none,cda721a3e855de0cf9a23d12ff7eb96fd81f5f52,2,15,c2e58d80226456254c53ec66116018c14be2fc75 5f32cb8c7bedeb800453db1bf78c77bd59e953ff adb8bc9e2c3f46aa9f5a43232faadd9e45049f89 548b68060cbb77571d1247f3eb19b66c642b46d0 ecbf38d557255b62462361166a828738ffdda052 01beae26d512b482b203972fb07db0ff262058dd 3d6739248f8d352ebc1792c1ea03190365eb8150 6f9455596b3894907a6b8712f786be8e926ae049 e0c697aa506555e55333ced1ce38c0a0bb51584a 4cf0646ee5f5fddb96473fb7f528a289e8e1f959 28e5b599c9ffda9376eac703a8cffb06a79098af 919089f715a9f2910e48f8c80ece6483a89a4ee6 b7c49dbe81d5b6799578c587109a6fbcf6dfa2df 86f7d3e6c2126392587daefa4c5f9a7b69377a30 7e6202151f9ee891e49e6e120b1aad1277ede701,,Param write UI confirm,Additional visual confirmation when loading a param file  and when writing parameters to the vehicle. 
ArduPilot/apm_planner,58,2013-11-05T05:17:52Z,2013-11-05T06:00:33Z,True,2013-11-05T06:00:33Z,67037a694dd733ce4e6ad88591eff4859ea30f70,1,1,44f71f8da4467f7bdf49c3f66fcc5d057ae448fe,,CH7 Additional modes,ch7 options on Mission Planner/Windows feature more items in the drop-down than are offered on APM Planner. Adding the additional modes here. 
ArduPilot/apm_planner,60,2013-11-06T11:49:55Z,2013-11-08T20:03:00Z,False,none,75c757522cb91a64d79857e56fd2a2170489289d,9,5,c31c97e39c3f4a0dcf7c40c8ef14c93e2884c687 1d114664ff4c3067626a61cfedd0785b5284aef6 1fda5c110ede9e5abde858a6d302f91d77138be3 a01e6230b0b2d24de224c5419a9ed6b41f0483d5 42eebd98421adc1399708e7e433a6bee5b7002d9,,Linux Installer builder,Set of scripts and support files that allows the creation of a .deb installer for Debian-based systems (Ubuntu  Mint  etc). 
ArduPilot/apm_planner,75,2013-12-04T20:48:10Z,2013-12-05T00:21:16Z,False,none,8943e3ca0a261a635d63526cd2a87e7f2cba2ae0,2,1,d5d2308e1ae531632bf45623b6535459fd44d731,,KML Summary,Calculate total distance  top speed and highest altitude for display in the description area of a Folder KML element. 
ArduPilot/apm_planner,69,2013-11-22T11:57:27Z,2013-11-27T19:04:09Z,False,none,e9dc6e00ea1d58b0e2a66e88ac1f6872aee43d23,4,5,d6681305679104054fa1a5c2e90bbbfdf0dec2f6 768585fbfc3b2ab7ec94c5f9d689bfb3f00d449d 8903791675b4d291d4a249dfd71a4c54a3847fbb cc7606fea146d47d71757daaf85ea15c2b7ab238 7dce7a4d0ef326b6b35a0c966e0aa79314b55581,,Linux Packager various fixes,A number of little bugs fixed: -Using the correct license file -Menu shortcut now uses APMPlanner icon -A couple of typos and permissions issues fixed 
ArduPilot/apm_planner,93,2013-12-27T01:29:43Z,2013-12-27T01:42:22Z,False,none,ae083c87d4d135772ae366e745e078683b008fca,4,1,b2e0a4cd3013a5d2457c9fc8b735683421845c35,,qmake install now works in Linux,Running "qmake install" will build APM Planner and install it on the user's system.   Using the PREFIX=/some_dir/usr in the command will tell qmake to install APM Planner in the specified directory (default is /usr). 
ArduPilot/apm_planner,90,2013-12-20T00:31:49Z,2013-12-27T02:08:18Z,False,none,80906638e1be1d229cae620dd49a525ec1d81088,1,2,123d5711a4ee5a1e95d94f002582c0e9926bb434 5f1575c2f896f19425e762bcb128574e69956b18,,Fix for 89,Fix for logs 'pull selected' button to use correct log number instead of row number 
