Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
ArduPilot/apm_planner,60,2013-11-06T11:49:55Z,2013-11-08T20:03:00Z,False,none,75c757522cb91a64d79857e56fd2a2170489289d,9,5,c31c97e39c3f4a0dcf7c40c8ef14c93e2884c687 1d114664ff4c3067626a61cfedd0785b5284aef6 1fda5c110ede9e5abde858a6d302f91d77138be3 a01e6230b0b2d24de224c5419a9ed6b41f0483d5 42eebd98421adc1399708e7e433a6bee5b7002d9,,Linux Installer builder,Set of scripts and support files that allows the creation of a .deb installer for Debian-based systems (Ubuntu  Mint  etc).
ArduPilot/apm_planner,69,2013-11-22T11:57:27Z,2013-11-27T19:04:09Z,False,none,e9dc6e00ea1d58b0e2a66e88ac1f6872aee43d23,4,5,d6681305679104054fa1a5c2e90bbbfdf0dec2f6 768585fbfc3b2ab7ec94c5f9d689bfb3f00d449d 8903791675b4d291d4a249dfd71a4c54a3847fbb cc7606fea146d47d71757daaf85ea15c2b7ab238 7dce7a4d0ef326b6b35a0c966e0aa79314b55581,,Linux Packager various fixes,A number of little bugs fixed: -Using the correct license file -Menu shortcut now uses APMPlanner icon -A couple of typos and permissions issues fixed
ArduPilot/apm_planner,93,2013-12-27T01:29:43Z,2013-12-27T01:42:22Z,False,none,ae083c87d4d135772ae366e745e078683b008fca,4,1,b2e0a4cd3013a5d2457c9fc8b735683421845c35,,qmake install now works in Linux,Running "qmake install" will build APM Planner and install it on the user's system.   Using the PREFIX=/some_dir/usr in the command will tell qmake to install APM Planner in the specified directory (default is /usr).
ArduPilot/apm_planner,171,2014-01-26T12:31:52Z,2014-02-28T23:10:07Z,False,none,07ed57e656f8734ef5188937878c6faaebad1edb,6,1,c252cc20aef5777a868a78114b69ea0b146600e2,,Linux Forced usage of libudev for serial ports Also minor build fixes,Forced usage of libudev in APMSerial  as it's the only reliable port detection method. Should fix #168  Minor cleanup of build files  including proper version labeling in deb file creation.
ArduPilot/apm_planner,244,2014-03-05T08:01:06Z,2014-03-18T12:06:18Z,False,none,a6d85083f0c6d453f295dd4d855bfcf4a2116d92,10,1,3d8f6e7677e52be59c263e81bda2430aa4072d83,,Linux Autobuild now working via pbuilder,The Linux branch can be build by pbuilder  pdebuild  etc
ArduPilot/apm_planner,387,2014-07-05T04:25:58Z,2014-07-06T02:21:20Z,False,none,d246ea9d79d7b0a9ff37733135e32a5ca5999121,3,1,c8571bb108d271ed8ff2958947d4e184cf68ed23,,Map Widget Add support for ArcGIS World Topo maps,Addresses #386
ArduPilot/apm_planner,94,2013-12-27T01:55:59Z,2013-12-29T23:50:06Z,False,none,0742c889f21236e25798e77b7a950892b9d8f5ba,4,1,0e2e68e24fdb38d9f961d28cb0ccfe881ec8b367,,qmake install now working under Linux,Running "qmake install" will build APM Planner and install it on the user's system.  Using the PREFIX=/some_dir/usr in the command will tell qmake to install APM Planner in the specified directory (default is /usr).  (edit on pull request #93 to correct package name to "APM Planner 2" rather than "APM Planner")
ArduPilot/apm_planner,343,2014-05-22T11:20:21Z,2014-05-22T16:56:19Z,False,none,9daf62912c62e69c8c0c38a0f7bbb87aa4f93115,6,1,d60ab0be37f834db19f60215bb8731cfc9ec0b64,,Google Hybrid maps fixed,Updated OpMapControl to be compatible with new version of Google Maps.  Fixes issues #26 and #98.
ArduPilot/apm_planner,443,2014-08-22T12:17:07Z,2014-08-22T16:48:06Z,False,none,1a2a99af3182f3b8b1818b306f2cadffb29783ba,4,14,a7b962ba8ac654651be07e875844e82d6c18e943 8a9df44d2fd8cb72ec0d7fa5e80ef5ff89323c57 f3495ecbcd5172705bdfa12f50964489f63923b1 fd971cfcb9ba553304e64ade99fb117eb7518885 1f2f04d6b4c2a99f7fc96fb977ecfdd28133f84e 59eb7a0ac8f1fa753f68f92ede6604f371c38fc0 f8f72ea63c11fbae07b203613ade232019b57dfd 01e9f2e2eee4cb29ee0fe5309894892e98acd3de 9ef6c3a44a859796f58646f5550cd6db285e67b4 aaa71e7541436045373434d3e0b82e28252429f2 53d1054c49624d40170c9777c8d813119f28342a 6bb0ca59eda33882e0444b6f906bfdadfdee37e3 acf81f3e0be77e002d7364b1504ad53650d3ac77 e543640363c6db3e32c66e797fdbed440ff2f116,,Added norwegian topographic maps ,The highest quality maps available for norwegian UAV operators. - can anyone please tell my why I see 14 commits  when I wanted to change only 4 files with one commit  ?  - somehow I fail to see how to deselect the other commits.
ArduPilot/apm_planner,10,2013-07-08T23:16:48Z,2014-02-28T23:10:35Z,False,none,none,143,173,c91ab413102fb16f3a083c9628a896004b7380dc 5c33850d6164815aef30599c2da3a4ef81edd47d 78f45dc85283348168dc5c347104d4a5c79e632d 9f8145d0f95d42625a543719d50544837e6ca95e 1dedf29750d529de103ce8c306a7502b845324c4 5a8d202a8d85e94fe3e569b22076ad5766cd253a 3be737b10fe78b7ad59b9966d4eaf2546504ff19 2b07ea50e90794aebc93ab6bae5d4739c802665c 2d61e288bbc4fd7022fbae0ddbf23acb08e26e1a 2a0f669b0700017ffc5c805c477f515fe2cb7b23 a4201a09d0e398ba6653704aad43faf4385c2d0a ac2522d2095a2da6a45d42caa656ee76b4285e14 9d969f1fddc77b3d7a3a63e790dc974de648b7a5 005ab6ee9494bf03c491265b8f025337de743d19 fdcb556737fdc11d5449d95473c166cf7523b4ff 9e572aa8b5862aefeeb07be187a7509d7b8709b9 89b67098defd2183c3bdf79b52258e36e748da19 9b1804a84f77e8de3e3c46b4fccf7c27a394e784 9619b50361d16ceb9964cf0a5d254dcb13c73589 19506a7acd45b11e82bd46c3164f6afcb94616c3 3126bdd5f37ef70669e99d0b7c2fba63885a17ab 341d296613288bb29ca40877e1f27c57e1466079 f2fd73b318923d74ea146ad8fa52d6da0df0a9b4 e536522e6469736556fa2a143b99b50c18498db1 9ad1179be2fbf7542df86e94674f494081be8eb4 82c22375a5b2ebe114a18b93f29725f3bc339c3b d194b46c42fb8f1a993a9ad93031d89716cfeccb d2317252a66732fb9752dd19d1bb05569ee8473d 247294a83776cbf833041a268eafff2dbec354d8 761f54815af0c155ff48b0152ae01aea391d88a0 6f552928889da22151a0102a5ad5cad329ec8dc5 5bd5069031159cae52974e7a1ceb20fc56655114 ff66b8cdd44146e7ee70bc85c0c3761a9decb4ac 652fce85bed0adbfe24666c5bd3532da98480eab bf112ef06aa01d2cc78999b48b8c0796341152ce b35459ea00c43128a0558930cd7f806a6a4100ec 2e98bbb9c8b11f024c3dbd86e8fcfa86fb5f7632 46bc3bc2ec7de2b1cb870da81901b8d7112b6f2e a0f9044f2b82a6cd6f5af999881c2e4396e5a6d2 9d974d5a3d6c83fbb935148c2462b4842fa708e9 2ef52b98d11523ab7df78fc12d933ad3fc576a17 d581a91bb81161f610b085e899f3ec6911adf41d a95c62f07a6c97af87dd17d70d1addc68923f9e8 b8becd3bdf7987e55d5399dc220eff51858d0df6 18c9b4e66d384de1d4dcb87d1ce9a0d732dc7956 6e5ad05ab0d33e42aa8887eba3042a5db69fa630 fc3080e84f66acb8b70aa06147f82c187189d90b 3d1a54df28b34f40fa9848bafee29d8b757f213f 6377dab3f88abe27d76b4d89ac4331746d1bcf36 c8f12ee4ed319449eeb06c0986fc0d6466eb1d38 ce9fead238207b1699bffbc3e9f761b90e6a30d1 f89cbf71516948eab583eef7d2a994478af89a9c 656d8e6527f059b1414dd03238b6f3431ef11d77 f11f19429549fef747d14d17a08772c6f3e67c65 f496394f51e3e9d92ad2b199541206e9fe800f58 4d5df7aeacf11831e649d296c34ee773597ffd36 8e05f82174f94511b1c869190e6de0ed0a68e65c 608daefa3e50b7d901eca4f7ce58af00fafa6ec2 467280bbd50250d3e18d00f3ad9d1d3308101c9c 45da95172d5d511c4a0519f9dc89c473b4e7d83f dfa9b0ed77d20e9a25727848962294e597a82e81 86de69d43246cde236b10e181809e834128a2d24 2e3c20e9e82e052a084155b1f963dfb07649f5c9 e34142cff0cf9aecc0a8fca8da74866e28075ddb d91453a3c585096ac5aee2ceb8bb8a135ee8729a b1fc82ac544eadec8cb08711fde95ec3ca8b2501 a37f84892c9baab4440f4219b3141c023ac426af 8c2dfea5a62fe2ff7eeacd981807a899ceadf231 f0a5118e1ebd03ce4725117b15a6e4075deeb2ec 7095cf282441b4752fb23d658cb15b23d421cdc9 975f41067229245752f23de45b80ca4a7e28642d 44684144fa5b07f229779f9769b0cbf3422639eb b3cff5cacc7c1bbd7fb7a0dc0e6808ec53dc49a5 129069d4e61357fe88027881dfce6f040bf8aa33 9ff35e3e38e649ab77dab12f0ff1aebcd89749eb c18a53340337187de63feac5000cae0cf25d9985 fc73187afbe2644457278fdb96fa544493b245d7 1858a52cb3f303b38cabcf048678a8f790e5d00d 6f98185c3eea28a6cbef1869c94cdad5acf97b55 d0af5b03bd3215a5d2ffe364f839474d558fbe62 ae6829562ff0fa744d523faa264f5b89284e222a 0a1c6784752154e4b580b1c9880be2d5dbf55111 7aef7fcf637165fb02a8a2977941f37b9f840b6c d4425e06c4c40b8c5a09af35c6fbd3046709c073 0e58853b294e82f9bb03d4695daf0cff11bdf12e 660172e9dd381ecd8946c44af062448e9490fc3a 73afc2667ce232d67d58019c3cb95385e710a6d8 e0d9b8fb19d3d8cd1cc7b469707a0edd72de2652 5dd17698c4bd995beb72a99d2f28a207de05231a 76cea4e18d9097fda078e15dfb10c323d326656f a50358e928471b4c461178e26acf16932c476e14 9cc5d6487ead4daaf651b608fc383bbe751ec70e 6b2e19159474358de1b9e298ba42b84a63796e17 6df76d4e777469d6c0a8113d2696284dbccb60f4 ec8232850430374d8523a6f9de8f2319b6919d88 c55ff61135444e4dc2fcc4bc747abc47e02bfa4b f4c1eaab06df05c6ead355dfae0579153db97064 44e5b5d692772315952976c3896ef17ff31d4477 0102cf8495da62f5f81bf404c0ea02c46dc2121c 9a96e49fe7ed887d8509ee7975eb7ed113837e4e d622ba221fb4756beb8d8d28ca0f7879200a8bde 295b8a2583b22817c3ddbaa1481d278305f080aa 6f3376a248af3c8a723112d59d79838763778e74 44543b30136b044b94edda9927d9d9f0b013aec7 a82ee387eed6a8ead52addb4a5c25f3cf48a985e bcb61f43a1319d0bdfc955b5508657d84ea8a88d ff2c011d17c2a3d091d4aee188e72bb7ddf7b27c cfffe063445c18f41d1e120d178e9e7975d8f9ca 61e63ac09aac45d05294b0e64c03c11db7af5f6e cff4a3b56c8287b882a3ab1883c471b32926e91e 96c080fb856759b9455f853609589ce1a0d64ae1 c8647cc07bdac21f7e6c0a0de1bef759067a9bf0 7b5b09a27d8042a08540eaeccd9d51318bc2fe0b 90c4d504ac1f9c9cbd03aee17752538142533db8 7e1e1e97909d183749f2dcdfaa938c6e4737f927 404045527e0d567b0d865bdb0fc5b52dbef71a67 64d0741ee82db3d5dac2108f3f6d03c6fa66e5c6 e169b59ff28da2dbecb5de8bcbd4ae7c32d07595 7908dc7d861216f8f585a8eb6e5c3243d66e7ea8 c532f413318a4a85186118144918f39973ee1177 6a0c4b8f6e0332b828d94640ad9632d68df2a573 481edea88f83120d3cfb5b519e356bc47ded86bd 897758782b2fd933bd55debac8c1aa407843fe20 90efec1bc1502c92b01d12d512fa0fef10ae6429 316620fdd3aa8298360f5a50a3ed7c9364326bb2 d6e52a55d596239cd50bc27b66182858b0c1c784 133b39f968dd1f79a0156af240c12b754f0c01d8 1e5e97ad596e2bd4da2bc11aa20a0d3388dbbfcf 902f359f9363256517b483eb47bed6de232cb04d 47cd05eaaca3dcd384b7e156babf37a8ef62a70b 8999151efc84e0bc709413093e33912e25ec2cb6 5ee18dafb58759525de12263cd7c9e3c605ec8f7 4ed616a424ff3c27075a86f33dc138cfcb375c67 f3ddb9d5c788dbd98670116f16ada9a4764bc974 f820eefc8e286503ebb591cb82d83305a18beced f086840fba28c40119852acda548fb3a87184295 b6d9f23bf83a33a297609295044d911e42fa881e 9d18a986dbda5678268e7d20b8b4b253bd5675ae 24af948fa30fcfdd0df43464028ab012ad65acae 860e47b6ace973054b8db84859d0c1e40b4ac4ea 55efdf8d4668df7eec218ab71c82742bafbf31a1 275855b936360c76456611e7fcd9fa0c79a39ab7 84badf33c02fa7ba702dd3ecd0cf145a54bba38b 9bda816e54a03f29e490850290e4e784be786af9 8268ca2c4fd7ab89aa163eb90ea4026312d37a25 adbbdb45d3fd55dc662cf7677c763852cc38c790 8e533fd32b87414742f67c2d0441e24c9430539b 134947f9408b7361d4b7e8a005732f7238af1653 df140d38d5b55dac253d56c149177185d0831482 478b476adc16ad4eb6c12a7c6b2e1d1c9a00543e f9318458a517070af354f2f4c3b9dcfa7b658e9f 52dc821ee2594f3493a962dfc4ecf8b67e7d7804 f8f49896d9a55a4e4c44f9b5540e0238374eb325 ca74665affdd5814fb54cad042f7e24e9c479cf9 3731055a6ef38158484e0821170f9c0b883dc7a3 41134dfcc8bd2b442fd05eac1afea08173136956 8b4ecdd37d73558ce3c0894695079810f6f224e7 b19d26a73547028e4db002d02d5f10c530083f7f 35bf270076d06f8ffb67165d174e4a6d8be2e70f 68d97969b0b7894b8ce77b0c59a6de17bca7da03 bd7beb1c8454efb6716db3461c25786e199af4fb fc3c73b277100cbed256d02929f389c5939c7da6 9e090e7ecc0681f32e95e81428ccc47fe5fe4e9f 9faba6744945bfd20e77945046f3102a3628110f 2b5b91d6ad0d3e4844dbca67e14e98c57811d690 93c963515a046ab85c86201844889a737d4a5a27 5f9cd6e36abe1f21af96494dfe334ca2e4e8fe14 0529dafb9fe0fcedbb8b887b3d31627ef4f122b2 d984564ca4f9db55f3877e2dbb20d61da612d9b2 f3793fa1f9300dfbc2ad8d790782efcb239f6e38 55f61af452aefb0e343faa4d1d42ebeb23c658eb bbc987bc2aa5b3b298cb9da3765a5dc25c7ea959 1fe2818b50980409855101678078d0d72e725b81,,Bugfix missing updates PrimaryFlightDisplay now connecting to UASCreated and UASDeleted signals ,
