Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
Ardupilot/ardupilot,126,2013-03-01T10:24:34Z,2013-03-01T14:40:13Z,FALSE,none,ab6924a176a393d61485cb220750c209a8efd14b,3,1,1b172eb47382e7f8fa4d4015faf054a1cf334ef9,,AVR HAL RCJitterTest example,Used to test jitter on the PPM R/C input system.
Ardupilot/ardupilot,83,2013-02-11T02:25:49Z,2013-03-09T03:44:57Z,FALSE,none,316a9050606d9eb3d4da8d2028962573777fa13e,17,24,efcc6a7fdb1664f42413521d84f684f7df310f55 90a1d11830a4da85d5eefb7ea9ad0a4ffda15595 71dfe5713ce47840db4d61944bfc0e7994ffb3e1 10e23889803f040e6bb0aab37d2200d1e1046db5 1e5fbad0554d1daa1fb5d7d6dd2a8fa5851a8b9d cfa635b9b95655ab93021a97bdda9cd6b86d4b14 98ece1a9546b001053529b42cab4c20b7178be07 5108a9bebccea13fbaa34d65ac8ba979cf2f4f10 26a2369345183634370da57b332f67107b846538 d6cb7e4115381bc28be0e7c66b210dd34ed97cc6 9357619f7ca975bed7c23143e88f5eb7a7b0e752 98dc41e1f63039ec97971762acfe4281b0304d36 76ee8bd0145e547456df2a2140092ea9295a94da 0ec4d2773d2f13e24f8b35b3c2c93cccb6fa9ab3 3d8537501b6728e01111b7da69d5e2e4cc4feb54 c963ad2d67b71a369a07a308dbab2c6378336878 c3549721c4fb0e061127d0b874ca2178c895d311 805a704a810a975351a241cfd6dbbe62e2fa1712 f76679c44074e1130b104fe9e41284ed8ab91403 5c9f9a392f1a8e59cd5811ab32c16c7f7038077b 1d6f3fd9b0d3519682f58dc5427872f896950f71 f841deec25c428519f508af9aff4e646215a984b 7c25454745ad858dedbab1be2834f74cd57fa785 9bcafd70d1bc945b2188ff3d97fc1ba48dc3f3b0,,Vcc Warning,This is the beginning of work to protect against APM brownouts. Please be aware I committed a change to APM Config by accident. Also the // 5=dual voltage change in parameters.h is for future work. I'm going to work on that later should be harmless to leave this in for now.
Ardupilot/ardupilot,516,2013-08-27T05:50:01Z,2013-08-30T07:06:12Z,FALSE,none,7cf1ec74ecc47eb902889b003ce369a144318cf1,14,5,946049c026ff4237b0cf657c49cf0a774b6218d3 9ec6655696b05f224231f08e18f8088492881ae7 78d5a9da6c04d6f11b0bb0bc9d3957c47bc5805f 01180efa5d574de3face5e2e43783e01831c0ac1 ae9e09683b5c48b1db629bbe5805ae4b09f9af75,,correct sonar sensor timing comment,change from 20hz to 10hz per weekly dev call
Ardupilot/ardupilot,579,2013-10-01T00:22:36Z,2013-10-01T00:22:53Z,FALSE,none,c5e5eec571f62e5e49bd332598b1642e61d4fcf2,14,1,07f4dfb39e329dd75978a64abfc69656418bd1fe,,ArduKTH this is an import from KTH,ArduKTH is a schools project run by Jakob Kuttenkeuler
Ardupilot/ardupilot,580,2013-10-01T00:25:05Z,2013-10-01T00:25:51Z,FALSE,none,c5e5eec571f62e5e49bd332598b1642e61d4fcf2,14,1,07f4dfb39e329dd75978a64abfc69656418bd1fe,,ArduKTH this is an import from KTH,ArduKTH is a schools project run by Jakob Kuttenkeuler
Ardupilot/ardupilot,77,2013-02-05T12:17:07Z,2013-10-21T20:49:00Z,FALSE,none,08030190d836e76b8ea1cc1ff818b8831afb55ae,9,7,8729b8c2f68ea309f4daefb890716ca8ac3fcc61 7868743947af16a70649e696cc074455d23d7a6d 89fc3ddc635a0ed2a6503d50f8d1cfaee65c311e 428bf7bc2ec7b6b3aaeae92d08b04291a4428312 4991be80b44c724cec83e320684745a10834c974 bd94fbdb6ac3f9459c63c3cdd79e24817aea5973 8fa6a23a31d553e077b3fd09616fb5bb9137da41,,AP_HAL_AVR Improved AVRTimer micros and millis,- More efficient code with less overhead by using 16-bit timer - micros() now has proper 1 us resolution - new ticks() function a more efficient high resolution timer with a 0.5us resolution used for accurate time measurements over a short time span no
Ardupilot/ardupilot,894,2014-03-12T04:42:32Z,2014-04-07T03:47:49Z,FALSE,none,7dd960034ef87bcdfe2b704c1df7e06e4df68e64,1,1,3e1edda0a7419f6dfc4631a8f84bcd7949517730,,Update gcc arm version from q2 to q4,This fixes the installation script since version q2 has been removed from launchpad.
Ardupilot/ardupilot,183,2013-04-04T19:19:29Z,2013-04-07T18:09:50Z,FALSE,none,d46026e28a13f516d403be88e40f924891baca16,3,2,a3d68f004db1c2d2e3eab259278167b6a5466970 4c4d1d80b7f12e14ed06fae579978ef8070ded5e,,Document automate development prerequisites,This change is an attempt to make it easier to set up a development environment for ardupilot. It does 3 things: 1. Provides specific documentation of development prerequisites (what software needs to be installed). 2. Begins to automate the installation of development prerequisites (via shell scripts). 3. Provides a Vagrantfile that in combination with the script from # 2 allows anyone on OS X Windows or Linux to create a standardized development virtual machine running Linux in a few minutes. There is some documentation about setting up a development environment but it is scattered and underspecified. For example on the topic of Arduino on Linux [BuildingWithMake](https://code.google.com/p/ardupilot-mega/wiki/BuildingWithMake) just says you need "a working current Arduino install." The current ardupilot README tells you to use `make` instead of the Arduino IDE but doesn't say anything else about installing Arduino. Specific documentation is good an automated script is even better. Once a user has VirtualBox and vagrant installed these two commands are all that is required to bring up a fully functional development environment (including PX4) on OS X Windows or Linux: ``` vagrant up vagrant ssh -c "ardupilot/Tools/scripts/install-prereqs-ubuntu.sh -y" ``` Compare to the instructions at [PX4DevEnv in the wiki](https://code.google.com/p/arducopter/wiki/PX4DevEnv)--which only covers Windows. I think that having at least basic (but specific) development documentation in the repo itself is a good idea--it's right there when someone looks at the github page for the code
Ardupilot/ardupilot,488,2013-08-12T12:51:38Z,2013-08-14T23:30:32Z,FALSE,none,6c79aa4394a43f303767cd6441bc8db764578dae,10,1,acdc3ece5e869e4bf6412e6f7a6ae09902391dd4,,added doxygen support and doxygen build scripts,Doxygen config files and build scripts. Just run the build scripts to build doxygen documentation - including api docs graphs and source code viewer.
Ardupilot/ardupilot,733,2013-12-15T02:14:49Z,2013-12-15T02:25:10Z,FALSE,none,none,183,310,3b72741e157b7bc543937740b96fbb8a07e1d233 b91274f44cbe0a24d97d8db8643a5b798e329b07 ea81b05e473edb5c7e80b93114ed3f336ea82bd3 3a5e21ab93b9d8245c0aa82ad5a9e5f794d2a2ff c700f61ffaca21421e9f4a3a3ab56b5da6b7a663 e596bbe1473815205f4070351d491baad1f0c7f1 c6a6fb29df1765c86ea79a824abd3093109f0440 9a6433eeeb7c6a628a395c9715a134a93e0360e3 05cf1015fc52549d4bc14ffa0b5b9fc461d630c8 b4c8dd5a411ba830fe8bbab060a61c4ee191349d d4af757cbb6d5966b3bbf2307c3fa6da45a0a7a9 30d908e2fa4585b6b909f06e2de1c3ee30a1247a 3e139adf082b17186de427ac4619da7b0d7a68fe 7f8e9ea27fdc46fb2eecf11987e55ec182fcaf61 2240bb80d1bae39c8d447b51ecb1b7d0c72907c8 1a8feee29836b839d4ad2073744549b6357d6771 b98f11d819b1662184f2c562d9b5dd9d63af6eb8 12093f4dd6aacd98ef57ba61fd801aafc1e1c808 249c757b9406151263dc03ec4fc428c596d5ff1b c824ccfb385c090b27ad8a68be11a87f7500d19e 81ac548e2c50f300f458296a1b007fc174795180 a692790342e3842ee8df42a1fecd78417c2674fa d06d9999033b70c55c21b880845f6aed7910a20b 4194b2fdd76550ffd523776a16597f5d7c7baedb 8cefe8e198c2a3d98c048b8888f2dcc5c663fc6d 50ef260d69ffb14a8879a12b085cc8c8c384a45a 3e6a17a89fa472b9a29e970450f85f8d9ae1fccf 3c19ea050ca61fe4bdd9dd80b82dd4dcf979320d e3a96094ca3eac7169e758a90cb72032105111a9 877559340221154c32613a7a5e6122d2bdce7414 36b52b65e150b53ced1fb1a9769c931b13352552 94deb1d599996754eaf6449e257ba15a732694f4 55b22f86356d83f2722f3f165c947fa12f02e09c 60775e94b94e84786d1ab69e4ace17769cfe5c7d cbbd3ae50e488782dc6e38fe40c46f1a20e5b25e bb0f18e2d426d447e6caff4cec5b91a33ab628b0 945b9260b552b0410206e5d4916c71c44151304a fcf188646f682ad858f420885580f894cbb1ad8c 6f29ba3da9d0624af1db95a57145f9d24b602b80 8e68ca931bc72c7d41b64a9807e09dcbae2ef3f0 b9a4a7e0bf2d8ef5871ec0afc341b03ab270986e 558dd6db04ac7fb5aae6f8649ff9f269df573796 7e49f630ade18cdefdf2bbde646059a3ec5e663c 05397bc024cf7ea6c01046cbcf4f1f26e0576257 917d9226b225a7960f79efa3db388e5c22dbb92b 81ddab4ea8c66c83848a805397048165e6f04095 1c9dfb9b8acd7f8632c420561a883bcb1a359814 820ec465c71c5d3c42906747e0fd92813e0855d6 f9c72f9dbfbc2958241a46e1cfe963b33afd6ad5 a69ecfa06b48a1d8dbfa39a37892f77ccdf5182f 3004ed9c41d3cc1c2a6210a45dbea69e3f8df811 41d0fda92c8af31fc2e3d82c03b88f12a03a3c09 b258a63b8c2690049a4d65d7425929fb6a2f096b 14d24532166cdd3f3ac643c2f88126c49e794c4c a18582673def8af6f68341813867fd079b98e48c fc920df8d48dc802c241d783b076552788dde837 f0d5cde9cff26f0dd253f2ba80217163ca0b5c30 4da580e2299c6b26e50adec62b72fe8e50288a1e 8d0d8a05c0c16ddfa754998da1436d1f8e3b2d7c dca5bee0802b15f9005fba6ef11c76be0822e66c 2f5098598dca3f9388c09f917034796f30f9a988 92a52f5e4a202b2bea8eba5f0d49f0fb8a3b23b1 b22ce9843adbb45ab6ba56edd12b00729b87b93d ffde756d7e9ab7be3677e412d25ac267d1398360 c18d1da0198595a69fb3da5c9a4f049c6cb48b0a d722e7024ae69792c5793a535d51f026bcad49db 4a60319f793b73b1fea0dc1cca6a58bc53cd3474 fea10c3b97820f9709d4277f6afc29f869576aa4 e2991c0f356ea88f43b4b8a2e07c63bda9bc40ab 6fe3004fcc07d126b3b71619893564a820022e54 1875bbe7d6c024c9fbf81212700992f7e0d8f5f0 674ec54b5fd684a6eb2fe6561b121ee5bf5d0a04 9f36acbb92bb9c3b6b5a67c35753a1e354c7a671 97d8007b082cb22dedd3bf767f3c52aa78ba072e 522f248b63ab331f5652e96ccd2cddb981a9dab6 01a32d063292c0bb9129f8630b7d13d41e967727 85c48e7b418ce47b0fdd3166e10822e5cd8be78e de4d5add6cb268e3d9a446dd14dd0a17cc0c8c70 a24e3b555e28316b4d3dbc27ae91c9cb0839846b ff5ddde905ae38f0abbaa2e901a79bd4a064c443 83f8dd150e325e7ec9e5991464c60ad0734dce35 0967aec8028926e6d121d42ac6a0bd3ac4c335fe 08e1ce428a9a42f65b66a7af8f46064bd7a2596b 9398fa730edc8662a35a56d044f59a74b00e4b66 69a00ee4b1c5a43d6bc78658a59da5faf2d16232 e3966bdab6d273c318dc87b2edefde3366318067 0bda21a3fc5a73f13df4d63d4f8622706dcec813 f049d19aa35990a77a6fb4b0a73ae1820dd4db87 23eed03852d4e1991a6a162d7b938b3adf14db46 8e55ab50725d9a9a5acfcc3264803679fb12ad44 ee2fb3356726d452ac687c8c128518774a1c9a3d d87b50c35cd36d0d7ee44fd4f363dc08bfd3f1fb d8fbfb8ddd9cb2ae5d0ecfe3bf350cb126aada6b f182169c01a962288ef9464fc432b0a4d5faaffa b62ad0d5fbf3a92aaf76a94039798a38c91f65b5 0c5caac632de66507a52f927c13813aaa535374b 8a5729de0acbe2f948ee4df8bae1271c91fda520 74bf82a09b2ba4a84f9aa49ec6283726f2f32362 70b0bb475ffb43981b51e4f41baf441325940c44 a2ea32351262d0706c7cedccca2b65b05a7c8985 10d2e9a9b63f73296e660ae743df9e99dd25a44b dccc86957ffe4c72eef3b5e5376c7b6c1e9ac8c1 4cd60400647a67109da6ea6752adef30601f0afc 407bbed179c748b6a1be06f2400e9eabbcc2c601 1bec20482f376fce979fb3a9c7771f40ba0a96bc cccdf27dd28c3e13ff8888740644e3e3772627b7 d435547cf884fb446b0144e8b2075846fe538077 49bd45cf3a175dd647df10b0613b3585a3baa7fb 4d2fe4a488806e80d833b665b34cd1bab646a7fb 8a68fd236df6cc58b66ff45affef6aa681e15416 8114df083ffa3bbe458769bc19fe4bafc2eca874 41f9eebb3223f2959d7898b6d6de925de36af910 b33ea01366ec83203da89ce2e344f67829baa5dc 259988a0bef86bb65137016a0e9b277df15415de acd58469944f134aa04575bfbdf25e6ec10a9cbf 1bbc7d7185252a82f72e0c56e7b473e35311f674 0a911f83bf3c70038f0a407bba2590ed23038edb 374f341c7666c9ab244c8539695ce83e17f1ce83 586e5a0162dbe2444d48eeb1189f2b48cc549b2f e138a12f801ffece0077ffcccb4a8e6d95ff1fb6 898fa2f2a15171ba88960ef5e607dc6c9f02ab50 2a776c4466d15d74ed7fda83cf03e31320c31f3d aaa9bbac6e808121c453322c3c30f3fce1da6e58 6062dd6d005d067a2078620270fb7ab0ea044b5c 17b0921f1711300d76a48d4df6760b9e44dca9c3 19b02f47eae1c42eb29cda6dea2849814545fd04 5a726ace9ba67a72bbef8caccc1a51087240294e f0970fc4be96faf9f174b9d996c84684f4fbf718 919b26d28f6286d2587aa47a250adc00c6201c5c ec73169c02d41e454367e12c7b06ed9fc12b1529 bc4b2ff05d763119ccc91d9a1de4ef0c8de8456e 10158185d5c596722641fc89fc095c4a8ff4f7e3 44d64a84d9505a9f981884103881b99372d7e51c 0af6dff283732733137279c199f9c31027483c27 f461a0b55afa709ba373b96c9e51a3b85758d29c eed7ad36b9c5ddb4bc385ea065bdffe6ebf1c5a5 0cb1325ede56c2bf39303ad42503aa39c2798f6e 844d93f362b9f31e68232c68171932d223f42486 32b99867b9f1f25e32ace1fe984d20a18856d235 bea7e4c9bcef974f20b186959aa1172c87ea094a 5999a468ac68be56c2ee95b82e5715e4e7b7bb7e 19716e21b52cc32e0c2b00fabfaf4e7cbd9b6817 c60ff46cc5be9bb33c6d31bdd97f5a6842c44ac2 2438330b40327ed0d1326945ff7bb7c901d2f701 6f54d63f6f432d2f2f2915d4e60bcd234705f433 8e5b398b79476ce7dc95572d34a5e261c893715d c6294eb56114bd260dca7b1d88058be457ebe671 09416154955f6105212b09f428fee61293c7e91c f9b547061e8eba31cdde8c567be7c52c352f4b4d 7eb43973afe5ddedf2f41119a9472dfac706dcc7 3ebc4e5ede3fa5643a299de9cd5501e494be4559 259a3296d1e7f771477a0afcfac253ca70ed24a8 9172b92fb89dfcfa7ad60e25fd0b11ac1fa58837 68cc55e98f2a42f2349e78cfe65a223b2fa69ee0 cd538624a02100d5ab5df25b945829e9b563c6ea ab076d002f3e03c30de846da633f7e7797de2516 537b4aef388c37ab15ce769922093c06cd2a5a9b 20b2fb76808b24cde92589a1d39af9c7b161ec07 15dacea70ef1b8b39865b6665a6cef2c376bbc11 87bd57c9aa6af4f95ce3d21d2166dc1fdb97046e 0734c13fb4633d51919de2853f9ee043432145c0 72407653428f52c0f8e832b0aa8eb88dc5800ce5 a81922d5fb7079400d6cdb6e32bef743c83e8029 920641931a1aba970b232f3305f3af9734bab554 0e2b0a80793d89bb4fbe818faa565da44ae5ee93 a0a4ea4904cdfab6ec835f1586bdd209f05e4908 c4ae641c81e55866e4534731f074b4602cf46c66 680fe72937a561c550802a54d65ca941f29db8e4 e619e30a70ab8a6d5e2997f79c2932e0daee68a1 6c5f2e63683242d015d9b02cd28f94b84ecd4cec 43b0c4f0f4c2bc618677e594c7772d7480ddd4f8 554ee5df66e577f800d683b67c564706d1cd8bdc e860419baebcd5215283c762b539ed0bcac02502 ea32cc0a2f6b4f2d2cdc37ef74123121f98f5e6c 099ca84754c623e4d1b697809b1e902dae5afdbb 214b4035866bfb6f3667e69a33f477e813c4a905 dc6375f34385ea5cc22442d9f158573a4412806b edcf347b10ca67b937253ddb45e54dab61ad1b62 69e81587e2d361a106201f310f1c35f8856b0c42 cebbb082a03e4c63615d8487d06b328172ad2773 e5e31de14825a59be4c5bf506cc2367554fdd354 3cdf94a2fd693ba1e905b87bcf6c32e83108bf9d 5c40424a1b07f273bbb054c0bc47938c9884fffe d9399f35d49d3c82900b759160a64958a0f6eb18 4aa7d6e436b9a6f9f60c0cdb5175b5a6c4ea19b3 d4ad8912659ba8fae3d03bf5e0600762b079b30a 5b4ca2d334e7dca1c013ce302a6bf4ce98aee7fa 74e33d97efc07f49a5673ede54418f8b6c226b15 b7c9f7b4e95df1f0ea1bdb11b10dd234ddc664d9 2fca578989cc1d6799af76a343ba2ebbe86bb2aa 0cbcadb6050ef86a851362f2f0d565fe3f803947 8fc03b0d175df4c1ed06d258df4b852f5c5b934c 661f8b2ae0a42d34a9ab41a0a617d3f48028a2eb 64d6d547573dcb5307f63ed46d7a46b78a9d693f a5cca22252382d911c45bd46f14ea187ec09d62e 3c2a4967455b38a15a2a9ffb98ccddb2a0522f28 a266109f8b4563242f9836a0d7c842ae18aa06d3 b66beff2831b0ef05c9d38c497ca37db42c5524e e5cc16b45fdd666e5d23c131a04c1bf3b6021695 5808515e61cedcbd738f53c652d1a96e3342024d 35e23ff0f351eee4b0562e823e9de560ae942ab2 5bedb3c683677bc620d63a2f77b77c35f9d6bee1 f84b04daa98b504aeb848d6e69eef7010729d4d3 999f4bf289a9893bd9db962bc247c111660e1187 514568afcf648138319f7e24f14d856dfadd0a2e c4a5bbd3c23aabd3ea4e0fc7af8d8d8a2d6e95c9 46a1649f2c4d988ca5dd3df551426cf81ebb2079 878ef115a62cd8b385219254e8db32c1adb8dd1b 680e3316e474f34f36071e155beaaca66ccdd263 986023495ebe4cbee440557a337882befeb58a94 5c37526208b4b5ea08d8e0ec39fc9c47fb169124 4c2c3e719b629a8a873cd7d5cd3899efea14249c 6ef0337a306f304c98bc753bd24a89f64f48ecf9 7b849d8cfb8683090085c26db3104b42bb996f7a e47e1f21d83d9b4f1f2b0cae25bbf82b11123fc8 fc4b5c962f64da973b0cb67eb04349f442baa06c 2ee22e1b85eded887cab691704e4c71307af61cc 872e6efa8f1609f044dc36fa62a40911717ffe7b 133d4ee7475b911f364f32a1f26f1e96c51030ab 8d4a5f0087183a0554e7fa740eecfa29f94bceb2 0447c967b8fc3cf3c6ee2faebaa00e898e2e04fb e30f4bf1936ca8c78ba1b594fca9b531b9996c27 94924571d8ad0d83180db1bbec795bc08307c593 6a491f558c095f73ac63fb10460038c01a364bc5 9d0e09e2bec038c37eafd1000720fb59b3d51094 d654931954dd40f06b947b3613f82adca430d460 eb1b2c42654fb1eab486b8b79c4e02c1bc79b4a1 9a87f15b28bb7bcdb39b56848fb1097d874d6886 6fd51342feb9bf63473f4ea1e2149b64eb154086 1deba935eadd2ad7f0759baf26120ab491aa349c cb64955806d7cd2ef49db1621d24e99233e78b5e 22f07fb141158b5ed8d75cabf761f2e66f8efd8e 3a7442165c54f4c67b488cf1b753be708662a95f 0c97136cbd2d1fd69dfd095ebb7c102cffcf7d0e 8146ef7c00dfd05b35c9349769f8ab88587201ec 9329eb96ae0d762cbf428e4bc2bed1ed41e2fb6f e02827b2b1711c57cea9990a9d23afd1ffc86b6c 4bfa706996d5e5c4f462e5b05ba148aec44a9c1c b89edb94f70fa6fa2b1860126f772094e00dee1c 5bb5f1d5bd700c2c5295eb3ea8df8132138cd21c b488f017e680bac27eb725dedafdd0ebdd221bfd ce30bd39dcd288775cf1423d3d44a26e4dac8e98 b01487048a665e6e9708e72ee9b4f0dcefe8aa7b e1cb1475e46fd6a01f396da3e64c7022ca71659a 0257c0d92b17f5a7346316e80fd6a3ea33f739de db254866e5869a5734f8942e773c3775dd180411 1144b4f3d73b47f183c13d95d53a7514169a2337 cb733de4fcaf71acddfe334519376a48924c0ca9 5c6503e2f120aff96ecf2f4055d6af39474dc7d9 acb130839706077ccce9bd65e66e27ba21a2c1f5,,Heli dev 2,Fix for motor torque yaw compensation on TradHeli.
