Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
bulletphysics/bullet3,14,2013-09-02T09:50:05Z,2013-09-02T11:41:54Z,True,2013-09-02T11:41:54Z,5ca766709019c045e10fe0b934833de8001f1738,1,1,a1890b7c51e4391d9f40e3e06332774cca794649,, fixed small readme txt error,the premake filename has changed - this minor pull request fixes the readme.txt 
bulletphysics/bullet3,36,2014-02-05T05:06:52Z,2014-05-05T15:35:53Z,False,none,a69f2fc699efa18869040932b6fd2281bf58c5f5,3,1,3f0b544c5c2ad219788aa72afb12c5a113deb384,,Improve documentation,Bullet has some lack of documentations. I humbly try to contribute back to this very interesting lib documenting which functions make me hard time as I guess it would give hard time to other peoples.  Don't hesitate to review my comments as I guess some are maybe wrong. I can improve them if I understand well how they works. 
bulletphysics/bullet3,172,2014-05-14T17:49:39Z,2014-05-15T16:58:21Z,True,2014-05-15T16:58:21Z,757ecba1731718bcedffb639ddf94e10a102ceda,1,1,6f3abe414cab14feda8f8c2b4028c88924261a5d,,fix gcc warning message in public header when using c 11,When using bullet in a project using GCC in C++11 mode and using -Wall  a warning message gets generated numerous times:  include/bullet/LinearMath/btScalar.h:100:41: warning: invalid suffix on literal; C++11 requires a space between literal and string macro [-Wliteral-suffix] 
bulletphysics/bullet3,169,2014-05-05T15:33:50Z,2014-05-05T15:34:17Z,True,2014-05-05T15:34:17Z,9eb52302c7cb1d9b58c035bbb10a986185287cf0,1,2,7328ed900ba6a8ba4c756ad2557c16135fc151c9 e0784b2da66ec6644d208e3923240c7a242b9586,,fix name BulletCollisions BulletCollision,https://github.com/bulletphysics/bullet3/issues/168 
bulletphysics/bullet3,170,2014-05-07T16:00:16Z,2014-05-07T16:00:24Z,True,2014-05-07T16:00:24Z,9d83acf707e076f69cf68dc664a661dcd9ad5abd,172,2,2cf7806c87a46e1935b3c5db07a1a093e9b27fd3 f98f24b6972244eb3ff8b1ccf558aa73adb1fd90,,sync repos,
bulletphysics/bullet3,176,2014-05-19T09:25:53Z,2014-05-20T03:51:35Z,False,none,aedc761fc2605087cdb5b3e7e614e6c00e266e24,2,1,441fe63b8e8d32d7d3b7e597afb96f066c11eeb4,,Fix OSX build link to Cocoa framework,I've been getting linking errors when trying to build on osx. This fixes it. 
bulletphysics/bullet3,30,2013-12-13T05:53:41Z,2014-01-11T00:37:19Z,False,none,832ffb54f68e96ae2e82b778d5e24d7dbac41630,2,4,8c832ac51a2781ad8b3d41af314f3b05fe219389 353124c7beb915427e1b0bcdde9f46ef8ca12339 b2fb0f7a71420a8e87b270022ad929f5ead8dac9 17bdc09ad2940dd0ff5dec05be23cb356e6fdb3e,,Fix full build on linux,Hello erwin  Please consider merging this change in order to allow full to be build on linux  Best regards 
bulletphysics/bullet3,162,2014-04-14T17:57:17Z,2014-05-12T18:56:51Z,False,none,656bb616c6dfefe04b3b35773fa25e82d6ed6caf,3,2,05d2b726e2aee0653f83146b0bed31697cd3d9cc e03f6622a5d5466cc6a415d468f3f69fe40964d6,,terrain makefiles and repeated collision test,wondered why no terrain demo was created 
bulletphysics/bullet3,184,2014-06-11T03:00:22Z,2014-06-27T23:22:53Z,False,none,99d1c50982ebcdd83e6458008c83e9f8a9ab4b44,2,1,dd50365c1bf5ad49a7d2e5fab7f573f1bab95122,,Fixes two compile errors that happen on Ubuntu 14 04,Fixes two compile errors that happen on Ubuntu 14.04 in OpenGLWindow module. 
bulletphysics/bullet3,158,2014-03-30T20:41:18Z,2014-04-07T22:57:23Z,True,2014-04-07T22:57:23Z,e3486fec0db4e7cd2d9332aa6eb24faa73a0fa24,1,1,721cab6c3b21c0024e5e77d7269da1ea3593a9dd,,Fixed win32 build on a case sensitive fs,
bulletphysics/bullet3,188,2014-06-20T08:02:12Z,2014-06-30T19:13:26Z,True,2014-06-30T19:13:26Z,c1584027b76ed52e7558e94b38ea7bfcc6ad83bb,1,1,f2e54ea0a5a2ba25d01047edd784e9b0448aef6d,,fix crash on CPU not having AVX support,Hi  the _xgetbv() instruction lead to a crash on my laptop (i7 Q740)  producing a "illegal instruction" error. It seems some checks have to be performed before calling this instruction  I have added them and included them below.  Regards  Gregory 
bulletphysics/bullet3,160,2014-04-09T17:05:54Z,2014-04-09T18:14:34Z,True,2014-04-09T18:14:34Z,e5eec77b10f5cdcd053d859243a7e20c961d1d75,21,18,b7b7356af8019f51af431b62567030732115296e 7f0e361fa097d5859afbaae4d1a8e55195627af9 e955192971e3e4644fdb94f701a00a549587c068 e4fbd5332d64940e976500fd5d9dc5ade036eb60 c782f4976c73021a9ec13a9f3977a34c07c23ab1 fe12ad9c9b67fa39a17a1d6e94a3788222876461 28da87dfc77f9f50e826aa4c7f8a7314ed3f07f3 4dcd52c0904be63695c28a429ace46c8f50ed927 f19f85368517ff08a4f329710a1710f547c545d2 038364ccdd70e1f87a42bd36cfb898f4e499b59b db02ced6068d87791a847795f97b522f903c9816 1b85dad6b4cfa7cd44e5ec212133536de7e6a3c2 bb0102d79b6feb7baed06dbd98c0b2527eb35aab 19b194e8fe66d56558f7ec63fc89b70b9e9241c3 f324e66f86493b598bbd9ad1e4b151bfc7286784 b709d6beebde777ab29455be1ea7c3ba25ace257 26bcff31f745937fffeea0bf93476789508a95e0 5c5dbc035ee78531b68d8fc1e5a3beb5c2c9a0fd,,Plbvh raycast,testing a pull request for the plbvh raycast 
bulletphysics/bullet3,159,2014-04-09T10:35:17Z,2014-04-09T18:14:58Z,True,2014-04-09T18:14:58Z,04a3f9607061d89a7c201db796267729a7248104,12,1,aafbf48130afc8b3d242021a2cc027a8f660b978,,Fix linux mingw shared static build,
bulletphysics/bullet3,161,2014-04-12T16:16:19Z,2014-04-13T17:58:15Z,True,2014-04-13T17:58:15Z,0d4646a70bd6f0e385af4969ad893fa325a0b079,1,1,ed42e217b54b1047d9fe47de0bc214ed494dee4e,,subdivision backface shouldnt be in front,with Subdivision turned on  the triangle face was wrong in my case. i am not realy sure if its the same problem as in this issue: https://code.google.com/p/bullet/issues/detail?id=772&colspec=Modified%20ID%20Type%20Stars%20Status%20Owner%20Summary 
bulletphysics/bullet3,45,2014-03-24T22:46:39Z,2014-03-24T22:46:59Z,True,2014-03-24T22:46:59Z,59fc3e0ffbd893639b656bb00dba4e68032f10d1,9,3,4afe403e3502efed7817b0c017ebf5c9ce54a51d 35c916f487092310e7be8dd3ea88986138ec7099 01fe7159d965fa34961bec51a3a0879ce1297972,,improve CMake support,improve CMake support 
bulletphysics/bullet3,178,2014-05-20T18:04:46Z,2014-07-11T19:58:16Z,True,2014-07-11T19:58:16Z,6cc49d8c2f6d7f49b76be0cba69167d6bf4b7375,1,2,010d5cbc2b29a9e4f839f3a846783a06321c6dfd 6d36803de70495e6e267811e9f4698d487955b73,,Add travis yml for continuous integration,Travis provides a pretty easy way to do continuous integration with Linux builds. I set it up on my fork with the included configuration file ([here's an example build report](https://travis-ci.org/scpeters/bullet3/builds/25625105)). It can be expanded to include regression tests or static code analysis if you wish. It can also be used to flag compiler warnings with the `-Werror` compiler flag  though I disabled that for now  since there are many compiler warnings.  In order to enable the builds  you have to login with your credentials to travis and give them some permissions. It's up to you  but I have found this to be a very useful development tool. 
bulletphysics/bullet3,197,2014-07-12T10:51:45Z,2014-07-14T16:26:16Z,True,2014-07-14T16:26:16Z,b4dbd3238511c2286424e714dee66ba0fec478b9,1,1,1054fd1992a8c4035d7a276a1d73e85c005cd33f,,No system headers when cross compiling ,Fix CMakeLists.txt to not unconditionally add include paths to native system headers in /usr/include and /usr/local/include  which contain include files for the host architecture  and not the target architecture that is being compiled for. 
bulletphysics/bullet3,21,2013-11-01T01:30:45Z,2013-12-11T19:16:04Z,False,none,ff917231a5f5c104c62518c62bf09797ef228f98,64,5,5b98c8b4232c5926c67ebea2957321c607911aa0 b0f3f10a10857ec94c5320dcb439518da8fcdd9c aa222d47e9a3e106177253543d378f0fd71f3600 d7802a11c9edfdbac0878e5643fdc172812436c2 71726c2881bd0e79726b26d3a7d656f460086bcc,,Begin a code cleanup effort starting with some trailing whitespace,Sorry for the huge diff. I tried to split the commits out so that they were easier to approve. I walked through vim replacement for trailing whitespace to make sure the replacements being made wouldn't affect the code. I'm honestly just learning the code a bit while doing some cleanup. I'll probably remove whitespace from the rest of the files soon and move on to indentation consistency and then making sure that preprocessor if/else blocks are clearly marked and indented. 
bulletphysics/bullet3,46,2014-03-27T23:46:00Z,2014-04-08T16:10:03Z,False,none,ad2ea8ba1beb26cf8fe69b80d3cff276eb515488,3,2,ad526c47226a36bfe3242713fa5380f10c435ca2 4413ef74f9516f6fc2001d9dc466ceb186ed9a66,,Fix some cmake build issues on Linux,Fix some cmake build issues on Linux 
bulletphysics/bullet3,199,2014-07-16T13:56:54Z,2014-07-22T08:12:08Z,False,none,7db25373085516acc4e14cf85dae5b29bce06620,4,4,6cceb63a7fb25b3cab427dd8bd86dfa2408cdea6 41887b3d45db25b9f2ae436b00201d164eda9116 5a2e24aa4103ef98fa6914d28eadf527e085b9d0 81b8cdd507398307980a104ff413047062bc1214,,Documentation,I have documented a few classes (btRigidBody  btDynamicsWorld  btCollisionWorld). When ran through Doxygen  these classes now produce much more thorough  explicit  and unambiguous output. 
bulletphysics/bullet3,202,2014-07-25T14:54:01Z,2014-07-25T15:04:49Z,False,none,08c5124c4d5272b9fcbf6a402a9ddcc2f738fedc,2,2,c41220877e5b184c81dc0ce60ca606fbaf8a4361 abdd9e3f3f9f67e720ea5a6b24d737ceb53523a2,,added get elapsed time from clock in seconds,Simple function to get the clock time in seconds rather than having to manually convert milliseconds or microseconds into seconds. 
