Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
bulletphysics/bullet3,160,2014-04-09T17:05:54Z,2014-04-09T18:14:34Z,TRUE,2014-04-09T18:14:34Z,e5eec77b10f5cdcd053d859243a7e20c961d1d75,21,18,b7b7356af8019f51af431b62567030732115296e 7f0e361fa097d5859afbaae4d1a8e55195627af9 e955192971e3e4644fdb94f701a00a549587c068 e4fbd5332d64940e976500fd5d9dc5ade036eb60 c782f4976c73021a9ec13a9f3977a34c07c23ab1 fe12ad9c9b67fa39a17a1d6e94a3788222876461 28da87dfc77f9f50e826aa4c7f8a7314ed3f07f3 4dcd52c0904be63695c28a429ace46c8f50ed927 f19f85368517ff08a4f329710a1710f547c545d2 038364ccdd70e1f87a42bd36cfb898f4e499b59b db02ced6068d87791a847795f97b522f903c9816 1b85dad6b4cfa7cd44e5ec212133536de7e6a3c2 bb0102d79b6feb7baed06dbd98c0b2527eb35aab 19b194e8fe66d56558f7ec63fc89b70b9e9241c3 f324e66f86493b598bbd9ad1e4b151bfc7286784 b709d6beebde777ab29455be1ea7c3ba25ace257 26bcff31f745937fffeea0bf93476789508a95e0 5c5dbc035ee78531b68d8fc1e5a3beb5c2c9a0fd,,Plbvh raycast,testing a pull request for the plbvh raycast
bulletphysics/bullet3,178,2014-05-20T18:04:46Z,2014-07-11T19:58:16Z,TRUE,2014-07-11T19:58:16Z,6cc49d8c2f6d7f49b76be0cba69167d6bf4b7375,1,2,010d5cbc2b29a9e4f839f3a846783a06321c6dfd 6d36803de70495e6e267811e9f4698d487955b73,,Add travis yml for continuous integration,Travis provides a pretty easy way to do continuous integration with Linux builds. I set it up on my fork with the included configuration file ([here's an example build report](https://travis-ci.org/scpeters/bullet3/builds/25625105)). It can be expanded to include regression tests or static code analysis if you wish. It can also be used to flag compiler warnings with the `-Werror` compiler flag  though I disabled that for now  since there are many compiler warnings.  In order to enable the builds  you have to login with your credentials to travis and give them some permissions. It's up to you  but I have found this to be a very useful development tool.
bulletphysics/bullet3,232,2014-09-03T16:56:14Z,2014-09-03T17:21:02Z,TRUE,2014-09-03T17:21:02Z,ea23865506dfffe02102201ea0622a77d80aa9bb,30,1,0125324bd60f75756a090aa8b70c08aec9f08b99,,consolidate files into btgui OpenGLWindow from FontFiles OpenGLTrueType,...Font)  consolidate stringify_linux/_osx into stringify.sh
bulletphysics/bullet3,318,2015-02-03T21:03:03Z,2015-02-04T18:38:29Z,FALSE,none,419971395209f732ba93a21dd2320e1dc1f39a52,2,3,d7131e9bb0df5163050f046bc432148fbd23befd b42a2c18462d6ef64129a3f3f95b44c64c21db98 d4f06bbda5e172fd1288601b89cfb69ddff8438a,,Build fixes 2 83,There are two fixes here to the build system: 1. Use absolute paths in the installed pkg-config `bullet.pc` file. Compilation can fail depending on where the build folder is located. 2. Fix a weird pthread linking error on Ubuntu 14.04 (trusty). Here is the console output that I saw:  ``` [ 44%] ../../btgui/OpenGLWindow/libOpenGLWindow.so: undefined reference to `pthread_getconcurrency' collect2: error: ld returned 1 exit status make[2]: *** [Demos3/SimpleOpenGL3/AppSimpleOpenGL3] Error 1 make[1]: *** [Demos3/SimpleOpenGL3/CMakeFiles/AppSimpleOpenGL3.dir/all] Error 2 make[1]: *** Waiting for unfinished jobs.... ```  The libraries were listed for the compiler in the following order:  ``` ../../btgui/Gwen/libgwen.so ../../btgui/OpenGLWindow/libOpenGLWindow.so ../../src/Bullet3Common/libBullet3Common.so.2.83 -lGL -lGLU -lX11 -lpthread -ldl -lXext ```  Note that pthread is near the end of the list. I manage to fix the issue by moving the `-lpthread` before the `-lGL -lGLU`. I don't know why it happened  but this fixes the issue on Ubuntu 14.04.
bulletphysics/bullet3,319,2015-02-04T18:40:55Z,2015-02-04T19:43:44Z,TRUE,2015-02-04T19:43:44Z,f42b65a0e99cc40d6d6b3719647cc7be5c2e924b,1,1,d7131e9bb0df5163050f046bc432148fbd23befd,,Use absolute paths in pkg config file,Otherwise compilation can fail depending on where the build folder is located.
bulletphysics/bullet3,322,2015-02-12T00:48:44Z,2015-02-12T21:34:58Z,TRUE,2015-02-12T21:34:58Z,68f53530c4c5a7e7af7ad1bfff6dccf1774fa739,1,1,35457f0429c22775911145bba433d9f1d8890fc6,,Add extra I flag to bullet pc to allow namespaced includes,Fixes #321
bulletphysics/bullet3,349,2015-03-30T17:40:22Z,2015-04-29T17:58:24Z,FALSE,none,32e7ba67c7799191c553dbe1db022666d5f5c145,1,2,6128336ffc06fffaca3ea3b24dbcdb5c9a0cbb4a 010b533f9030fa1008a168e604e90bb0a9b8ac77,,travis yml install freeglut3 dev,The demos aren't all compiled without freeglut3-dev  so travis didn't catch the broken build from #346. This pull request should fail; the fix is in #348
bulletphysics/bullet3,382,2015-05-08T21:37:23Z,2015-05-13T15:31:17Z,TRUE,2015-05-13T15:31:17Z,9a6fefcde0a4b5429acbeff823a89289df7cc8da,25,2,21430f7d44450d92c1c9a482e0a63d3e6509b9c0 074b869a9f463b14f309922d532be104d43f18ec,,Update travis yml,add '- sudo make install' and hope it works on Travis' OSX machines too.
bulletphysics/bullet3,478,2015-09-20T21:42:10Z,2015-10-08T00:45:40Z,FALSE,none,b2336f5f960ee2ada8dd1c1ba39b958346c57f05,1,1,744fc2499e5f01f6e5be50f223b62c46e12a0b9e,,Run tests on Travis CI,clang on Linux reports false negative i.e. Travis CI reports passed but test actually fails miserably.  ``` $ make  ==== Building gwen (release64) ====  Creating ../../bin  Creating obj/x64/Release/gwen  glew.c  inputhandler.cpp  events.cpp  Utility.cpp  ToolTip.cpp  Skin.cpp  In file included from ../../examples/ThirdPartyLibs/Gwen/Skin.cpp:9:  In file included from /usr/include/math.h:427:  /usr/include/x86_64-linux-gnu/bits/math-finite.h:177:1: error: unknown type name        '__extern_always_inline'  __extern_always_inline double __NTH (lgamma (double __d))  ^ ... 18 errors generated.  make[1]: *** [obj/x64/Release/gwen/Skin.o] Error 1  make: *** [gwen] Error 2  The command "make" exited with 2. ```
bulletphysics/bullet3,535,2015-11-25T00:14:01Z,2015-11-25T02:06:18Z,TRUE,2015-11-25T02:06:18Z,95fff2b1c13b30cfbfe974880fe47b13d51fbef1,10,6,e387baf2134ab255463dec1b7d8708399c6e7849 4c3d32bf485da4efaa29b9c91c8df786b4e57d9a 1826f11fbcd190d33d48bb670f883d4c565c7e37 d8ee7e4dbcdeb835204cb9ba95b1ef1eba4fac5a ff74884f9f38ea9528e9c1e6397f7e33cef10fc3 0e247264fffdddc807966cdfcd47269217c0336e,,add collision and inverse dynamics unit tests to cmake travis yml a,…nd appveyor.yml  (more unit tests will follow  once this setup works)
