Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
linux-can/can-utils,2,2015-05-07T14:15:53Z,2015-05-08T10:41:53Z,True,2015-05-08T10:41:53Z,a4d418210e7fe9b38addf2bb1c43726dfd4c6653,1,2,6a5d671ea20f6badd83874edd73ce3e5b7194d96 0a32afda3a60c3bf9dc9a4ccd551e5927f0fbadc,,add v command response,add v command response. Some software like USBtinViewer using 'v' for software version. Tested on USBtinViewer 1.0 
linux-can/can-utils,1,2015-04-03T13:09:20Z,2015-06-24T18:14:03Z,False,none,1a0d6b0890d1d654bafc6d68d88ef7af7331a1a5,9,1,144e698dc7483c92ff6976cc03903743b9009e35,,Added missing length check for strcpy ifr ifr_name argv x ,
linux-can/can-utils,3,2015-06-24T14:01:39Z,2015-06-24T18:51:45Z,False,none,15ae73da1ef45a65d010e03626ccea77cc51bcb4,9,1,83eea54bc7f21cb43714fe436cc73f9fafc9280a,,replaced strcpy if_name argv x by if_name if_nametoindex argv x ,replaced strcpy(if_name  argv[x])+ioctl(.. SIOCGIFINDEX ..) by if_index=if_nametoindex(argv[x]) to avoid overflows caused by long user input (inspired by isotpperf.c). 
linux-can/can-utils,4,2015-06-24T18:55:19Z,2015-06-30T19:07:14Z,False,none,2d1ca1021c946b5f0af962fa03264750bb8bbdfc,9,4,a6d35b39dbdb11f57d3fc3c33999b00147ebd61d 177f9e6722fc4e70ff600f10be287a3e6754278a ee10198a39b9363f3ff122769e8391f4b50d2074 1bf14755f057c27c32bc1dd7df264a9b6c188ce7,,Replaced strcpy if_name argv x ioctl ,Replaced strcpy(if_name  argv[x])+ioctl by if_idx=if_nametoindex(argv[x]) to avoid overflows caused by long user input.  Signed-off-by: Sven Schmitt sven.schmitt@gmx.net 
linux-can/can-utils,6,2015-09-02T07:58:26Z,2015-09-04T09:17:10Z,False,none,b791016608073f4e3fc153796ce8901dc5cf5baa,1,1,88a918ade9de18370a6e19c40215fd5b5fb22dd9,,Create README md,Create a sample README file populated from https://packages.debian.org/sid/can-utils 
linux-can/can-utils,8,2015-10-06T15:49:26Z,2015-10-10T17:47:23Z,False,none,8f71067e4c5ec85b3c24fe7158bf914a9fc99779,1,1,04e4457aa9ac0de15c7515a6d5ec89dd1f7d7260,,cangen added optarg enabling bitrate switch in canfd frames f b ,Signed-off-by: Sven Schmitt sven.schmitt@gmx.net 
linux-can/can-utils,9,2015-10-11T19:23:38Z,2015-10-14T19:25:53Z,False,none,8049a960199c080d1762cd2f2472d52837640ef0,1,6,04e4457aa9ac0de15c7515a6d5ec89dd1f7d7260 11ea75367b312ea7750dfe555bfa60a22621bf65 eb7a371f27a7ee0c42a6349e83f13a3422916a98 b1775eae3e3cf54f7b0b343911a1c54ce0de1533 679e3324c89992e71381e06e3ca819c5820d543b 505631eb7030256c51a1a000cd8dfe75e0322fcb,,Brs,Like this? 
linux-can/can-utils,10,2015-10-13T21:13:47Z,2015-10-15T12:41:13Z,False,none,b36547719e3a9eda0ad8892f883499d2fcb090f5,1,4,dd13fc6eab9cb81ffb7a2db34ee8b2a9d826f552 e00c34b286072c3cdfec956e2875b14a8143bf77 fa8f1d4306a24eae3179914493813c3dbbcba2ff 96fabc3b6a35ff1bbf3217856a483b0460e074b5,,slcan added listen only flag,slcan_attach: use -l flag to send a L\r instead of O\r to use the can adapters listen-only mode 
linux-can/can-utils,20,2016-05-20T20:49:33Z,2016-05-21T08:36:30Z,False,none,bd5450775d56da3096079e7c8434b1ad7af0938a,1,1,d3d094a5de1203db89f84162461b570e110cc401,,added listen only to slcand,listen-only option (-l) has been added to slcan-attach in oct 2015. It is now replicated in slcand 
linux-can/can-utils,23,2016-06-13T08:28:22Z,2016-06-13T08:35:26Z,True,2016-06-13T08:35:26Z,862e8ed1780014069797c3c2bb7d13594246822a,2,1,ef2ea8fa59e9123c496a109b2b4cb62dd1e3e7fa,,pointer to const in lib,See issue #22 
