Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
linux-can/can-utils,64,2018-01-18T09:41:15Z,2018-01-18T10:02:43Z,False,none,6b986e2c561a24bbe2c0d851e489beaf1c56a610,12,10,ac181f305fbc8ba9ad6b8312f032133414360fea eabe3a69f03a0bdc7f79f031f72d5f3ede133e3e c234ebc4a5d0f7c9b623afdddc17e7d8d9602dc3 6e22cc49a7ebc676de754fab70f8f1b59391b3b5 f66e18aed0ed12e8febe90f346bcd012e2077f0c 6e8753e4d2d62a0078f385ff49fb69000e620159 126896e1734256eadc52718a80731e7e7df3f198 99e1d052363b31b8f87620b5d043346c64d933d7 186656f960ed95a658ca2902525dc1a4223d7234 206906ccd38e304d985ab6942d8053dddaf69168,,testj1939 initialize verbose variable,verbose is used uninitialized when testj1939 is not called with -v.
linux-can/can-utils,7,2015-09-24T19:33:45Z,2018-01-18T10:22:12Z,False,none,none,11,5,e965a2a25ede2753513f4d52eaeea51ee2ea87bc 18da2c3f6ab68450ca2b58cbffb0bea33cd2dd6c 0cbdbfaf0ea81ca0fc65c25d9c11dd7ec03efbef 8147648b3c395f475c574a38c694c8e268d6f18a 44e40cac2c6c73703a763c6f22446f18c991837b,,J1939 v6,
linux-can/can-utils,66,2018-01-22T11:29:01Z,2018-01-22T12:07:27Z,True,2018-01-22T12:07:27Z,a7de2f68b76ee5d52315fbe6bc3b06ad7dbcd17c,3,1,1f3f2f61634a8468d82225c6f2ccb1e7218d5d9b,,testj1939 use address to string function from libj1939,canaddr2str() from testj1939 and libj1939's libj1939_addr2str provide  the same functionality. Remove the local helper function and use  libj1939_addr2str instead.    Signed-off-by: Bastian Stender <bst@pengutronix.de>
linux-can/can-utils,65,2018-01-19T14:51:30Z,2018-01-22T13:52:32Z,True,2018-01-22T13:52:32Z,a6469df2c0a7282bf3743e792135a84a5f01021a,2,2,6133ac94f0119bb402796875555c592f242afdb7 cf039f14fb4083c35937a191f800198eefd0b5b4,,jacd add verbosity and fix missing interface,
linux-can/can-utils,90,2018-08-14T02:31:34Z,2018-08-17T07:50:31Z,True,2018-08-17T07:50:31Z,8a3e0453aa3b3aaeb357711b0007fdf179ea7bfb,4,6,1a4846cf5cdec776317ce37e55b02d5b60779e39 b6efbc2f546447abce0314d62324e658defac496 4585ca549793aad41f594837ebeaded56e692001 08c8a8626cfea4bf68f6bc7a80f0fb51c359caa8 998f2c998c06a03fdba1a99ef48f55967f258b06 c838f79e5f7e0029758faae2e9137eb2e7fee583,,CMake first pass,Hi     This PR is a basic CMake implementation.  I'm hoping this may be of use to others.  I included a usage section in the README file.  Testing has covered Linux  with cross compiling for Android  and RaspberryPI.    Regards   Joel Winarske
linux-can/can-utils,97,2018-09-13T08:41:26Z,2018-09-18T09:48:24Z,True,2018-09-18T09:48:24Z,0ff988eeeff5a56a4698175ada66c2c9122a2d51,1,1,55b0ba83080e1c1ad121e6df64ef1989c30a9de3,,CI treat gcc warnings as errors,For now exclude unused-result warnings in order not to  affect current builds.    Signed-off-by: Yegor Yefremov <yegorslists@googlemail.com>
linux-can/can-utils,114,2018-12-14T12:17:02Z,2019-01-04T12:56:13Z,True,2019-01-04T12:56:13Z,0083a3762bc01fd355c46c47bc7990ae0866f14d,8,2,e649b6ee2a20c5c7ad3e270b24a813f1a78d1a46 23e5e227ace0a6564c125aaa7aac16751a4d4ab4,,add jcat,jcat is kind of netcat for j1939  for example:  jcat can0:0x90 -r > /tmp/some_file    jcat -i some_file_to_send can0:0x80 :0x90 0x12300    Signed-off-by: Oleksij Rempel <o.rempel@pengutronix.de>
linux-can/can-utils,129,2019-03-12T11:28:53Z,2019-03-12T11:34:43Z,True,2019-03-12T11:34:43Z,e1d5ee9907cc2dc9cf919cb2ac472ec5ee7d1f26,2,2,4a1818aa55fdebc861137d82ceda869585d3210c c59dff1bb181e33a94c98d1007268451c2bdda00,,Cleanup,This pull request cleans up the `Makefile` by sorting things alphabetically and adding a missing newline to the `GNUmakefile.am`.
linux-can/can-utils,138,2019-05-09T12:19:49Z,2019-05-09T12:37:41Z,False,none,a5b59c9c706726d865cd611d21bb7973f49f9a6a,9,8,38fa644069d2a40cef8fe1df876588a5a76845cf 1ea2ec872e51e5a66d182cb8a39a0ee6cb5ed6ea 057bf8b7595c050acf24adbcb25b0a1a29730d42 818571a1e37e803bf9bca4804b2f231087715404 a7ed9b5eba70b8089a1549cdd42f441fa271f732 a9e737fa7a7e462f5e59b0950db68d3f7642c8dd 74cbcfee64f7c8f16c3355dc49a735a909502cf9 b6b40ae2af0ae9874d6ce30d8ecc424fa52c983d,,Errqueue broken,Picking up @olerem work from https://github.com/linux-can/can-utils/pull/135.
linux-can/can-utils,137,2019-05-09T12:04:44Z,2019-05-09T12:49:38Z,False,none,54b356a89bb688eb55f50ec90c3913446aa7eb04,9,7,38fa644069d2a40cef8fe1df876588a5a76845cf 9ff370ea8218c0e8b11ca188c01cdb52dac4fca4 6260263ef3a21f3071675898572ef34ba6076d9c 05a66d63fa65e486e08c1d3066737ff51a5854d3 05368ef1aebf9d339afbd083d3f5671ae3fba3a2 edcce70373e54cbdbea9a38cccce111630772fec 25025d05ae4a97034f479dacaa68ee2cbd0349d1,,Errqueue,Picking up @olerem work from https://github.com/linux-can/can-utils/pull/135.
