Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
carla-simulator/carla,38,2017-11-20T14:38:19Z,2017-11-20T15:47:36Z,True,2017-11-20T15:47:35Z,a0fa81344464c533efc0befeb463380fc71da24d,4,5,b2feef5964de6249158c0dd59f9c397c110a7ade 406f67cfe790485f38208b695a604294bcec3aeb 81b095b9ef07b41b3eeac0278334a8107e113619 e59f5ee2eff843f38e558d5546ab431ac59aa41c f3464e2ed87d5d8b59cd8a0e6096f4fbe69efc27,,Adding load settings and modiffication on settings py,
carla-simulator/carla,43,2017-11-21T10:13:15Z,2017-11-21T13:07:06Z,True,2017-11-21T13:07:06Z,1865c42ca75c336c3a9cb1b50af8f59f72a70c26,7,4,a325a21abf15a3921b20d82a4f116ff3291305ff fd405035406743842b5bfe40b1e3935d15423455 7e23d35cd17cd2be6c32d70bc25d81a73c73c7a2 9772c4daf39a364272bac9badd6f76b07e5f0693,,Map branch,Now users have access to a map. The example is provided within manual control.  Just a little bit tested  seems to be ok. Needs documentation.
carla-simulator/carla,48,2017-11-22T11:55:48Z,2017-11-22T17:27:55Z,False,none,961dd2b7d0762e48c44116b87c621c4670d81b19,1,1,ee600dbdf589e479bcdcb2bce72394c5328bd220,,Create sensor_images_example py,Some simple python functions demonstrating how to parse and visualise sensor data. 
carla-simulator/carla,49,2017-11-23T14:43:37Z,2017-11-24T15:40:05Z,True,2017-11-24T15:40:05Z,adecf52043f50c750221cebb6168993dbaccf5d2,44,32,55ae048582d021f4eeb9258d334dfd9b1064813c 1b9029b05677adeb3fcef7862510da7b7b9d99f6 0f28adb9f91924ccb924e649ddc9ab274eceba6f 1849f33a466c7ce99f8dbedcb2d00827c41b6b0c 394fdc7da118f39b5a3fad1225b600011d957e33 db27bbb94b5f28c5e9979d50561ef946f733d1e4 ea6a711559bd8d2d04ed55af1a837700a4869d4d a9e374aa0a3fd5abcd9af99958030aedd8375529 b2feef5964de6249158c0dd59f9c397c110a7ade 406f67cfe790485f38208b695a604294bcec3aeb 81b095b9ef07b41b3eeac0278334a8107e113619 e59f5ee2eff843f38e558d5546ab431ac59aa41c f3464e2ed87d5d8b59cd8a0e6096f4fbe69efc27 a0fa81344464c533efc0befeb463380fc71da24d cebbb4bcbed6c7501de18077595a899f5aec0951 b8cd04e11b1ad15f812e00f499d7c58faf05de85 a325a21abf15a3921b20d82a4f116ff3291305ff fd405035406743842b5bfe40b1e3935d15423455 7e23d35cd17cd2be6c32d70bc25d81a73c73c7a2 9772c4daf39a364272bac9badd6f76b07e5f0693 1865c42ca75c336c3a9cb1b50af8f59f72a70c26 0a951a77228cb48b54b8e7ebb814ae3ebbff2971 033854d80fc5401652ef00e408fbbfcc1c084e7e 2f4edefa59e1e5f0d9c8a5e338f389e40e110b94 05d8afc7ce5e2eac597f9699d25f5747764ff42e 9f95e088c406fbbe7ee67a55eaac9cf1dbce7618 1b621ded46f5b7569211eb7aa97b19ace9486414 4bf86acfb18280318edad557fb049b3ebcac124a 146f9e8552bd442913f8938258c529ff174883ea 5baf6991561a5a5bf40540b1c0e9a30d978c034c 675e549446e75c6c53429d4d5f3c997681aaac91 fc0c3277048b695a9c37181af3466860c1c4af40,,Fix 32 brand new client API,
carla-simulator/carla,54,2017-11-27T12:38:25Z,2017-11-27T16:40:52Z,True,2017-11-27T16:40:52Z,6cef03740b0567ce213900acfc0301f05dd8c065,2,3,d4ef1cc81c6b5b9e76968ccfe36104523f07fb23 918f60d53d7f6e69d003d3e7efcfa563266eb244 a8bac30bd3677daaa06c1a6a346d723fea74f203,, Fixed map made it fancier now agents move around and plotting is fast ,
carla-simulator/carla,57,2017-11-28T12:38:26Z,2017-11-28T12:45:29Z,True,2017-11-28T12:45:29Z,b30f74bd7bd4cd2dd4445f050fb2ec7a6c1b3a8e,1,1,09904f91b5cdfb9df9593e35f9978f418ec8d67d,, small bug on brake value type on example,
carla-simulator/carla,104,2017-12-22T15:00:59Z,2017-12-22T15:24:42Z,True,2017-12-22T15:24:42Z,fdf5409ad665e38200cda283018e4a506c1d99f1,6,4,4956e95347874ecb7d1afdc97b65148cbe0a1bc2 30c54019ec84d533d0d3d5082b277c2c93040cbb 1616ac440ee23f60ec2bbe9fad5c16d78ec718fa c4cbff1521bb13ee0ab467474e73a027b7b3ea0d,, Travis ci support,Adding pylint continuous integration for the "carla" Python API and the examples.
carla-simulator/carla,69,2017-12-05T12:17:44Z,2017-12-22T15:53:03Z,True,2017-12-22T15:53:03Z,a409273fc546088f9fb28354a02e30a9b296c8e8,32,10,5f27d8b7be57c35d2869154a7178649a361e8fe4 2688a78be536568e1b51a8d80529a737badaac7e 6627ce3bcc835644a9c46d079bd1a601fe54db3f 39886a7e29855dd7572cedeb51851aee1d8a0276 6d9ed1e9351797d06d91d575dedd460fc27f64ba 56c65871e5de8f0e81dba361c43b494933eb8936 abc6bbba7b2c5089b4c3001be668431ac6b6d209 6c3fb2a74667190a7533c67cb1ecaa9a270c5d87 967e6fe19c0b11f5ad485ff0218232e55b43117b 4561d4a3331f3c10536043115cfcf5fa94886404,,Adding 360 Lidars support similar to Velodyne HDL 32E or VLP 16 ,You may add any number of lidars to the car. Lidars have following settings with specified default values:    \# Number of lasers  Channels = 32    \# Measure distance  Range = 5000    \# Points generated by all lasers per second  PointsPerSecond = 100000    \# Lidar rotation frequency  RotationFrequency = 10    \# Upper laser angle  counts from horizontal   \# positive values means above horizontal line  UpperFovLimit = 10    \# Lower laser angle  counts from horizontal   \# negative values means under horizontal line  LowerFovLimit = -30    \# wether to show debug points of laser hits in simulator  ShowDebugPoints = False    \# Position relative to the player.  LidarPositionX = 0  LidarPositionY = 0  LidarPositionZ = 250    \# Rotation relative to the player.  LidarRotationPitch = 0  LidarRotationRoll = 0  LidarRotationYaw = 0    Default values choosed close to Velodyne HDL-32E.  Also one lidar added to ./manual_control.py. You may see bird eye view of lidar points in upper left corner.    Lidar was made using UWorld::LineTraceSingleByChannel method. Serialization of lidar measurement made similarly to camera images.
carla-simulator/carla,124,2018-01-09T15:27:49Z,2018-01-11T13:39:31Z,True,2018-01-11T13:39:31Z,cf24ebe8ed0f4f5658536e6ebc3427bb97a21907,14,10,d353631c56c37769eb4e78352626805738b223f6 c5cbee9194a4e94b84ad54413108ba38d5849127 0d05d70b5e54150ce32c1be5bdc1ecbac30dca74 a7e3fef096356a09b6b23e06cd886b723a865f03 2e76bb32734951f8d91023be4753e8eee8c95eb3 bd8c12089d3219e81e79f816b204bffb15f03a0b 1252dd80e851f3216c1e3aa3c3de8141b5cbb480 80a3c26cabb7771ea42756493e4600963dfccc95 e1847f2001b6da1092169e7d6529275edd7f85e7 84b20488d13657733f54da60fc8d9349a240d0ed,,Stricter continuous integration tests,Now Python code will need to pass [Pylint](https://www.pylint.org/) clean of **errors and warnings** in Python 2.7  3.5 and 3.6.    I also added a [Cppcheck](http://cppcheck.sourceforge.net/) static analyser test for the C++ code that may catch some issues.
carla-simulator/carla,139,2018-01-15T16:07:07Z,2018-01-18T16:36:51Z,True,2018-01-18T16:36:51Z,70d2ea1dd316985c1f8c2942b3b2f06510effcdb,4,1,d9683c810f34bf81be05cc6d51af34ad62fec54c,,Add option to skip content download,Added the `-s` and `--skip-download` options to "Update.sh" and "Setup.sh". This way people having troubles downloading the 10GB of content can manually download this file  possibly from somewhere else  and run setup.
carla-simulator/carla,95,2017-12-19T10:36:21Z,2018-01-22T15:13:22Z,True,2018-01-22T15:13:22Z,ed092ce7ec128a05f3357203c6c316f8256fdbc8,26,68,d9624f6616dfc97912a865b5db49feedaf32a809 85d693032ec769da4a8e5719139dbde24fd64ad3 5406d5f0ebe74926b7d3360eb992bf9e525bcabb 1b89041375c11dda68e313b9dcf28922fd2235c1 269979d0c72e05713b2526fcb9c9ae6a17830f10 876d5a091ec9808b559468acb3945bcc29264495 9a622b5fbef4b906beba66e2bfd92fe1d17b1615 f36bd466c27697ef90d264667eb4c9bd0ce6889d 35b7229b90cfceb987225ba45b84ee0307e4ad65 b1f4db48052c1a95de922e5c9e4b5cebd5b55468 71aa3be5777aa0b544f611004a1d580234c7b24b f31eaa09987a16b1d17eee467383f37d60bfaa6f a371b6347c6a31b633eb9cfda65fdbf0321c64ba d2a5a717679c8bbfa83ab9354c23494a7fda4919 f4f238f248f1af41b66cff70d25c606ace5f5938 a7dacc22b8571c50309aef33c4928345ca19f65c fa34e359d013c79708376fd9b79d0723ae9c1086 463757c21464a9dd22492f73dd39f6ca22a5ca65 209f169ff2ae8c82979b31b6ba983056ffd41ba8 b7cd3438373f67c37d30e10a644885d64255df40 02fbb41bdab04e9c545ab4f2e42819ccf09bbe5a 27967e0a77e11b2f3ce45af6fa9f0c9f4ba7ebe4 92f14af8e9f1b8dc238b03bd12660ba52c45523c 60fa467d0d3407b6ddc7327c090ea062a83ff779 7b7375e3e2b7aa5b437f1ef2d10348fcb57c3fb4 3329471b1173f46cb2919129595fe58f45fb9fa6 a1ba42c70e1f8c1e05bacf58484d79b53cb8a53d c997732e0b9d7a84333de28b63af8166def66b41 f7716f1ee6ed9f54ef9717e981f7085adf59be47 3d418f9be4e6d7491e8b5f15edf8421ea14e1ebf 67289ac7eee7aa1c98ea3624c1e9db25d118b443 9d61a2e8d508e78e0b20c8d1068fdec57410bb93 081db8238f9eb367f9fffc44167e84fbbe4b1145 8c252af9cb7061437b92dbcbbd924ddb01dfa99f 3cfa6acf46efa3c551fa83520e5a3234c47e114b 99ef016f2e63c2c0062c9a8a6df850862c5f6f64 5067b9109e32801b6f6e0f95455f4d4174547e5c 50418c1e066cee9fe418b9b86303ba7a2e6e9df2 ada138c0395b727eacb48c47693dd83f77df49bf 6a95c49e9d15354f7cc91493908acd4436868c0f 45f8ec54fe7e2300d3f0834e5be82403660022ef 40532ef1bc78d9b03e2d0543f231d1a4ae59fdbe 4083adcba2f09e2802045b7e482f6515f6d97990 676656d20b09f62c4eedfb50536a0349ef7621f3 6195653942f725d62d8b05a6b9edb354c6ae7fe8 388a8060d7a357cd3451d3863c65c5cbf1ef8cd8 bad04d82da4346106c0b43099aef0519e979159b d481a5f3ba5dc8cafa1f778cb4ade932e412c7b5 59762f52debd43494a57d4eeb6ac266e02312b3c 4dc711a20b0db674cc7801622e9d43a940e5ec56 f901b05a66f835501b8803ccd7386b6a8f1a2de2 f139431c628dc8dbb24783c2ce06955025db8eb9 eabec718453ccc552b328baa8704971fbf6f9e09 3feccb8b22fd2612e5ca496621edc45c9cf51aec 1e2c3a3ea07dfa35690e83a80fd55a9eb6193ca6 b59659c7b45896f5cb2bb9fcab64f51f6952d371 cec548c9644b991f24588fe0b8db91933f9aab81 f0eccca7ad9f02fbd38bebe29cf901caa31cb95f 78187b83d07bf7e84629fd370bc5574c4a0db7e3 0aaa74a2606e81086e895e4b055e13542202e3e8 07d2231ac3ab0955bca96320fb27d9abe09020a8 babb965a88052bfd7d7a2a501fc78c6f022f98e9 0df68de755adbcaa1c66efff37f6ee2453fc1f89 d700a388d6341bd5d76ce429e6b8827654977501 16b4679c1002c4344c790061af36e74d5be144de bb797c8700bba7dc6d210b8a235425e494fbc4b2 a991e53059050e712c14ff308ed5ae7179bfc36f 438fd3baced8a5cc34e7fc377b9bdb8677081fb5,,Benchmark branch,Adding the benchmark branch.    Use the run_benchmark system to benchmark an agent.    Resolve #51 too.  
carla-simulator/carla,154,2018-01-22T15:44:03Z,2018-01-22T18:50:50Z,True,2018-01-22T18:50:50Z,33309236a3a1ae49c62f3d267e0c342954c10d5c,165,1,5d72b4178f47f6eccd0c93bf326d3403f0f51d8f,,Update license,
carla-simulator/carla,148,2018-01-18T15:44:33Z,2018-01-22T19:02:20Z,True,2018-01-22T19:02:20Z,be996126ffa021056457bcf7d238b4a095cacacf,1,2,0e040e4dd285b3fedb68a091113701c37cf15c81 f49ba44386b6bc582fb39167244f396d38a380d3,,PEP8 configuration,Increases PEP8 line length to 120.    80 is good as general rule but sometimes too short as to be always corrected.    The `.pep8` file is recognised by tools like autopep8
carla-simulator/carla,138,2018-01-15T13:58:44Z,2018-01-23T09:46:11Z,True,2018-01-23T09:46:11Z,45c878fbe45157a9f527180924f9ab49935bfef6,12,21,7037a7a36601f3638710c66aa001f4c739838379 e2995c955820e17a6690da35e9278bd866e3a251 fb2bd3884d2c2b934ab75ec7f83f8bb50dd6e692 59d857a158c136ea7ff251539ccbb4ef2e9401f6 bd42d675394a40980758c745d3a1db99250846ac de1c0739eaf0213edbb1cef976c9f0664e47069b 01c088067ce3b888dc61213449c07155086b9825 36d4e478949e84a241d92670f9078fbbcf718ee0 d8042a1ded721f583da42197643b0f17fb26acb7 8b8f9d9a942f5295000da888d30ef92f74111a6d aa6cd7c8d8e6a937d4d1a7b4a9d273d377a06e71 1b10c4568d12a1dda93a6757930a8f9bb3f82e8e 1ca9cedc47c3b4cdf31cbb0f24580abfd2a58e28 d9202bb099d59210aa9d4a41c0982662187cadbb 83cceb0e2f9d235c76b142f032ebcc4bcbd1b76f 37670c12f194b59217d1fa8f4c182dda6237772a e9160f58b1cc8cf836ba6a80d4b17cb14737302f e12098f3a605bf680da8c2e264d59065331989dd 90d4bc054c666f92d097f35526ff83381074a7c3 b49a7e617e58d5ddddec625016652ff38423ade3 b1a6ffc8e26863191c8598255f4403bb83c9437e,,Improvements to documentation,To be merged before next release.    Related to #142.    --> [Documentation build of this branch can be found here.](http://carla.readthedocs.io/en/documentation/) <--
