Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
carla-simulator/carla,104,2017-12-22T15:00:59Z,2017-12-22T15:24:42Z,TRUE,2017-12-22T15:24:42Z,fdf5409ad665e38200cda283018e4a506c1d99f1,6,4,4956e95347874ecb7d1afdc97b65148cbe0a1bc2 30c54019ec84d533d0d3d5082b277c2c93040cbb 1616ac440ee23f60ec2bbe9fad5c16d78ec718fa c4cbff1521bb13ee0ab467474e73a027b7b3ea0d,,Travis ci support,Adding pylint continuous integration for the "carla" Python API and the examples.
carla-simulator/carla,124,2018-01-09T15:27:49Z,2018-01-11T13:39:31Z,TRUE,2018-01-11T13:39:31Z,cf24ebe8ed0f4f5658536e6ebc3427bb97a21907,14,10,d353631c56c37769eb4e78352626805738b223f6 c5cbee9194a4e94b84ad54413108ba38d5849127 0d05d70b5e54150ce32c1be5bdc1ecbac30dca74 a7e3fef096356a09b6b23e06cd886b723a865f03 2e76bb32734951f8d91023be4753e8eee8c95eb3 bd8c12089d3219e81e79f816b204bffb15f03a0b 1252dd80e851f3216c1e3aa3c3de8141b5cbb480 80a3c26cabb7771ea42756493e4600963dfccc95 e1847f2001b6da1092169e7d6529275edd7f85e7 84b20488d13657733f54da60fc8d9349a240d0ed,,Stricter continuous integration tests,Now Python code will need to pass [Pylint](https://www.pylint.org/) clean of **errors and warnings** in Python 2.7  3.5 and 3.6.    I also added a [Cppcheck](http://cppcheck.sourceforge.net/) static analyser test for the C++ code that may catch some issues.
carla-simulator/carla,139,2018-01-15T16:07:07Z,2018-01-18T16:36:51Z,TRUE,2018-01-18T16:36:51Z,70d2ea1dd316985c1f8c2942b3b2f06510effcdb,4,1,d9683c810f34bf81be05cc6d51af34ad62fec54c,,Add option to skip content download,Added the `-s` and `--skip-download` options to "Update.sh" and "Setup.sh". This way people having troubles downloading the 10GB of content can manually download this file  possibly from somewhere else  and run setup.
carla-simulator/carla,95,2017-12-19T10:36:21Z,2018-01-22T15:13:22Z,TRUE,2018-01-22T15:13:22Z,ed092ce7ec128a05f3357203c6c316f8256fdbc8,26,68,d9624f6616dfc97912a865b5db49feedaf32a809 85d693032ec769da4a8e5719139dbde24fd64ad3 5406d5f0ebe74926b7d3360eb992bf9e525bcabb 1b89041375c11dda68e313b9dcf28922fd2235c1 269979d0c72e05713b2526fcb9c9ae6a17830f10 876d5a091ec9808b559468acb3945bcc29264495 9a622b5fbef4b906beba66e2bfd92fe1d17b1615 f36bd466c27697ef90d264667eb4c9bd0ce6889d 35b7229b90cfceb987225ba45b84ee0307e4ad65 b1f4db48052c1a95de922e5c9e4b5cebd5b55468 71aa3be5777aa0b544f611004a1d580234c7b24b f31eaa09987a16b1d17eee467383f37d60bfaa6f a371b6347c6a31b633eb9cfda65fdbf0321c64ba d2a5a717679c8bbfa83ab9354c23494a7fda4919 f4f238f248f1af41b66cff70d25c606ace5f5938 a7dacc22b8571c50309aef33c4928345ca19f65c fa34e359d013c79708376fd9b79d0723ae9c1086 463757c21464a9dd22492f73dd39f6ca22a5ca65 209f169ff2ae8c82979b31b6ba983056ffd41ba8 b7cd3438373f67c37d30e10a644885d64255df40 02fbb41bdab04e9c545ab4f2e42819ccf09bbe5a 27967e0a77e11b2f3ce45af6fa9f0c9f4ba7ebe4 92f14af8e9f1b8dc238b03bd12660ba52c45523c 60fa467d0d3407b6ddc7327c090ea062a83ff779 7b7375e3e2b7aa5b437f1ef2d10348fcb57c3fb4 3329471b1173f46cb2919129595fe58f45fb9fa6 a1ba42c70e1f8c1e05bacf58484d79b53cb8a53d c997732e0b9d7a84333de28b63af8166def66b41 f7716f1ee6ed9f54ef9717e981f7085adf59be47 3d418f9be4e6d7491e8b5f15edf8421ea14e1ebf 67289ac7eee7aa1c98ea3624c1e9db25d118b443 9d61a2e8d508e78e0b20c8d1068fdec57410bb93 081db8238f9eb367f9fffc44167e84fbbe4b1145 8c252af9cb7061437b92dbcbbd924ddb01dfa99f 3cfa6acf46efa3c551fa83520e5a3234c47e114b 99ef016f2e63c2c0062c9a8a6df850862c5f6f64 5067b9109e32801b6f6e0f95455f4d4174547e5c 50418c1e066cee9fe418b9b86303ba7a2e6e9df2 ada138c0395b727eacb48c47693dd83f77df49bf 6a95c49e9d15354f7cc91493908acd4436868c0f 45f8ec54fe7e2300d3f0834e5be82403660022ef 40532ef1bc78d9b03e2d0543f231d1a4ae59fdbe 4083adcba2f09e2802045b7e482f6515f6d97990 676656d20b09f62c4eedfb50536a0349ef7621f3 6195653942f725d62d8b05a6b9edb354c6ae7fe8 388a8060d7a357cd3451d3863c65c5cbf1ef8cd8 bad04d82da4346106c0b43099aef0519e979159b d481a5f3ba5dc8cafa1f778cb4ade932e412c7b5 59762f52debd43494a57d4eeb6ac266e02312b3c 4dc711a20b0db674cc7801622e9d43a940e5ec56 f901b05a66f835501b8803ccd7386b6a8f1a2de2 f139431c628dc8dbb24783c2ce06955025db8eb9 eabec718453ccc552b328baa8704971fbf6f9e09 3feccb8b22fd2612e5ca496621edc45c9cf51aec 1e2c3a3ea07dfa35690e83a80fd55a9eb6193ca6 b59659c7b45896f5cb2bb9fcab64f51f6952d371 cec548c9644b991f24588fe0b8db91933f9aab81 f0eccca7ad9f02fbd38bebe29cf901caa31cb95f 78187b83d07bf7e84629fd370bc5574c4a0db7e3 0aaa74a2606e81086e895e4b055e13542202e3e8 07d2231ac3ab0955bca96320fb27d9abe09020a8 babb965a88052bfd7d7a2a501fc78c6f022f98e9 0df68de755adbcaa1c66efff37f6ee2453fc1f89 d700a388d6341bd5d76ce429e6b8827654977501 16b4679c1002c4344c790061af36e74d5be144de bb797c8700bba7dc6d210b8a235425e494fbc4b2 a991e53059050e712c14ff308ed5ae7179bfc36f 438fd3baced8a5cc34e7fc377b9bdb8677081fb5,,Benchmark branch,Adding the benchmark branch.    Use the run_benchmark system to benchmark an agent.    Resolve #51 too.
carla-simulator/carla,138,2018-01-15T13:58:44Z,2018-01-23T09:46:11Z,TRUE,2018-01-23T09:46:11Z,45c878fbe45157a9f527180924f9ab49935bfef6,12,21,7037a7a36601f3638710c66aa001f4c739838379 e2995c955820e17a6690da35e9278bd866e3a251 fb2bd3884d2c2b934ab75ec7f83f8bb50dd6e692 59d857a158c136ea7ff251539ccbb4ef2e9401f6 bd42d675394a40980758c745d3a1db99250846ac de1c0739eaf0213edbb1cef976c9f0664e47069b 01c088067ce3b888dc61213449c07155086b9825 36d4e478949e84a241d92670f9078fbbcf718ee0 d8042a1ded721f583da42197643b0f17fb26acb7 8b8f9d9a942f5295000da888d30ef92f74111a6d aa6cd7c8d8e6a937d4d1a7b4a9d273d377a06e71 1b10c4568d12a1dda93a6757930a8f9bb3f82e8e 1ca9cedc47c3b4cdf31cbb0f24580abfd2a58e28 d9202bb099d59210aa9d4a41c0982662187cadbb 83cceb0e2f9d235c76b142f032ebcc4bcbd1b76f 37670c12f194b59217d1fa8f4c182dda6237772a e9160f58b1cc8cf836ba6a80d4b17cb14737302f e12098f3a605bf680da8c2e264d59065331989dd 90d4bc054c666f92d097f35526ff83381074a7c3 b49a7e617e58d5ddddec625016652ff38423ade3 b1a6ffc8e26863191c8598255f4403bb83c9437e,,Improvements to documentation,To be merged before next release.    Related to #142.    --> [Documentation build of this branch can be found here.](http://carla.readthedocs.io/en/documentation/) <--
carla-simulator/carla,162,2018-01-23T14:58:56Z,2018-01-23T19:05:41Z,TRUE,2018-01-23T19:05:41Z,056534c8d6b6de652f524b63e053186b8d68a101,5,5,1da114b2ed1194a4213d79cf47a6af82dfdca9ff e8be3a20f4d9c2adfe8fcf1c9b9bc7f298bc8ea2 d67dc6a1de958750bdc9c1a484d2ec803a29ddad fcb32a96b25274e389776dbc397cf6673fab72a7 d662fe3c91d7a268e943a8c0482291fe01e77075,,Increase version and some improvements to the build system,#### Description    Some improvements to the build system.    Also increase CARLA version  preparing for the next release.
carla-simulator/carla,181,2018-01-29T10:58:36Z,2018-02-03T12:18:07Z,TRUE,2018-02-03T12:18:07Z,d20afdf214b1a2b5e728e763be6d856a6111fbce,13,23,c8e87d1153241017e4ded2167092aa3963bd2522 a4622a4c5a737deba9c1d509939b30b92e19e56c d9091aa5ae73fd0ba6a4c37a2e4441a1c8285c6d 2f4d3579f9e030e656faa7790909e0e2a952a786 4ab41f0e778f30b33831887897f29dad17cef926 051323b1f710f67ea3fd7aaef3af779e806b6865 3317f2c298b5a49f53b94d41317cd4ef09d8c814 b66d496912932987a1b3c8dde00ac8e45f38821b a2c92aec69c544655efb0871e5545c629603d59c ca9037f993f8364ea91bd6bd47bade98cea1cbd1 1b55e1ff7fc53a4f9cf3fded7c2af759dd3d6da0 d118047e112333ed28ea24d60aa2d606a9efbfaf b470f3c5641fab41174a8f7740ffea744de65429 0e694af2c98236d916e997354d7793710a8b13db 6ce8766816a927610474a3d0709829988ad999ce 34331086b7c24a78796ecc09e7ca91e77bc2b47c d01db971d44acdacd821e7ed4cb47a855dfbd976 c2b0f1ef50b584cae8aa5c858dff265375ea0378 202f88f319407fb62893a2fd7ee7d16f83266955 7b3f07b4182ac2d779c944bb28304cb846bc34e0 eb9403b4311622c6436ddd2033b4769e00269bce 325062820517fed1247ed62fdec3427f168f507e 16f0f22afb6153eeea2b91f32358506a792c586d,,Improvements to documentation,#### Description    Adding here more documentation improvements.    Related to #142.    --> [Latest documentation build for this branch can be found here.](http://carla.readthedocs.io/en/documentation/) <--
carla-simulator/carla,248,2018-02-24T18:31:24Z,2018-03-01T15:57:34Z,TRUE,2018-03-01T15:57:33Z,63b6d2efa5c36f17ad1482ccbfd8523b43cd4b48,161,47,3bb4bb50a0fdb0cdd6a1eb83d73a86593f51af18 ba1dc589d42d54ef6eceaad39e69638f4fe2cbbb b07409210bc9dc936a94ec4122eeb89fb8bab941 129a963e6a8dc985bff37bd3aaebc1afa4d0c726 4e8b064812c27bfda2dbe9f750f9a640fe1f078c a54dff076ff144e3e934d59832444755339f373b cb43190184b40f035ec09e51d8922cde6a6eb41b e96a414e30364d0c8db3fdb115756ff93e2e50a8 623e8bb53904025efbf6b30f2034550595a1b90c 763f0731bda0733b39fbde9daf574939a48add2b 1a834b98a62018361eac464f8d5f0edc15beac1e 3e9a185047948b7812fc1c411f4862894f586136 4e27b134e1fbad75a5dce0a6b6c49cab9266104f 986a3764debcaf42339612ac95d7550e8fb50ea6 0f087e396ad1a9e5937ccb4d5f5728f297957a5d 6c8626d16a309f871aa66e414456fb088c4f9954 ffe28db65db88606fec54fb0ee86a7082e42f27d 20944d7abd8fc4efa1269f8184cf6508c3709922 64327b20a4891b9fbfc9ee4a4019c7de226e69ff 77885b6a8234ff3d886c7a458a1c9342f139ab12 8364f5db26891c6cc3c53d10e2e6346521cef8d8 a26d65eee4cd66dd3e7d5f4f1c50e8e9dd08c4d9 4cc63d479857ec151cef5385237f0f4e5a946e76 8de753f30eaa03a3b698e796e9d5fa4c015d147f c3c52dea3afa90b4d298a251002cff986e733400 33c6d06ed0921b64322d58c88c1498c941e8181f 2da42dae40fd5bb43a18a66f0878de9c88aff453 ac358c4826cf37675e3d2c3b478b5ccd1ba05fdc bb3b8697eb99c9027a7b9130550e75d4e1500ad5 96a50ef86379603b517b1a2fd9575202b0fd09c6 dee61fc1c4c9e6397e3285af19d27e77fc3e4904 2d7c59b33fa1871e9c8ac775dae9c7bbce093f8d 1fc3753ae606aa57dca9481cfd5f04f22899349f 551cb29a950fd54fe07d3d1169eae8bf2a79e454 c74c72932ab83e05b8619cae33777f0fce4b596c 82d156cda4122fe137b8fd5a1a5bfcd3b048e517 5cd21fc22b42f8fac4666e94c386930558d64ece bda6067b9045e26125a29418f43d1d1581046a53 913628a53b910eff896a2e2f0adbd3a80cc766d1 6e1905bea75ab6ba32aa2b4696b8e5c95fe75c55 ed5aad9c569b974dd8b8b903c9420ed13c069f9f 9bc2807fe4698c525450699b6398d48fc7b4a358 9ffc39bfa4f319b82016912c913969b8157838fc e87c8a77ff25b47a390bf906b90fb258043637d5 f84856520497f2ed9945dd37e2570ad0816d4c20 83e5253bcce7d9068b056833a64bec35537dd98f a84debd50fc64f5c065c3a4a4daafe9fceb0d7d2,,Redesign sensor related code,<!--      - [ ] Your branch is up-to-date with the `master` branch and tested with latest changes    - [ ] Extended the README / documentation  if necessary    - [ ] Code compiles correctly    - [ ] All tests passing      - [ ] `make check`      - [ ] `pylint --disable=R C --rcfile=PythonClient/.pylintrc PythonClient/carla PythonClient/*.py`      - [ ] `cppcheck . -iBuild -i.pb.cc --enable=warning`    -->    #### Description      * Fix #200 Define a common interface for easily adding sensors    * Fix #238 Allow sensor data to be captured asynchronously    > **Note:** Data is not yet captured asynchronously  but the new design allows to easily do it.    #### Important changes      * _"CarlaSettings.ini"_ syntax changed.    * Encoding of sensor data through network protocol changed.    * Small changes to Python API.    #### Where has this been tested?      - [x] Ubuntu 16.04    - [x] Windows    - [x] Python 2.7    - [x] Python 3.5    - [x] Unreal Engine 4.17    - [x] Unreal Engine 4.18    #### New CarlaSettings syntax    Mostly just generalizes the concept of cameras to sensors.    ```ini  [CARLA/Sensor]  Sensors=MyCamera MyCamera/Depth MyLidar    [CARLA/Sensor/MyCamera]  SensorType=CAMERA  PostProcessing=SceneFinal  ImageSizeX=800  ImageSizeY=600  FOV=90  PositionX=15  PositionY=0  PositionZ=123  RotationPitch=8  RotationRoll=0  RotationYaw=0    [CARLA/Sensor/MyCamera/Depth]  PostProcessing=Depth    [CARLA/Sensor/MyLidar]  SensorType=LIDAR_RAY_TRACE  Channels=32  Range=5000  PointsPerSecond=100000  RotationFrequency=10  UpperFOVLimit=10  LowerFOVLimit=-30  PositionX=0  PositionY=0  PositionZ=140  RotationPitch=0  RotationYaw=0  RotationRoll=0  ```    #### Python API for Lidar    ```py  measurements  sensor_data = client.read_data()    for sensor_name  sensor_data in sensor_data.items():      if isinstance(sensor_data  sensor.LidarMeasurement):                for point in sensor_data.data:            print(point)          sensor_data.save_to_disk('point_cloud.ply')          sensor_data.horizontal_angle        sensor_data.channels_count        sensor_data.points_count_by_channel        sensor_data.point_cloud  ```
carla-simulator/carla,277,2018-03-09T17:45:31Z,2018-03-12T09:29:58Z,TRUE,2018-03-12T09:29:58Z,3d9224543bf56fdcd582574a16dd37e24077765c,2,5,f38f71a2cb9061e4066d5f2dbc49a609f507b575 3a5846cce014bdab5328f7ce088ce9a6b8c2c87e b0e06c2ffa076bf0c61954663ec8bd1645e07eee da61938972b9c79bc039e29855c9b714405ed2dc 72a1c95ccbf10291ddd5116049fed079614155ca,,Moved to native commands for the windows build,<!--    Thanks for sending a pull request! Please make sure you click the link above to  view the contribution guidelines  then fill out the blanks below.    Checklist:      - [ ] Your branch is up-to-date with the `master` branch and tested with latest changes    - [ ] Extended the README / documentation  if necessary    - [ ] Code compiles correctly    - [ ] All tests passing      - [ ] `make check`      - [ ] `pylint --disable=R C --rcfile=PythonClient/.pylintrc PythonClient/carla PythonClient/*.py`      - [ ] `cppcheck . -iBuild -i.pb.cc --enable=warning`    -->    #### Description    <!-- Please explain the changes you made here as detailed as possible. -->    Fixes cmd.exe not recognizing delete commands in in Windows.    #### Where has this been tested?      * **Platform(s):** Windows    * **Python version(s):** -    * **Unreal Engine version(s):** -    #### Possible Drawbacks  Must be tested on Linux.  <!-- What are the possible side-effects or negative impacts of the code change? -->
carla-simulator/carla,333,2018-04-05T10:39:22Z,2018-04-13T10:27:42Z,TRUE,2018-04-13T10:27:42Z,ca14d4c8aba0efe1615562b39c3c3c10335748d0,20,34,9d00b7c13efef2fa68a202ec5aecec87d6e8a3a0 ea1a875ba86efa47cef6ccb4c718204b79d73edb 699e5a3da0030fb177883aa19c8955dc97d9d801 eecac13f9bd941a1d84937b132abe22c540a46a4 192cfe6b507368f72b7d78859da55da9228cdebd 647cc11d157cd8a4cc28b45383452540b3932f25 e3fb32d194a327563d07886b1380cbd005332cfb 3947900ab1927b88a748e2fe4e0d15fbddcb1b41 1d8ae9afd419a96a87c9402fa551bde447f0abcd 396a4e47e4cb145049c35a1f0128e87ce51f36bf f7ff6722ece9c17dd997e6b63d602868a1852b3f e7e8eeccc9331c6529ca09e2a5d9e23ac550a834 a0a8311db4c4f88000e174b91872ae8b8691d24b 3e0ecabc8c85e9c365e0d48978e8e70d188a9836 803301b192e3c0cc6772fefc6c7017929d700f60 565bd984a267380c074a94313f490c728ea60591 9cb1f8bb8d6c4f64215546bbce90ac3bb28abeac fbb1cafcfbb1246d034085d452cf9731409411b1 ab34056301ec357d34d644be1a627870c568a869 7b96f1f8345ec3dc21d00111706247bc0cce762c 44ba17adf5b1d37e08d2226ff6c3d51c5b3e1492 bf9e7277e3e73f650a640b9986bff532ab75c823 355e4fa9504d2c6a0483b23068d4c9b5487af123 4bc8aaf121b6b79960d021ca0970dca7f4bc48c6 23a466b27da19145c76ffa3d3ab1d7eb8612b721 bb21eaed2583d5f23ea0f7cf0c4714243adb734a ffd3339a8f0bb7df24966cc10937ef0e263b2bf0 b8b27447d94a3f6877d896ef8422c991d2a4ec9c 2c2a2306ef9ddd2d2ace9fccdd6c0a559924c69c 819b1e7e8d85cbaee846c2863bbf03ba41b9f59a dc041d748a20e8c619b02df83c9cdfa1bf6435ce c65dd122d23a9f5ade86bfec718fbd278cdac90a 1bb7fb89fb01a4900dc505aa95b64dd2b2e993d6 5e423bcadc6aea58c3f86c8098aabaefe56d73e5,,Optimizations,Some fixes included in this pull request.      - [x] Walkers uses a closer angle to detect vehicles and the algorithm is changed (will be moved again to async find path)    - [x] Changes in code formatting     #### Description    Most of the changes are related to settings  pedestrian AIs and vehicle spawning    Fixed #246  Fixed #318  Fixed #330   Fixed #334      - [x] Minor bugs fixed      - [x] Vehicles spawner spawns correctly the number specified in the configuration (carla settings file) using a timer to spawn more if there is no space at the start      - [x] Changes in the screen captures using HDR instead of LDR for SceneFinal in Low Quality mode      - [x] Minor changes in Carla Settings      #### Where has this been tested?      * **Platform(s):** GNU/Linux [Ubuntu 16.04] and Windows10     * **Python version(s):** 3.6.4    * **Unreal Engine version(s):** 4.18.3    #### Possible Drawbacks    Changes in the walkers behaviors due to the percepcion ray angle
