Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
cartographer-project/cartographer,1,2016-08-03T13:10:55Z,2016-08-03T14:27:48Z,True,2016-08-03T14:27:48Z,a3fe3181e0a24cd5bcd8ba49176e4aff717a858c,2,1,051f30bd7c7e111441485662b46c4d194b1cd08a,cla: yes,Splits installation instructions into ROS non ROS ,Adds missing ROS dependency to package.xml. 
cartographer-project/cartographer,3,2016-08-09T13:40:42Z,2016-08-10T09:34:52Z,True,2016-08-10T09:34:52Z,aa7b060ac5c6e7294929c24cd43e806e56710629,1,1,3619f356435cc09bbda396ec6ede06080bee2e3f,cla: yes,Remove unnecessary explicit dependency on glog ,It is not needed (anymore?) and leads to linking errors (does not find libglog) when glog_catkin is used and libgoogle-glog-dev is not installed. 
cartographer-project/cartographer,2,2016-08-08T13:23:57Z,2016-08-10T10:09:52Z,True,2016-08-10T10:09:52Z,6e56578394b89723973a37ee5c3b85b3e1f393bf,6,2,caad61352f35735522dcdb939d87c171108477cf fc831150968036984abb59e5a901e5cb2e8c4a30,cla: yes,Rename to local global map frame ,Changes the confusingly named GetOdometryToMapTransform() function to GetLocalToGlobalTransform()  since it is transforming from the local SLAM map frame to the global SLAM map frame. 
cartographer-project/cartographer,4,2016-08-19T13:13:44Z,2016-08-23T08:31:36Z,True,2016-08-23T08:31:36Z,cf9e365bc262be93d20c0ca05e7f255926a7ceb6,1,1,3e76118ae56d9c840a5c4bb01ad82e1be4b54554,cla: yes,Improved logging for loading Lua configurations ,
cartographer-project/cartographer,5,2016-08-22T22:31:54Z,2016-08-23T08:33:58Z,True,2016-08-23T08:33:58Z,a2533cd75e35057910372f0270620e2b80d972f9,1,1,b30ceb847e152bc1ce001af4fe1092e36bb7c3a9,cla: yes,add a few missing rosdeps,This also needs: https://github.com/ros/rosdistro/pull/12453 
cartographer-project/cartographer,6,2016-08-23T15:04:25Z,2016-08-23T15:22:04Z,True,2016-08-23T15:22:04Z,6bb6236ebb697620c6a988ec0b9bddf2d2e3542f,4,2,1ce8fa48b8b00ccf30387f8ba8731663d4512388 428b42a21f09cb64af1598c3757ee464f1deaf4f,cla: yes,Renames doc to docs as described ,This now matches the readthedocs.org getting started guide. 
cartographer-project/cartographer,7,2016-08-23T15:27:10Z,2016-08-23T15:49:42Z,True,2016-08-23T15:49:42Z,1be7e8e226fdb81804535ff642edb832c3fe4bf9,1,2,8cbba260139053ba35db6899b937de5ae76dca71 99b2869c767ec1ffc0ed6db7aa32d3406cbfd841,cla: yes,Updates authors and description ,
cartographer-project/cartographer,9,2016-08-24T11:31:49Z,2016-08-24T13:33:13Z,True,2016-08-24T13:33:13Z,afa0cef31dbcd7201a4fbeb9f02bbd28778203a2,6,2,7218a38c126bc41242a6a02a6ec258d3ac7566ae 5140157c4ffe642215cad9e6aad9f3caf2808062,cla: yes,Clean up xy_index h ,Removes and simplifies code from free standing functions in xy_index.h. 
cartographer-project/cartographer,8,2016-08-24T09:32:21Z,2016-08-24T13:37:30Z,True,2016-08-24T13:37:30Z,b50f1a6e963e904c737e9c7c61f98cafc2d13fc1,4,1,b5740cf0bbac7667f65b06a8a1efab189ac22ece,cla: yes,Adds rate timer ,
cartographer-project/cartographer,10,2016-08-24T14:52:17Z,2016-08-24T16:01:14Z,True,2016-08-24T16:01:14Z,4c6a2fcb287b8ae8b8e415a43aed8ff08a6bfc1c,5,1,d10831af9c8b3dce0df5c54cb16aedf21f052ccd,cla: yes,Clean up of XYIndexRangeIterator and MapLimits ,
cartographer-project/cartographer,11,2016-08-25T13:16:12Z,2016-08-25T13:39:51Z,True,2016-08-25T13:39:51Z,9134a8967dec8fd4743250fb5f99013de29bb814,3,1,f4db696c01a3f027860e2d531433dadfb7754220,cla: yes,Moves the bulk of our documentation to Sphinx ,
cartographer-project/cartographer,12,2016-08-25T13:30:31Z,2016-08-25T13:40:05Z,True,2016-08-25T13:40:05Z,817dc884d52ad929cd12ef51bc381a8971355c2c,15,1,2f0aab0c40bcbf381566f44d52852b896c28ca21,cla: yes,Clean up and simplify MapLimits ,MapLimits no longer keeps redundant data. 
cartographer-project/cartographer,14,2016-08-26T14:06:52Z,2016-08-26T14:34:38Z,True,2016-08-26T14:34:38Z,9a303d05260e0ca32209c9e2cd9f925c407c2f88,8,2,357390b2e493f3f6590e57152a96a3943a441e91 aad287a0e8474d778ee2ad7989a865dad7b3e4b9,cla: yes,Sets up Travis CI ,
cartographer-project/cartographer,15,2016-08-26T15:34:01Z,2016-08-26T15:34:51Z,True,2016-08-26T15:34:51Z,0c9f416da8e6ea75f2198b572d868dc0169632b2,1,1,1b9b51841a4138c5e8a0ffd6a3426c8f6162687d,cla: yes,Fixes display of installation steps ,
cartographer-project/cartographer,13,2016-08-25T14:29:21Z,2016-08-26T15:40:37Z,True,2016-08-26T15:40:37Z,5b20df7fcb2d559efad5954982f96e5eb47d7576,2,1,2e3677c2dab7ad0c5dbd798ecdeedde4fc385557,cla: yes,Fix a bug introduced in the recent clean up ,
cartographer-project/cartographer,16,2016-08-26T15:41:07Z,2016-08-26T15:42:38Z,True,2016-08-26T15:42:38Z,c28fcc7152df5bfde118d22ddb957a4ae39699d3,1,1,f6bb430511ea6e1c5dfa32de724c23df925d8ed1,cla: yes,Add build status badge ,
cartographer-project/cartographer,17,2016-08-26T16:52:34Z,2016-08-29T08:23:28Z,True,2016-08-29T08:23:27Z,83faf925c0b0bf4c32b40c25b56f3d280e65ccd5,2,1,8cfd1ed80059fec1890f3891accddccc01a559a4,cla: yes,Improve the Cartographer documentation ,Cartographer itself is not the ROS integration component. Also adds a link to the cartographer_ros repository. 
cartographer-project/cartographer,19,2016-08-30T12:05:57Z,2016-08-30T12:48:12Z,True,2016-08-30T12:48:12Z,e5585c6aceaccc5479b051654f06ba1217ecf0da,3,2,693ffcacc122e19b75510c83f8e2592573f51af6 f95ad57a4b299233787c31d013ad49a772e78903,cla: yes,Clean up package xml and add missing dependencies ,
cartographer-project/cartographer,18,2016-08-30T11:47:21Z,2016-08-30T13:28:44Z,True,2016-08-30T13:28:44Z,fef592c41b656f00d4f1c06317d8740695f9e5d2,1,1,c7cf433bc3ce37cebca9e54bf355b18fbe1096cc,cla: yes,Switch to using our own Catkin wrapper for Ceres ,
cartographer-project/cartographer,20,2016-08-31T15:32:52Z,2016-09-01T09:46:18Z,True,2016-09-01T09:46:17Z,175e9e4aab1d91f17df01cf179dad5c94a39685d,1,3,e95538b609308e89b572dddaad6be9aa9bd72ff8 464e2a833e32d69258d32311a198b6506ba0c0f4 e6947c6b831d838b75d8184cfda1e3dfab7723dc,cla: yes,Add reference to the paper to the documentation ,
cartographer-project/cartographer,21,2016-09-02T09:46:33Z,2016-09-02T09:49:27Z,True,2016-09-02T09:49:27Z,ea0f93aa9afbcb999cd09d3d87ec08aa3aad087b,1,1,08688f58d962edd793fa94b471729dddb15b2866,cla: yes,Adds the libwebp dev dependency to package xml ,
cartographer-project/cartographer,22,2016-09-08T10:56:49Z,2016-09-08T12:36:33Z,True,2016-09-08T12:36:33Z,54a7faf294d75dad7a3630d16ad93e320ed204ba,1,1,db26a74676ba1b88bc4081fac9a2b71f5a867fd6,cla: yes,Optimize only once per submap in 2D ,The setting was unintentionally set to optimize twice per submap which harms parallelism. 
cartographer-project/cartographer,23,2016-09-08T13:20:48Z,2016-09-08T14:21:25Z,True,2016-09-08T14:21:25Z,fc166fdefa10b6c1f8ddc505af11b188c6c2a254,7,6,0184e473bc5fafa082924f273023532f7a732496 6812f29f4dfb99305c3997cc15cf91157722385e 24f0348078277d0979fc9995729dd8472bcc54e0 dab7b9f9d06d81401c4902f89b5336a0b7f907f7 6bdbf5b50e5b9c501f01887e85e976c1358be937 19b7fa0ca1f987968cc889d7938e2c1684eb1cd3,cla: yes,Adds MapBuilder and cleans up some configurations ,
cartographer-project/cartographer,24,2016-09-08T14:27:15Z,2016-09-08T14:36:05Z,True,2016-09-08T14:36:05Z,83a29df10285ffc7d6a5c16a4feb622477c9eb8d,3,1,7a0fa5624e5eb22de191104085d3ac8d2c14d9e8,cla: yes,Renames expect_imu to use_imu ,
cartographer-project/cartographer,25,2016-09-21T16:31:32Z,2016-09-22T09:35:48Z,True,2016-09-22T09:35:48Z,0796d50b0049efa430a2c446b2d18f254a437322,14,1,86171e7eac0ea0dfe3ac5fb227accb6af5f0b649,cla: yes,Removes max_covariance_trace option ,This option is no longer really useful to predict outliers. It is removed and other parameters scaled to minimize the change in behavior. And related cleanup. 
