Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
cartographer-project/cartographer,22,2016-09-08T10:56:49Z,2016-09-08T12:36:33Z,TRUE,2016-09-08T12:36:33Z,54a7faf294d75dad7a3630d16ad93e320ed204ba,1,1,db26a74676ba1b88bc4081fac9a2b71f5a867fd6,cla: yes,Optimize only once per submap in 2D,The setting was unintentionally set to optimize twice per submap which harms parallelism.
cartographer-project/cartographer,25,2016-09-21T16:31:32Z,2016-09-22T09:35:48Z,TRUE,2016-09-22T09:35:48Z,0796d50b0049efa430a2c446b2d18f254a437322,14,1,86171e7eac0ea0dfe3ac5fb227accb6af5f0b649,cla: yes,Removes max_covariance_trace option,This option is no longer really useful to predict outliers. It is removed and other parameters scaled to minimize the change in behavior. And related cleanup.
cartographer-project/cartographer,27,2016-09-23T11:49:23Z,2016-09-23T12:27:19Z,TRUE,2016-09-23T12:27:19Z,e526a7022f28430abf640057b1032d5663d7d159,10,1,644dfcd28484ffa2d0066463c74c639acc773e53,cla: yes,Remove covariance computation from branch and bound,These covariances were only used in 2D and are only an estimate. Following 3D  we change 2D to use the (local) covariance computed using Ceres.
cartographer-project/cartographer,29,2016-09-30T13:32:36Z,2016-09-30T14:00:10Z,TRUE,2016-09-30T14:00:10Z,d2962c004fc1699d5ac61578106350c70ce10484,6,1,1128bdbefa0b5edcd173ddd7373e5cef6a71f7dd,cla: yes,Remove the also_match_to_new_submaps option,Instead  using a different constraint_builder.sampling_ratio is preferred.
cartographer-project/cartographer,43,2016-10-11T12:16:40Z,2016-10-11T13:18:59Z,TRUE,2016-10-11T13:18:59Z,eeb17bf055c6b09d8149280837ab84d5e7822dbb,13,1,4577af2257e87ca52fd87c53761dd3c827cfdcd7,cla: yes,Adds google_binary to create installable binaries,- Do not link in Ceres if gflags or glog is used  but still rely on ceres   to find those libraries for us. - Update CMakeLists with new settings.
cartographer-project/cartographer,47,2016-10-12T12:39:10Z,2016-10-12T13:38:12Z,TRUE,2016-10-12T13:38:12Z,be813a06fea0f14b2a1e9eac60ebb66b2e368e19,2,2,6219d561c9267b1026eb8f6e44d53efc9efaf8cf 2ef0bbcc92aa8bb83734e60fcf1e164bc073bc31,cla: yes,Prepare CMake files for testing support,- Only build gmock if we really require testing. - Adds a wrapper for generating catkin aware tests. This works around   ros/catkin:830.
cartographer-project/cartographer,49,2016-10-12T15:45:10Z,2016-10-13T10:33:27Z,TRUE,2016-10-13T10:33:27Z,edff6a1e24efa1f3f365117b735bd7953937276b,1,2,ea2cd1e3d50ef0d16279f5ff7ba1f6428b444332 f157d4407087ddcfe839c0e095bdc1c3634e5d6b,cla: yes,Remove all mentions of ZLIB,We do not actually use zlib anywhere anymore.  <!-- Reviewable:start -->  ---  This change is [<img src="https://reviewable.io/review_button.svg" height="34" align="absmiddle" alt="Reviewable"/>](https://reviewable.io/reviews/googlecartographer/cartographer/49)  <!-- Reviewable:end -->
cartographer-project/cartographer,66,2016-10-14T11:40:08Z,2016-10-14T13:14:46Z,TRUE,2016-10-14T13:14:46Z,c2aed53ce831934479b99551430576dfa98b9ae9,12,2,5f27fa669f5323f4c11130734f4a9b6bfc567de1 71eafe763fe8bbaafb0b5ca1afe0b48ecbf330d1,cla: yes,Adds a points processing pipeline and a XRay creator,- Adds cairo as required dependency. - Adds an 'io' module.
cartographer-project/cartographer,78,2016-10-18T14:37:59Z,2016-10-18T15:14:25Z,TRUE,2016-10-18T15:14:25Z,8705d462fb85bee494f372969d29cc18716b0109,4,1,dd5bf96c9664931cd8b8c106d64f1a0d65356c3a,cla: yes,Revert Adds Docker caching to Travis,Reverts googlecartographer/cartographer#72  Currently  this breaks Travis. Will have to investigate later.
cartographer-project/cartographer,84,2016-10-19T14:31:38Z,2016-10-19T15:11:31Z,TRUE,2016-10-19T15:11:31Z,15b58766f56006eb0a82413bb7f135bde92ffecc,1,2,63f3224affd2028f8cef1683a8dbd4ccd97f0359 06766fc2976e59e7c4afd36cad2333b87210ac59,cla: yes,Use pkg config variables for yaml cpp,Related to googlecartographer/cartographer_ros#117.
