Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
cleanflight/cleanflight,13,2014-05-20T01:53:55Z,2014-05-20T08:55:29Z,TRUE,2014-05-20T08:55:29Z,b12c2a71fc48776fa5b0382848019e6c49064171,1,1,c245dc18681151a9918454f1a155c33d06bc45bf,,Update Makefile,ARCH_FLAGS was never set to cortex-m4   cf line 63
cleanflight/cleanflight,130,2014-10-23T12:20:54Z,2014-10-23T12:34:06Z,TRUE,2014-10-23T12:34:06Z,a9d853040f8d5be58d4796e3f0a668d7ae50fb01,1,1,091941cd829142d3e4c8c8b080c494f401db9e94,,Makefile improvement,- root must be assigned when declared - use := - add autodependecy generation - minor fixes
cleanflight/cleanflight,160,2014-11-07T14:42:52Z,2014-11-11T21:30:10Z,TRUE,2014-11-11T21:30:10Z,ab5a7dfecdbfbee77bc3ce59377ad1b0cf05d789,17,5,aa7f5c4a1e66fb838f4ffb95ef1e41038765e1cc cd88c561a6e618a1385e8186e9472b44804481e2 98c0d0b5dd97d4a87d6a587f92b68c93032fa5fe 3b20b74c0017fbc210a3091bf7ff4fbe42abfdf7 3ee60ef85757d898ffad436ca67dc94f740fe5e0,,New timer implementation,This is first part of new softserial code. Main timer code is changed  changes to rest of code are kept to minimum.  This code does build fine  but is only lightly tested on real hardware.  Maybe new branch should be created to test it before merging into master
cleanflight/cleanflight,175,2014-11-19T16:09:34Z,2014-11-21T23:21:08Z,TRUE,2014-11-21T23:21:08Z,b410ee8a5908e7021713802c6fc89191642983da,4,1,4157cf5315527d20dc179aaf5adee6465739744a,,Fix double constatns,some constants were double  M_PI was sometimes inherided as double  added -Wdouble-promotion to makefile warnings  Saves some flash space
cleanflight/cleanflight,7,2014-04-22T11:50:48Z,2014-05-24T23:33:26Z,TRUE,2014-05-24T23:33:26Z,2783e1f6859b4865298c49b02d1c97b4e3200d67,7,1,b14b058fa0219988b5504aa3be6e45a6b75a8bca,,add msp telemetry,auto send msp telemetry when armed
cleanflight/cleanflight,224,2014-12-15T21:32:25Z,2014-12-23T12:08:23Z,TRUE,2014-12-23T12:08:23Z,ea09db62c69d4232a60e42573079d050494baec6,6,4,509f73853dcf2672413f0b861dd6d4c92fa393f6 67cce3b9a0f0f358112bca953d25c72a950519a5 981adf51d940eb3b72104d1b0f8790bbf2206486 19bfabbce46fff076b9f1777a8eaee018fa79770,,Added initial version of JRPropo XBUS Mode B support,Hi there! I am using JRPropo (http://www.jrpropo.co.jp/english/propo/XG14/) transmitter for some of my models. I have been waiting for XBUS (mode B) support for cleanflight (and other firmwares) but I finally came to the conclusion that I would have to add it myself...so here it is. Initial tests working nicely on my system with 12 channels. Would be glad if more people could help with testing.  Tested with these cli-settings (on a NAZE32 rev 4) using a serial cable from rx to flightcontroller: set serialrx_provider=5 set serial_port_2_scenario=3 feature RX_SERIAL  NOTE: This is actually multiple protocols that uses this standard. Known under the UDI  Jeti  Multiplex and SRXL protocols. Hence with more help/test multiple new brands of tx/rx systems can be supported. I know there are some small differences between these dialects of the protocol (sync byte/id etc) and hence I named it "xbus" as this is the one I have tested.  More info can be found here: http://www.rcgroups.com/forums/showthread.php?t=2018101  Best regards Stefan Grufman
cleanflight/cleanflight,223,2014-12-15T17:19:21Z,2014-12-23T12:25:44Z,TRUE,2014-12-23T12:25:44Z,4559c40951645c78afe0b5b75a5afe9c6a637dd8,1,3,f356830781c7e630f033b582b35ae28464d91c74 e41ea5bec567884e7566368e63bd73b39267ae77 334300922e7e4868ef0907325a024b187cd621fc,,travis Add inital support for travis ci org,- Initial support for travis-ci.org - Example build: https://travis-ci.org/kylemanna/cleanflight - Hope is to later add unit tests and builds for more then just NAZE - Recommend setting up travis-ci.org for cleanflight and then merging this.  Should trigger a fresh build on the merge then.
cleanflight/cleanflight,271,2014-12-28T11:46:49Z,2014-12-28T23:03:28Z,TRUE,2014-12-28T23:03:28Z,4cbdafa10180cfa2fd4bdb8aedaffb6e659fc04a,2,1,2b90f675b2e9d3d07b50dee8dbe1fc3a1235b203,,Support ALIENWIIF1 as an separate target,This will allow to build an HEX file independently to the NAZE target  An ALIENWIIF3 may also come in the future based on STM32F303. Both likely will share the same default settings. This is why I don’t use ALIENWII32 as target name yet.
cleanflight/cleanflight,227,2014-12-18T06:03:18Z,2015-01-06T21:56:49Z,TRUE,2015-01-06T21:56:49Z,93cd737b4cebe18d5b2603b486bdce45978c88c7,21,30,8c41772584397f1baafd6ebedd3f216ca515652c e492aa6a3961dded50ffa44a96718ab66e3c660d 5cc3ad3da78f8f644b2d761eefffa47387ccb38b e47a82add8710d588848306b43a3bfc210af5853 ce5d64f653eabd663ee8d29ea8ca3991bd0ae0f0 172256c91e6614bb2e84f2efc7aec06e2d744f1a 5aa8e61c6ede5daf70d8c0a9b2534bbb80837c02 c85a172370aea46ebe15643d541fed5a83535215 0ed47d5e6df18ee14f20bdc1110fcce6e6d9a482 8226922d46ca2ca7231886e67dbd9b919f3c5996 cdb3cc0dd3ed39b24122914f3f08583f289f7540 54ead59791aa656f0ae13845d1776ebf6a2f1b05 50c81aa00e808902e64a92f70b59aee7dd6dec0d 9b9474250ee9cb079c1a4528e1766612093e1908 1b1a285b4a7d4ac553486b0175b95c12d786b431 2889f5904ee5dc6d94d38bd234bae3ea07337d8b 80082660ce7ae5d9beab8764882e6aa3e65c7a61 dfd8e5b2b046d4d2446bcf0375916f79b3c726a9 5a51ca8d62d06201d9d15d39fe7f5e4e6fdb9764 ff9dad067c83990be71e60cab44212a2af410e97 d195880bb84ba8b78cb93f993ec1e55f3c4a5715 421ac3d0f7c8713d9e248309f6b5ddd4b728e2e0 321fc717abf3c105665593e4cc387d241acb0ad1 fcda0db1279893a2c620e5c93f99a154b8cbd0ad 6d3ad4a2de298dcb9257d7f1d5bfc602bedde646 566bd561dc8ff178314a1b3fb0774aef569c8526 8435989dc1e9d26d85d1eef2a240639119fbf22d 3ef83389e9053b93d2a57d867de74e140185c2b1 6c2ce5038cb2e152c97a6e21d9902744d6ec6b44 a0f3ee6315d25890b13d27a58f8b8c1d4264927f,,Add blackbox flight data recorder feature,This adds a "BLACKBOX" feature which can be enabled to send flight data values over a 115200 baud serial port to be logged by an external logger (like an OpenLog to a MicroSDHC card).  I've only included "#define BLACKBOX" in target.h for the Naze32 and Naze32Pro targets  because I have no idea what the compatibility will be like for other targets (but they'll hopefully work fine).  You can try out the Blackbox feature without having an OpenLog. Set the Blackbox to use the same serial port as your USB connection  and tether your craft to your computer by USB. Then you just have to log your USB serial port to a file  and there's your flight log!
cleanflight/cleanflight,403,2015-01-22T06:00:07Z,2015-01-22T08:44:38Z,TRUE,2015-01-22T08:44:38Z,77c41b4b7f1f27b424aa15ac4054925ef367248b,7,8,c4dbe66249cad495c84430f2b3f0ae3490dd7ccd add0b517ededf4705430207cb1eda14a2a21ea5f 3e6e8f44c208773b846767ab84793e1e9e1b6160 6711c56dc51fc5b727e55fed67fc9edd12a7f6d5 fcdc0af2183ba737da7c85476f95c9b1db086a8f d1a1cc3f1305f1602ca7571855d8866a66a59a5b d6b08f22c1c966c78402f018f6284d2d6560f515 80b78fd808bb706c790bdcffadb4c5318e266dfd,,Flight imu test maths,Review this request first: #402  then only compare new changes onto that one  or ask me to rebase :)  Fixed the flight_imu_test after including maths.h from it :)
