Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
CopterExpress/clover,1,2017-07-19T11:46:17Z,2017-07-21T01:31:49Z,False,none,4e3e3092e2c676ec6fb7835e2fff92ed0c3d882b,1,1,5129452b6fac555f73d0f8c539a016ec9274f25e,,Update copterhack2017 md,удали
CopterExpress/clover,2,2017-07-19T11:47:01Z,2017-07-21T01:32:00Z,False,none,4ca35572b85d7164606f9856f237fcfbc230fe9f,1,1,cc795e9b5902864c2f05ed34f142ed8905b3dd3a,,Update copterhack2017 md,нажми на delete  
CopterExpress/clover,4,2017-07-23T09:03:26Z,2017-07-23T13:37:46Z,True,2017-07-23T13:37:46Z,2382abed4844e3be8ec08b8241c209163a5071bb,1,1,413d8bf70857e173115d8139fdabd11970264f0a,,Исправленная ссылка на jMavSim,Поправил ссылку на jMavSim  прошлая вела к 404.
CopterExpress/clover,5,2017-08-28T15:41:34Z,2017-08-28T17:20:51Z,False,none,1f915ae081e5407e47270a3dfdd5609fe3ad3e21,1,1,d4b8397919a490dd9c42734dbd98081091d526b6,,Create assemble md,
CopterExpress/clover,7,2017-10-11T16:30:30Z,2017-10-12T17:14:22Z,True,2017-10-12T17:14:22Z,86d2e0720688f50599f52630137dc03af8d29de8,81,41,734bb597275f2690df20c0b60d53a123e1be73e6 e7cc5577b67b887e0e195a52cedd7f70388219cb c29e2e49c3278ed1c13a6e00ff46af8017b5a081 1038e9b01a9cb84c1df9f2151dbe3bb861ce9c07 dd0e01e1a8aab5b227bed677a2337f2b3f5ef2df 92a0bee5be345cf1951954a87c7b78250d776c25 097cf3dc7f19efaaafa10290bdca85549e1c920a c8bf085211c8119496a750192f292e4390706727 39567c4c7d9b66b7e3a462869bfec885670d2a91 d3cce7a06c16b991dc17b2a7dc1651beae5586a9 32a9c82b3945b47c9c88db8c730d0bc11e7d9ae3 2303c7612a377642a6e0170614eb40cfef5b6805 62d38fa7ebc8b8bdc8877d7abb524dd699176044 cfb9d83415bb0026129df28e878ec2cdded5a51e cec31e691ece5e4a6f358dabe47ff5ca786cbb31 9cf1aa5b1e388a1abafa1bd0360297087e082caa 0fb1582a8d77704284853204b96df7be22e13a6b 2f6d9ff574f879ff32d2c27a0360f52b46e63e9d fb062818104cc04352c5fd868f09b391c2f4859c 3937cdd19dde07e719dba23205110ed919b7612f fafcb6a91eee87c29c049549d2f0d53f4bf13a13 346759fdb5d5686558a66da9a6a9b54ec9037c01 0fe4328baae5826df3e7d61d7c276f76e5d21983 022104a19f97a657dc30275b8138b28928caf94f 8b840d83374ccf2890d4d0580bbd5d95b7c87e07 4ede85316ac456d2d4b43ffba7c052bcb13a13b3 760d1df306ad0c3e72f293a84759ef3df50eb5a8 27e133a9e44a9fde28994a1a242c193ae36d8f6b ae46f849ac7ed31bc9417cf2886f89c5d395d684 e8a3d0d6fc79c3977819bc525e9c112668721dc6 394e926d7315871f60388760e4ee1482f0927195 33ad7fdc5c7c1f4b4da6a6d5d2ca4be5b88f3cf1 6076dfb17a3125c718d2fbc09970e388ea76b11f 4c8d8737510efacf998c7e8f2ee192b9e309b581 9cacf815cb94694ed40134185f07faff2eabce58 197029757c4d1150bd8e7b30b97ba58e6838a649 f19a20003d4b239e6d823edef9869c118dd8325a 2a58066bb5b4c1a3b5a45cb576c9d9e64025e289 5e00c8b81279c22b7ca8537a3c0c71fc3191d921 211298cd442b803773d9038f6b03a54638d0eca0 31f6ed0304ae9d5bcfb3cbd8f8cb5d542ae1173b,,Aleksey shlykov patch,Методичка
CopterExpress/clover,10,2017-10-12T13:24:07Z,2017-10-13T15:30:09Z,False,none,4fd81a8b097d0f87f57c0a804c93ad6702fd073d,3,4,a3d80b3fa2a82acaddd34c4e5ba542a3257c60a7 68ba0b0bd4d1f4b2799f91e45bd3f74559e04ba5 8ba85541f01aac57a2f45cac19f8dd73c4e98f17 879612b2a7d382229f44cf952d618832da21087e,,Изменяшки,И это так
CopterExpress/clover,8,2017-10-12T11:20:41Z,2017-10-12T17:14:56Z,True,2017-10-12T17:14:56Z,6f44cf2db316fd670f91a069dbf6e9b4d5346082,2,2,2325038e35933241bb2f3c2dd7f7fd703098dc7f b8b31c4b53c3458713620030d9d8f05f12f248ba,,Raspberry Pi Глава 1 Знакомство ,Raspberry Pi  ==========  Raspberry Pi означает _«малиновый пирог»_  ![raspy_1](https://user-images.githubusercontent.com/29778634/31493095-6647c098-af56-11e7-810c-e17ed4ab363e.jpg)   этот свободно помещающийся в ладони одноплатный компьютер создан на базе мобильного микропроцессора ARM11. У него низкое потребление энергии – и он может работать даже от солнечных батарей    Характеристики  ------------------------  ·      Вес – 45 грамм   ·      тактовая частота 700 МГц;  ·      есть графическое ядро в процессоре Broadcom BCM2835  ·      оперативная память – 512 Мб;  ·      есть USB -разъемы (один или два в зависимости от модели); м  ·      Наиболее применяемая модель мини-компьютера Raspberry Pi – модель В - это модель В на с поддержкой Ethernet.     Сферы применения  -----------------------  Поскольку это всё-таки вполне полноценный компьютер  сферы применения компьютера Raspberry Pi достаточно широки. Если вам нужна машина для решения несложных задач  которые не требуют применения мощных ресурсов в плане вычисления  то вы смело можете подключать к устройству Raspberry Pi стандартные элементы компьютера: монитор  мышь  клавиатуру.    Вообще  Raspberry Pi – очень популярная платформа  на которой можно реализовать множество проектов  таких как  ·      сервер домашней автоматизации (или система «умный дом»)  ·      сервер хранения данных (NAS)  ·      домашний медиа-сервер  ·      «мозговой центр» для автоматизированных станков или роботов     Собственно  в последнем качестве мы и будем его использовать  благодаря возможности подключения его к автопилоту Pixhawk.    Распиновка  --------------  Завершая знакомство с ним  давайте посмотрим внимательнее на выходы  которые вообще есть у Raspberry Pi. Они понадобятся нам в будущем  при подключении к автопилоту и если мы захотим подключить какие-нибудь дополнительные устройства - например  led - ленту или сервоприводы.    ![raspy_2](https://user-images.githubusercontent.com/29778634/31493435-e5eefcac-af57-11e7-91e8-33444f46f9e1.jpg)        
CopterExpress/clover,9,2017-10-12T13:16:43Z,2017-10-13T15:30:53Z,False,none,0ea2faf7930235b2b626f33816c3274e9730728d,75,81,3e745d8b482b290e4afd29d6e3ff1d83a87c2d6b 79c32609a73a2b50d585ca8d18a10b8190a1278c a518201aaca1641e832231a99bcf6763bc43dd6c 9857978472311d0d8ddb332bfdfca4c9b597bcb5 118f53f40ab7de7d0bf29b30dda9356e7eb7d161 55866208c1ed3c928a51f098646fa5d81944d5bd 564033a2f7fbaf3bcd7e7fe4bc8a43663047ee36 34df76783a82698765bfd48191aee2c3b10fa6d8 cba64cad314120f058d58b33637cc211b242c4dc cdfc9941fbbc8bc9fd5f2e46e14bad9f376f6967 f55721ae6a513e51e4ce092a0b090ee41de92a02 f2e16610fb542aea457ab11903828af6b243aa9f ad2c1e0d9bd513594f60a425c8bd30168f731bac b059f6d38dd617c11e0671b4d6de6f50f74f6116 1236d51f1e491ec53e56b66c3afdd43f8de80c46 a3a4a6e3b1d5d97c5c65dfc677be998ec80132d7 67e43dac610a5e4f4b8b294c1ca58c3a653111cb fe2a406d61f65c39a8d472960edc6b9e98d84689 0cf598300455f6e45ba60d308a16790bb57c99bd e12a281b0120133f2f026843ad5a1cbf2c2c632c 0c9dadf5a2f174dfc2e1786bb64cf383364552d3 9a9a3ba9d44d7608987c17362fb689c5b8b87f79 e343d9f24b1e565af1b7addf89e0ce41f79ddf88 24bbd59e7619359c62875d37d2fd003cdf75f3a4 a1b0638a46caec8d9a2d08574ac4659626497413 393535d648d402e43b37bc5e70dad26c0aa57ac7 a05aa5e59952dbb3a5338cc5a8b39bbb34387f9b 3825067d4bcf79e3aa691f7768fab06a099db459 ebd978ac84d7daec832ae677e1a52818cc8bfb3d e75678988588e94ff614bf58d4ce73b091b32a1a 1fa5ddec3448b3cc070b543a826a0514dd3a5ea2 974ae6f06f9343f6479c86572b672ce4c130e3a5 de1498258071106ef21fea3c88d98536068f84d0 8686a88a90f972be9b1bc70a97f6f55b0eec823f e9d8768cd0efd6cb10e2fd0b2c8d811927a7cafb 60829cd621c1284b47cd63249d9b43e02098030f 47d39cca409c19e70c35f71a75a6101679b26561 a6d7d28a16b0e41744cdaec910f136bc3dbbc8dd 39fca04b333187443601dcce2a6d598e79cdb1d8 660e5e74d024dc8d7b9072dee4ea314e611ba038 c9044d580c47741218a124b74d1f940a865a020f 79e4243569d8e96e1594ce33af22181666d4fdd5 603be91a7ec408ba0589b4b5ef53fdd568291078 3065d939faa0526b1bdc1852de4d8f20a7a87581 4d5fae35096cfa6dc37bee127c6e5ccff3c92a9a 1658c9b8501f065ffaa22fb118961a279e5f4819 e6483673348aacdc9bacc0fa954d85a9016181a3 c4a35856c99dfcdaf3a1535f005bb720c37f374d 23c7bed2a60bbcfe075e2d215c5eee86569f7223 6415ddfc48af63cb9cf9a804b8da3c4e91675a70 74bbf80666e8ff9615ddbef448e1b9fe294da055 c28b68d3f41975645810d6e6257abf3171820df1 a8ebf2db4c8a1a6096506abea3fdb8a196c91216 d6b05829fd5d7c1c1bd3a9c89583805e7b7b4779 90b56bd9c1f27237d04d2b2e1815afdd70aae549 67369a3c2347af971747ab23f1bbbbfc0700e7d5 f5fe6ade29912e34ab2d3e42d726c7953fee6b59 cfb86637c494adb2fad94f1b3c4a208c2b26404d 10ae3c6f861c588a55d5ca3e61cd9b31f6a4f999 2db26804c892b56f44cc5256bba97b3c7660955a a4f7309f0a9fcfbb25f9d9382fb2a03987c223a8 e7923d829103699f86aeb2596ba52abe81012f22 89fe183adec2f19d011f0018902b984cf79c10d0 c263d46df041f5dbedc10e791f1700c226c3a149 d29f579dd643715dbfbfdb97c41d99dd2875de5a 850b3dfaba1f7b41cb7839de7dfd101216c68f1c 3dad710a745735510425c0e720c275895962c326 7670f0569d47ed3a905b1b19c05c26c02a630ff4 5af6915213131c069659714ab22eaf48e814f252 8ad206d43bec32a3dc53b9044264b2fc2fbf898a 423c7098c1635cf877cb5f2825f29b2633cb3c19 9e252ed4ca825f88beeafa6af687664443893f94 7f0307bf47945d69dd45889688147436f77cf3a7 d35c9f821804b4bdea29677ea9c6110fa23a4535 43da7ac12ee0e4fb9ca940a6ba6f3a83ad1e423b f493c39ffefdd36ac10a658fe6c22f91a886efc3 d8f27b68e7d5bfc4031e6276034bf51c73c40637 8ab0615a2554294cfdff34958fd3058c2ccbea3f bb679b55f3a86ce97e79debb6663f59427829009 2325038e35933241bb2f3c2dd7f7fd703098dc7f b8b31c4b53c3458713620030d9d8f05f12f248ba,,Raspberry Pi Глава 2 Первые шаги,ОЛОЛОЛОУ
CopterExpress/clover,3,2017-07-21T02:59:25Z,2017-07-21T08:10:28Z,True,2017-07-21T08:10:28Z,ba6da8c4b0b56fb4694a1f67a60416afdf89303a,1,1,1b7db9c98a427c2680bdab911b9603c92fe5782d,,Update sitl md,
CopterExpress/clover,11,2017-11-08T13:18:46Z,2017-11-08T13:19:24Z,True,2017-11-08T13:19:24Z,b4f0e9f65bfed492fc9323f4bb1fee1ee0e49095,3,1,97e35fc5272a43681aba845b1fe9d56d5cc23fd7,, Add MicroSD images page,
