Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
CopterExpress/clover,16,2018-02-06T16:03:15Z,2018-02-06T16:18:16Z,False,none,966984b4b28ff23e78092b3b1a813e294f9cdb9b,50,138,bd1dc4235435ec4e39dd395608add8eeb3fd4007 00f227ad8a879b7a772578535f2bc44a8e546c6d 901cc27776fe3397c1bc83cc036eb5dc34d45fc3 1f774ab851d636ba24cffd0b2c5c8aef0b35f3a8 261339374804d566ee91c8a86b780d9e41d0bfbb d0f2dda58b52832fe26788e03f916fbd8c43ad5b dfebf7e4e28b8348ede395dc9b8ba82df07f6420 6d1f215de2957b0af3b8d4dfab36c3fd6a89ccb0 13a6efc4db996d93ef63faee67ddf5361bd389c7 fe624b7f5963d69bc6826c1b3845644ce14a5344 29dc58a6ca2054d1d7637c3fa019e4d37bed7b64 258ebe76848468c3d82b7e0624621193d8ecd763 421f766a94724b8afead562279598fc94472a98a 9526f1aeaf66f4e86364d965fd0eb7e88e3302f2 4c69963593e8aabe9e6184b2f0acf9f4a75f2769 9b8f422d0f776a17f554b87dc15b95e6a6b0c65b c38d2e62a88b2b8182116c38bc5195360dadc469 5c470bd8709be99b07b7fc16acef8d0e7dbf9060 b26cf3d3ecb616af60f2ffefafedf8a890235ed5 e47b8c10ecd1c0cb60983ce644207a597d80f179 f06e59e6ad6b675ebd67f9cc7cac9f42741357b4 b8d57b8b423268c7dfb0e5885467ba86fa45ad9f 0ae0f6a9b8d577bcb5037a592b0c96b1b5ecf018 06d8fef66876b4ef9843befc0b8eba74bc053cc1 76e020d16244a69f2570a8586d657e26f7865230 dbaa8bdf8813c3797733cc9f0f964be5e5ed6d15 870bc8ba43679273ea8ce491165932d7e6f97593 75f70c0150fa02eb9e86833a9a5f1f28a016fce2 e5c5352ff84957814650400951c4245ceb402aa3 e7249f86e76492407d2cfe1cb2c65a216424598c 009cfde319190e33399646effeec53d6dc758533 920c309226e0ed527530eb02e39d66ceeb8ede66 12de95bb657ffdfdfdc17cf61e96303c8904d27b 6b4777063bbe2609ef552f0571eb8b3198e044a0 8cd1281382f2a37b6e624fb53b8d189fef1368fa 9a15094b314848aee9c4bbe5dc5114cc3eb04904 bb081f9d8518894020fad53bc790111e2c0cc1de 53f2fcd678656c30eb39381b5050106b2c2ab68a 2c5862a3781e454a63eb7be9b3ece6e724e979bb d1a4458cc785b28f40235af5d2cb52873b2109c5 e79a88050033f2d382e9b39f953efd532dd4b6cf 93403afbf8a28634c5fdaaa890329297f6b364e7 0a325be70b99fcc640c0d6d17ad4bfed27ac1b00 5ee1dd7c8af8dcac7ee229674c09d1f9b8914f55 af62fb95b4f647bf8c86821a4db069089bfb74fe c758d17c99b5583bcc2c97db1ac2233f8a67fa30 ed6915c26a15aa058ba59dd2b167a4f22cc7a68b c747270405c75c22d45450f58acb155dc8e7d5d6 e975213a13bf8cb03355ad62d1aaeb2668ee0cb4 1ac65112c0434665928135fb85235641603001dd 13b1a79f650a0f76cfbad36a5de4998f709bb727 1ae91963a8c8551750f563171e10f999937673f2 0c6f6c29ae5911ec7c5f58793417d770b424fc7f 81d38438178a05dc5d4304e8db1497c5d7adc33e 23dc75bb912358e76258de7ef0d840103eab2fa3 aed0ca99a80621b615b3b7f164be43459f53c83e bdc9008d05419484c38f318d39a292c62522dec0 95ccdffcdd7aeb32443dab4b4c861c02edd0b8b5 15635d28a1c6ed053eb00f659d1bb6f24f596671 03fb0e96444fb0c4785221e1a22529fdc796aac3 ab5835b1f852da31afef9d6cf34be58c75ebfb46 09f4be3665d68562018c44737be705fa9e31cec0 3c358aea5ab9fed0eccfd06d667e167d3d4d1b09 48c9e64f196c5eba0881e8c07ad9522efe4ba685 9a12e295ac904fd54cda9c1c085e8be6ce5e2d4f 7b196e1776f564d85ae48898e95815863a4996ad 497182e5162b5fa5bad340c51918a2854dde18eb 67520c02c93e38c5d549f4e18e8ee6f2489ec239 d2061236594c9c008ffb2f72aa8002b5375a4193 42409a80a2a726a8f53439d6a91d8b4076317487 56eea04a8620dd9b91d0e29230607645088ca835 07d42dce3582de3da754e98da5a99741ca30fce2 2711b65a2531c6cd238ea22757fb60e13ad37ced d27719e16e58502e04c8da8ca7906dc8efd1c718 96657a99e1f1aff9b8d54bb6ad49b35cb1aa5d41 30b488010f7797d44fc397fed5fbf5d1b6b97dd3 5d8aa13d62fb20629a820c7ae3dcec3e7f596d72 1a6e376b1e069700b572f936f8b54e28e926cc57 df1ae9e74863ee8ad4ae699d6bdd3966355716e8 0b045038ce6b6de5cb5b1bbf05a0a5a7cd6f5565 fc2c8168ac40901844f69b37df820b6d0a3b6dcb 1e6922cc28a2d0ca6dc513d015b2e7f34a5ea6bf 82694ddc5f9bf1b7ef55e2cf140641ca26a3928b d347b710fb0c8485ae9b34fe775c67a860015ef3 09dd32a6ce9c1a3e9de79e365ba0d584ca135309 9db00c6f702861823bb6b78bfb710a5bdc566971 3c0529d5c0dc3c3a071b6e0c09f56319922d3a0e 2c651983256393ad6328ae65cc146f75c85b711b 4996078ec74e97b94b6d261697c3ff40be02b524 c425a6c1f0a38ec4515f8709206b023d0ca58eee 47a57d263124956fdbb4e61928b6851b766d44d7 f3e8e939587d85cbf3396170ba58a500ca73567f 6803a03578c9fc475435fe4d490e20696d1287d2 286a68509562a5f1bcc01e552a537469141c4510 7ac28f5f68ac459aa34b213baa2b1af5c2b47ce7 ee3825e433d7c21d5a966becc2a1eed58ac6bfef 4d26cdf50682b66ba1ebebbb8521650d58054fd2 648348bfb59342a4fc157523161aa0699331eb19 f1b4d7fe26f0751ea4a071e61af7fbe475d824e3 cd2c7cb65470fe7c7ea030b9f354eccad3b7cb30 e01fcf1b7487b4052bdef4b69e4100f10f5ee381 e4fdf130941d90e1a9a6d3e32ce3958b1ebc63a2 23b9bb8bea35565f7c7a78385e4d196507c69bdd 094f96b0960641ecbd67c4d0452cbb7c090f889d 947ed4f9c3acf4bbfbe04b1a5e340cb7f2208032 b89574c6c562390bf8bbd6b8cc0639db36cb701c 9ad81d1fa32eaf5839ea9085360e879f462e5728 4d8810a66795228b44863cd4c1e6ddba50d2ef53 5d358c54149336c3baaf34a3e93a9d01dc52190a 4cab4e752639ebbe081f970e490b5e9b84720ef5 1ff46dc6b0232e6b6184336b6ee14935a9ea263f 7be12fcbe4a1560ef34b2ea1ffe66f8aaf97fb14 deaba007cd450c1df93fe3f32879c59635e794fc a7cdfb4a0fdc1f230c1cdce745a19a03c0e10b1b fca6bc1fc042b18c27bab30dc5e3f18c3b0e1618 e6e5e1a29979021cc7517d4e02d191c8dcc4f704 daddb30698b03eebec9672222f2feba76a6831f7 6769e8b86f0418a10666e84faabbb7d59ef71d3d ecddf122bffb42b5e542cf78d24e412e6eba3a6b 69f8b6e5456876d20d3e6f1e9c7a21318d7ae4f2 afa044e457fa8c8b311ee51745c7e6423411c316 0030eb54446e796629b1eb7dc9146cbab091f2e9 53dafed67977765968309f487a1eac7f6e95da5b 4fd9f15ebae8fb43a4cd273cf4ea4b6bbe17d98e 242e798842f9d66bf3829b848c8adcb837a81c28 dc124679ed9165865eb934a8db3ca45d8bf4b4ec ab42ea9259017a48f16cac95b321fbca5be8f345 adeca2174c2888b2166de2bf8f75fc11919506d5 a27dac53cbf389a1454f2975fabd10f6a74c025c 4a969126422a9402cdade86ad9c81b4f81a23893 7826cad8587354e4aee96404bb3116de0231f96c c32295e88e2f5b4253549b20859aa13d75cd53ac 07886e3afeb1842dad217a9407ab40bc0766d44c 5417b32b49ad15d430ba1787c5708c94a072ef9b 59a1ce7e8437250b4cc9da57a2d78f9dcd722d09 5a3ad8fb97e874851aedda91fad150aaa26048fd 49c1d3ce2e190417270fcdf3e8b31980c732b4ba 887641ae07ddff77a9f4d6411c4f54eac9821966,,Merge clever clever_bundle,
CopterExpress/clover,18,2018-02-06T19:59:37Z,2018-02-06T19:59:50Z,True,2018-02-06T19:59:50Z,0ffa6fd389dcc433efecd2a813c7534e3143370b,7,1,6e9664e2212680171b5a2df4ded3cb489f439af5,,Add image make tools,Add first CI-code for Jenkins (Pipeline project)
CopterExpress/clover,34,2018-04-11T12:35:27Z,2018-04-11T15:53:46Z,True,2018-04-11T15:53:46Z,720960c8ce454cd51e8ceef5f42ebd4e6bd4cd4b,5,1,bc9ceacc41c6f997e6dbf9113a47a342d31428ed,,Image builder ROS environment fix arguments support in chroot scrip ,…t added  mirror support added  image version information added  other minor fixes.
CopterExpress/clover,37,2018-04-16T18:23:33Z,2018-04-16T18:24:05Z,True,2018-04-16T18:24:05Z,2628d912cd5d3a1c48097c9da721ad9a5530026f,15,1,4a6030e722008377b15d8021a35082d9f391521c,,image_builder refactor,Big refactoring our configs of build server
CopterExpress/clover,40,2018-05-03T19:33:12Z,2018-05-03T19:33:58Z,True,2018-05-03T19:33:58Z,b7077339a1dd884b559d71f766d62c7f85028056,1,2,f0f25efefef6049444bff2cb0baa77644e64b099 5b6b3ac13c416ba85808ff4574b16d4bad34d03a,,Add sha256sum,
CopterExpress/clover,39,2018-04-27T10:48:49Z,2018-04-27T10:49:16Z,True,2018-04-27T10:49:16Z,0346c48546590faa00f7ee0a1d0ea71f6343bd17,8,23,0dcf7d152054a30c9a6722e0e97f73d6c9dccf55 0b9df02faafe7b07c775ce80a78c5087eecd65f2 a7e003222599da2419b9dc702bfa7fbf980e9fa1 1a0d762c4e3435c9276838781dc3115e0ffe3fba 40be77f9c39cf3a498553ad550b08f439c8ae9ac 679cd37ec6b86255ec7e836ff033d1cea0815918 d8fc2c088fcd3163952aa8fb4d29753e6994aa64 8519a6c6a4c3eed1fffae347eafb5fba593c6f7d f901167009850907d731015a969cfbda15b63446 3dc9575c9e4c2c27d42def55e0aaf68554e8f281 c945bb9d03bd60ba7c674252e7914a398f74ff28 a65a50ffd3d39b91593776cb4e2b0aa4785a339e 846ec3a4301c78ddf3f0b0fb05f562e709586aed 29d66ee264be12cb04fd48e1033e1a521c131ca7 9fefc6428e38e45ce53f3428e1827859c224bbe7 460761ef682a0755d31925a90349f84abbd82baa 7f7276e34a50d48abab1b72fb66129299a54955e a4841de17e91e0a06e29af4a4a7ead13f0e30682 66121e6d5da3994ab5eaac447ecd694177d3e617 18cfb08054db7cf6588157d27bd57348abb81433 b0cbc677999bb64be2479eee72d31080a7cd418e 361c89d0163924de156cf21789e34f79f26bb4af 212c6ca5acb1b950e6abc41f6963d56f35338baa,,Image builder refactor 23042018,# Most refactor of image_builder tool  **Include:**   * Publish message to GH with `curl`   * Change type of config-file from `ini` format to `JSON`   * Use v2.0.0 [GWBT Jenkins plugin](https://github.com/urpylka/jenkins-github-webhook-build-trigger-plugin/tree/body_as_json) @urpylka   * Fix many bugs    More info about hardware configure there https://github.com/CopterExpress/clever/issues/38.
CopterExpress/clover,43,2018-05-05T17:29:09Z,2018-05-05T17:36:23Z,True,2018-05-05T17:36:23Z,380c14da56cd09207f7f2251ed291c2584388f88,1,2,275f94defd6887218f1dc97300c54dbc77218d2a 680c5f295fa870051435063c261a9b23832385d1,enhancement,image_buider enable hardware uart with raspi config,Now  in image doesn't work hardware UART. About this problem there https://github.com/CopterExpress/clever/issues/41.    After replace https://github.com/CopterExpress/clever/commit/0346c48546590faa00f7ee0a1d0ea71f6343bd17 our [forked scripts](  https://github.com/CopterExpress/clever/blob/v0.4/image_builder/scripts/hardware_setup.sh) to `raspi-config`  I can't turn on only HW interface wo user console on this version of `raspi-config`. But I found solution there https://github.com/RPi-Distro/raspi-config/pull/75.    **Next  after adding this commit https://github.com/RPi-Distro/raspi-config/commit/d6d9ecc0d9cbe4aaa9744ae733b9cb239e79c116 to official Raspbian OS release we can use**:  ```(bash)  /usr/bin/raspi-config nonint do_serial 2  ```    More information you can find there https://github.com/CopterExpress/clever/issues/38
CopterExpress/clover,48,2018-05-31T13:22:27Z,2018-05-31T13:22:46Z,True,2018-05-31T13:22:46Z,4a543c75f7d419f98dd87ab9f77a92ba5f84a7bd,2,1,4fbe7cf7860c966e8a93481944d136834e691181,,image_builder use dnsmasq as default dhcp server,Replace DHCP server from `isc-dhcp-server` to `dnsmasq`.    And configure DNS server to alias `clever` and `coex` to `192.168.11.1`
CopterExpress/clover,27,2018-03-09T13:46:41Z,2018-03-09T13:48:00Z,True,2018-03-09T13:48:00Z,d6b664e2f6e0ed8f933bb263873ea87b3f8e134d,5,7,5d311bf01d8e8a043bc872a15446f640e7485816 e49e9add0cb309483bf40af411b6211694deebcb 3db4798606de8df8423ceac8f361d4c6249ed0b3 0400e0e9248c1b140c490692a0fcff5b7de624c2 bd9a1c734eb14865a7a02e5c05e59f880d38dee7 c1b6206b9ce94f053a28eb8ee4d38ee23787cae9 5a3c81c512753d07afdd5006d169a07bf11109d1,,Update build tools,
CopterExpress/clover,26,2018-03-09T12:30:35Z,2018-03-09T12:31:48Z,True,2018-03-09T12:31:48Z,0c275dce9855c68a1cb2cd880076138d76a599fb,1,1,859afbb20cb9051828d5c9bf384a529f8fc2804e,,Fix change BUID to BUILD,
