Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
dartsim/dart,11,2013-01-22T19:04:10Z,2013-01-22T19:42:40Z,False,none,f5094f3d4ba2012f6449a793899c5c08a68c718e,2,3,72416415bde4d027aaa2d2ffdca32de7437d9c69 47003314ef6fec2794ea1b8e795aac22d3f3326a 96b196c22f23a1284457f8cb9e0c5d003075f4bb,,Eric profile,Check out my changes  and accept them if they are OK. @pushkar3  
dartsim/dart,53,2013-04-25T16:51:40Z,2013-04-25T18:00:03Z,True,2013-04-25T18:00:03Z,b49383c269f067a50a7652dc80d90cd88d7a9ace,37,3,7f0e769719166192ac999ae3838a69e46634b986 3c366cd4ae16695f118737ec148272407421ca01 adba8c2a7cdae1152f4b151a3f917266210a0936,,Gazebo support,Changes for supporting Gazebo integration. 
dartsim/dart,54,2013-04-26T18:51:24Z,2013-04-26T19:28:42Z,False,none,74b1cf459c23093f6dec201e97fab4be4351dfaa,5,4,f04fd67242e3ccf111160c18e3c5741c7cd375b7 7e0531784962ee4ad70ff62af72141dd68fb57c0 1b879dd31f9f82197910a22f905069737a9092e6 795f61b708a14836f259f50140b2087e3474bab1,,Gazebo support,Fix bug: SkeletonDynamics::setInternalForces(...) set the internal forces as zero always because the default values of internal forces's min/max allowance was zero. Now the default values are -1e9 and 1e9. Balance app work well now. 
dartsim/dart,55,2013-04-26T19:29:45Z,2013-04-26T20:22:27Z,True,2013-04-26T20:22:27Z,412238cf62ec5b048e722b01665a522064645bdc,9,6,f04fd67242e3ccf111160c18e3c5741c7cd375b7 7e0531784962ee4ad70ff62af72141dd68fb57c0 1b879dd31f9f82197910a22f905069737a9092e6 795f61b708a14836f259f50140b2087e3474bab1 d2c630cb83d2ae3832509440095118107066320b 31d6a5f1b109529413b62944a88f0563542956ac,,Gazebo support,Fix bug: SkeletonDynamics::setInternalForces(...) set the internal forces as zero always because the default values of internal forces's min/max allowance was zero. Now the default values are -std::numeric_limits<double>::infinity() and std::numeric_limits<double>::infinity(). Balance app work well now. 
dartsim/dart,56,2013-04-27T03:40:30Z,2013-04-27T12:24:31Z,True,2013-04-27T12:24:31Z,3c907601933475837fe8306ae3c3489c82a06fc1,6,1,c005e60e5cfb2bcb6c9a9e4b2c88daf538c0383b,,change the interface of World class ,
dartsim/dart,66,2013-05-30T19:27:47Z,2013-05-31T12:02:31Z,True,2013-05-31T12:02:31Z,eb5c53ca99d7398221c3ecec0115c0045eeb838e,94,63,2be040f32672d243a77fa16c3916916d2e08c21b 71e5ac507c723201e54d89993439edfef3a94ff1 47c18fbf24860b6dd9bf9f38c5cc807ceada554b 0dc42615bcb336aef3ff04abd642d7bbc2361bca 8913fbe4cf12a3b5b423eedde67f8d291b724966 e35f6f2cb3578e47baddde286442f5cb6294466f 97f51863042445c08f7aab9cedd47fcb07b49268 6ad46c65748074656f6f4c838a4559f4feed77c8 5c0e5a2f5ed66ade39c9d618817eac217b3e0ccd 2078d5db8e6e063e28a4c88d586cce218dd9d159 efedf78c336884b8a2a153b0070d0a7048bd11c2 2ccd07293cd7550a3ec0ddf94f1f7f44ea1f49b6 f33484c4f5fafe122b655eaa5dcb3e2c602479e5 7becf48165fe54c7f23160209e8408573fb9f565 159d40efae209c259eba4b154b831a8421d1b10a 1a7557e254c83813189fafe3b50260de3b078c8c 0ae6d98d1f00a01e698969c393b64ad92e9b5c1d b0ae0000ba9d02cb6d5df629f300dd5bfff97259 d81928901c3d650a90d05aac5e59b4c85c57a3f2 12748df0ef42b339cea455d27b8ad3741e633448 d88f2f10d984e749be466669088f2c52190d0f76 23c737dcd84aae96d9a36f72759acfbc5068afc8 60145a935bb075bda79a10c6d8f5ba5038a85896 b817f6bc64e5fd3dc981c2b17c57c2b5e0cbe220 a8ad2e3fbf8c85ea6e28b47ebea6295dd5dfe3a5 b0e743dbf752366bb23418b1dcd3f971353e0990 34ed73339e711d76889460cab07dd6288a4fb153 7791669f34261e590fabd7d9a693ad498dd43645 566dbdd3fdcbe82c192652f375b571a5a682454e 8f164cfd13872882ae5056f9fb37472492623613 1ed6ef2f9ce1718a5e5516419f5640f841302546 28737959119a9e5d7ae555aa1a14fd9359e0571d eb1ae03f4e5b3081e07d97355c2190c49c88202c 8da01592d35b690388a5de0f9ea3d3c8063e1a01 87285130b7794a4ecf6c2c0bdf1a6ca4619f7d35 7949e7564f7d013cf27eb7cca14338aba7f20230 e6f95a89a3546ed9069eae44ce50887018beb063 d104ceffdcfd2ff63a3a08095890bf3fcddba052 bc5806e944b7d632b9fc4688c899491007bbaf2d 8791134f001316d9323f72ed112cd11b82612486 02acbb2848c1b9fc21878d096d24d4d28ddc477d 0ffb5845d40c753161a4045b75a03f7be5b149bb 324a70d30c3d8ccad51ba30239ddd456dbfa18be d536d90a4d29d069455c29db1f0c4a6423c2d30f 4ba658f3c4b8dfead46655893daf89d59c51c0ec e490f0f3ded97697e521ec3c8db3add43c16e5aa 4edf4f5df4aeac854231bf4cce8b7ba77ae97e97 9a8e1c9fb9281efec34b8f3420dffc61005f6d42 31b9bb13a0f343a6f173c75a73242f178b9438d0 bad3a20e1ae2cef6ae9b273b8050feb3d2795739 151d4a86eb56f2dbfe2b61d36ea8689885ad0a85 bfd34d1e22d300f96078132e45dcd1fceec4e9ea 4a9f1b1a1d1838c058bafeae11b5e3ade462eb76 aa1b0ddb973754518bdf63bd4b61e33f9229e223 d21f3b58f6a70599f6b413e970c3759cce81d98d 587e4cc782083a0e117a21a12e4db94e2a1e80f6 b879239735814d5442ec288d67ed805d782ad586 08517b3a63dad60060e9221c95d3efbc7afc6916 fddc0fcec5e0d9866d9e76b1a469572761213f7f f9ad833913d70899db98d71a57838094288cbb38 1be93f94c03912c2bb47ff00acd830f8d7c62ec8 bfe490a59245246727c014f87daaf1a9e3274d03 e57a2643f1c992d75f4f239f5a51d3b8bad25a42,,Gazebo support,DART has passed basic physics unit tests in Gazebo. 
dartsim/dart,80,2013-08-23T22:42:18Z,2013-08-26T01:44:54Z,True,2013-08-26T01:44:54Z,c3eb5ad09f7b1486e0bbb85758301e1ca10f4846,1,1,54012a97725de3cea61456987e76a0ff1b6cd3a3,,DARTConfig cmake in fix 79,Fix #79 by exporting @CMAKE_INSTALL_PREFIX@/include in DART_INCLUDE_DIRS 
dartsim/dart,75,2013-08-13T15:47:30Z,2013-08-13T16:41:45Z,True,2013-08-13T16:41:45Z,9ca42f8650f4899e49ddfc679d6e19928f882426,2,1,73a4f006e927c780446e78955279c7bbd25a33bf,,Create DART_INCLUDE_DIRS in DartConfig cmake,Copy DART_INCLUDEDIR into DART_INCLUDE_DIRS variable  which matches cmake conventions. 
dartsim/dart,69,2013-06-18T18:30:02Z,2013-06-18T18:37:14Z,True,2013-06-18T18:37:13Z,021a407932559fe5b337f6937fe58039444c46ff,1,1,aeb242877305c545828249b211f14ceaeb680040,,Issue 51,Modify CMakeLists.txt to add minimum version to libassimp-dev.  I don't know if this will break anything else  but I think it will fix #51 on for Ubuntu 12.04. 
dartsim/dart,93,2013-09-16T03:00:58Z,2013-09-16T03:16:16Z,True,2013-09-16T03:16:16Z,67b93d8e79283b8fd6a424bc37568989bf41c0e7,2,1,92645670371213d7ea1aba82bef6de8a1221b8f2,,Remove Skeleton mRootBodyNode and assume that Skeleton mBodyNodes 0 i ,...s the root. 
dartsim/dart,91,2013-09-15T20:58:59Z,2013-09-16T19:32:55Z,True,2013-09-16T19:32:55Z,a851003c4a2da576047b9ca099c001e0aa725ba1,2,2,50d53e6c6b53a873ea5f5f7b7e41b4b4bcd0104f 196922890b2fdf7d5584ec02146c4c06dc1b7de7,,Refactor Timer,
dartsim/dart,97,2013-09-18T02:37:24Z,2013-09-18T04:22:45Z,False,none,1ee6ca64a63d78036d5875d50142261b2d6d740c,2,1,08ec66e349433d6dade117b011cb0aa84aa1ced8,,Add name member to World,
dartsim/dart,99,2013-09-18T10:00:34Z,2013-09-18T22:04:34Z,True,2013-09-18T22:04:34Z,05d4d62269864dd9680537b31d9a653172ce1069,17,3,1fe2827aded2231f3e47bfb051ec32a82ac3eb47 c5f58048b40b7e60c6d09b268a9e3d0c08e0d4ed 8f7d598f0b64054a96a24ad49befbe97ebfc338f,,Don t return the whole array of class member variable ,For example   ``` class Skeleton {     // recommended     BodyNode* getBodyNode(int i) const;     int getNumBodyNodes() const      // not recommended     // const std::vector<BodyNode*>& getBodyNodes() const;  protected:     std::vector<BodyNode*> mBodyNodes;     // ... }; ``` 
dartsim/dart,96,2013-09-17T16:55:06Z,2013-09-18T10:01:34Z,False,none,0f12facb227882f93a2c8fe19ced5d09b4787995,16,1,1fe2827aded2231f3e47bfb051ec32a82ac3eb47,,Remove getGenCoords and rename getDOF to getNumGenCoords ,
