Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
dartsim/dart,120,2013-10-30T22:21:16Z,2013-10-30T22:46:27Z,True,2013-10-30T22:46:27Z,6669e5635ef4d6a95c2b299a83167654a355f7ea,1,1,3534a823410afb3f0f7d86381a8ac044d335ed9a,,Switch to github repositories for urdfdom and urdfdom_headers,The urdfdom and urdfdom_headers repositories are being actively developed on github  not bitbucket. The bitbucket repositories are going to be removed at some point. This should switch your CI to the github repositories.
dartsim/dart,169,2014-03-29T16:20:55Z,2014-04-02T07:01:16Z,True,2014-04-02T07:01:16Z,54dca36df7b464ffca85a9ae7b8aaaedfb3bc2bb,49,4,6341a651f1232ac8b93f58b90928e28eae84afb0 6978f7d7e7b60a841f450eda2c16e40118c9257b cb3de512328313514f9aa3ba9c9044870d18747d a6b62f98427d8aec08bdd220769371226cef1544,,Read Skeleton from skel file,Read Skeleton (or SoftSkeleton) from skel file. Added following two functions:  ``` c++ static dynamics::Skeleton* SkelParser::readSkeleton(const std::string& _filename) static dynamics::SoftSkeleton* SoftSkelParser::readSoftSkeleton(const std::string& _filename); ```  The skel file should start with `<skeleton>` tag instead of `<world>` tag. For example   ``` xml <?xml version="1.0" ?> <skel version="1.0">     <skeleton name="box skeleton">         <body name="box">             <gravity>1</gravity>             <transformation>0 -0.325 0 0 0 0</transformation>             <inertia>                 <mass>1</mass>                 <offset>0 0 0</offset>             </inertia>             <visualization_shape>                 <transformation>0 0 0 0 0 0</transformation>                 <geometry>                     <box>                         <size>0.1 0.05 0.1</size>                     </box>                 </geometry>                 <color>0.8 0.3 0.3</color>             </visualization_shape>             <collision_shape>                 <transformation>0 0 0 0 0 0</transformation>                 <geometry>                     <box>                         <size>0.1 0.05 0.1</size>                     </box>                 </geometry>             </collision_shape>                                         </body>          <joint type="free" name="joint 1">             <parent>world</parent>             <child>box</child>         </joint>     </skeleton>  </skel> ```
dartsim/dart,177,2014-04-08T00:56:19Z,2014-04-10T12:25:01Z,True,2014-04-10T12:25:01Z,9e20e4ccac56ca540c25785eb9b02623006c02af,5,4,77b70b170a151308c44072362844db39ec4c5345 46141e8e8ee827f2364f0be958ff224188445dc7 be4edf2a31f08e9293e683a3919240c82f01a05f a26f140d5acfb6970be2c981c70c73628a5bf93d,,Fix Bullet linking,This fixes bullet header file paths and adds bullet link directories.  Currently  DART links all the bullet libraries (LinearMath  BulletCollision  BulletDynamics  BulletSoftDynamics). We should submit a pull request to bullet to provide a cmake config file that allows to link only LinearMath and BulletCollision.  Related to #174 and #176.
dartsim/dart,184,2014-04-24T20:29:00Z,2014-04-28T18:17:01Z,True,2014-04-28T18:17:01Z,none,226,71,69f9bf774d7d08c1036b9a8712bc22b808049c75 6793fc4d76a33a7207a5ac8afecd430cf8c07b9a 82f59eb1560de0f6de12a22627ecc60196fd0f30 decb47384a6a1c5d31e39c9871c5ec52179ee023 203e21384b4193e6b88765d11285e94d18bc3c88 6ef27e26495c523bab903f047fbf1ab031ed2d57 941bfc33b37aa35aec7b3134150e79539db6f416 1c6642665e8fb6f66546e70c3722d7ba84674378 a52dd199447f4c89b6eaa23772ed210794200663 a15a789700ae9337998bbc7a2b2e9326dabca2ba 38b51ace653162aa724da14eadb72cafc946d493 da1333da9b1075d78ee282bd8742dbbdfac9ee9d e1e30af3b6d5626e7226d1b3d1cd82756d560bb4 265a23355f325cbed074dd889de721b9ba74e01c 8a820516ca101fb5044f8478f125001a8cea64e8 dd014e0b5dfdc9ae9b8f37a25d37d1c6c230ab0d 9082950a31ec4e2c5420b97c6394072fff3af2f3 9fa52b232333f94ae27505a0df0b512734009964 4f285281d3869a77609cff7be3939538af84f519 1271d4198addbb424493a41cb3dba093f33c32cb 88a6dfc351ba88e038064a822ca3000efe147249 8f3d63f9c8beddb39bc560d56b4a1627b1e880ff fb13cfdbc92a17335d558d3d91005b7af197a4e9 9ad05d82169dc594289b6ac3828777a6044c1bd6 c5fcdfaa3eb43e4738a51625f43ec56ec46f9264 003632e4526a7af177acd6bcb2179ff5dba66551 b2266546c00ca57a0721de13383f9b0d99fec8c7 eda11ad4f3d87e4ccce0842e9fccdfab0167e6e6 1f0aeaa2deee4de0925368fdcc97d18b572f54f1 1e608555f57634acaef3661b2a17ffe011815d67 43d4f5aaf8ea94f588e262aeff2316bf8af70637 e4be0edc606228d213ceeaedb18b2969a7cf5eb1 e89b2f5a490a4bb1fb96a43db101fab570e96716 6eea1343d4c54f23ab44e9a95621558674b1fd36 9944ed8f748b88389709dc2dfff25846bc901a79 8b358b260d54d6a696e8428532214f20e63957e9 afe4519cfeec4dc12e6dd29506b8b066e2103f34 6abe9143c854ac03796648849365c7738f95586f d15ef085d1ed88f400dc36a72d352561ef00a9d0 beb68576078ef6195c522f3b0f04793fd1e4b92c 6cfc5de8c176c846a179139e4354e140d2788f6f f69448e41c461e6e66942f54145d347da386d913 985648d3fdd1c8c666f662460234948340e2c1cd 835494c5af21ec662332bffdea3abff913f97336 2a56c6c5542e3d59d8c2e1f15081364fac867bb3 821a2e74558fa33921cd00223b80712304d30352 b9d684d47d6ad939dc5d463f85ca7ef8a26b0ab9 bb00913751f70f6c510119d1285794acbea2af64 7c79c108183ba9f939b5e24b00aedd7cbc7803a5 103c06ba819fa0f94f333206dd592e8fb52bdeb5 1ff6cf73ad5ce5b15b3c47401fe3b84e5671568d 3fc57277fc5d217b6c14b81c71a158286910c289 92c7364c7f75b9ece91b84ece5b9620a25d6a6c2 7d12797b88d91994be22c5462e2fc6fdf37738f1 1b5323d6191f2675bb0193a92be6cbf8a131df89 cb749936583fd6f69fd734187275075cd1fb72e9 dbccdba0f8ddac7737ac409853aba158852bf115 a7fdaeee8789d466ce9b57810d591ce41a46a252 76d7d86d19fa3484630e340e34d4c3bf6209c6c3 d35f03fc3c3a0d23477faf410ffa6d12f32cd993 2b36fb7b175f14a4623bf4e056bce291c925015e 6307a4e554edce994f3c6d153dad31db211f8a0d cf823d18af7be4450cf06d1f14673aaf245a08b0 bc2cde663d8945dd4dbb281d3dfa655efb285c74 8ce380a6d9ffbac6f2df9d73209bc871844c0420 d4e447c5ba7edb4c211efcec9ae346eee21a376e 8d4e154dc1413d065be1599478fc3e122d738991 f19f72d74e88818eed54dc0cbe9f86298f88fdec 29c958e53c5bced47c1f0ef0b37fde1f57e954d4 084cfb66716b79ee3474d82e1459507b06c841d2 a92319a0ae92ebefc4e504b8a9323ef1c1e0006e,,New constraint solver and softbody dynamics clean up,- New constraint solver   - Improve method to construct LCP problem     - It does not require explicit skeleton's mass matrix and inverse mass matrix   - Add constrained group concept (similar to ODE's Island concept) - Softbody dynamics clean up   - Merge `SoftWorld` into `World`   - Merge `SoftSkeleton` into `Skeleton`   - Merge `SoftFCLMeshCollisionDetector` into `FCLMeshCollisionDetector`   - Merge `SoftFileParser` into `SkelFileParser`  Note: There is more work to be done but I'm splitting it here. The API is not stable yet.
dartsim/dart,152,2014-03-14T13:12:00Z,2014-03-17T20:46:01Z,True,2014-03-17T20:46:01Z,159ec95a5dfa12cbe5211d1a42965fc204697e41,36,37,9a4393528e556637969a3f4a3a8e7f760b707dbe 12f58c0b3d261a3a84a5323dcddb29e919383b8f 0fa16ea75311771cca49e4f9d5bf409dff521b2b 8fedb36aadc884c6f2f5c848c91818d85f7b850b 8660235aa4422af9d793ee81e85d06472464522a 6e413221508a7534e0e60326c50fb85a5b248bbc f8b54cd2fbdf76ef8da51e173dfaae4675e14e8d 18bb6487c51281212c26960097bfb8a1563c9e1c 08ffada69a000e54258fe5c3b02bc8e65851e037 39873a512387ecff5e9b3cf966b8e8a42b58fa1e 5132e8b5efd77af878780f12d7b776671b75b928 a89718af64fdeeb85edf331bb459c0ef52b87258 b64431c7c47618a4887001b453e7f9534e96d1a4 cb7f3d426253ede3afb5b87fac92b0d913d30580 5ce291f542512010410f12d4d6539bde0ed1d8f2 1f9134d2347537d681bef04dcb91977689584801 8f26bde97950a2602c60393a20c54ac544a16b0e 0219af6ff7fe89539f90f9844395f0d90f8f5962 f3809dd7923a9530769fc8699a3a04dda82d7648 cd1c4dfab38acc2b291968616d2a96c7bf1a4ba3 5a96e85a259c44a757b9a11f16d88a270c5d3b0b 68aba478ba1e6b1bcb71c7aa1fa21f07074135d2 d46b760ba7458d70436df37b611d1da03d4a506d a8e8fd2266caf9ff549c829b5794ab2b6fab73b9 3eca24f26b7bc0c4d6651f92cf974d586570dbf7 0c27325566e4dae0dff8d7677cea6e76fd9eb67b 8f6c130d9b1e53282e4db6899e76f6646f17bfb7 fe3d1eb6c204768bf48bf971c94c01e075edf80e 5c8c91b353161214fe527f1a930738fecf5716c0 692d7e7c3f66699e23251d68046fbb04a7ea0daf 41af2f5236abfcc2c564f3cf502e38070d89d222 d9129a259e33f3d3f62d37255bbed9c7a2a85779 9de9efc6c7d365341028343760f4e3f6d2aadeed 3c87d721479af6a1396ec641aa105fab1a250139 da8c0963c815b3b5640c96831b3ac8f36b73b390 3c48d66a3329d62d50f4680cf2db7905b60c9cf4 24c66f2ff195c616294758a508c15fef756baa58,,Clean up optimization interface and add nlopt solver,The previous optimization solver of DART was dependent on a commercial optimization package  SNOPT. SNOPT is well-known and well-made package but open source project  DART  should provide alternative options that use open source optimization packages.  Considerable open source optimization packages are [`nlopt`](http://ab-initio.mit.edu/wiki/index.php/NLopt) and [`ipopt`](https://projects.coin-or.org/Ipopt). Both packages are delivered by Ubuntu except for `nlopt` in Ubuntu 12.04. ([`nlopt` packages](http://packages.ubuntu.com/search?suite=all&section=all&arch=any&keywords=nlopt&searchon=names)  [`ipopt` packages](http://packages.ubuntu.com/search?suite=all&section=all&arch=any&keywords=ipopt&searchon=names))   This pull request adds only nlopt solver  and ipopt solver will be added by separate pull request later.
dartsim/dart,215,2014-07-07T22:44:36Z,2014-07-08T04:58:13Z,True,2014-07-08T04:58:13Z,990ce066831ea92b1c53bcd5610be32a300f677b,2,1,daf6a88080d971fe8008abc7715944e720024373,,Refer to debug version libraries for ccd and assimp on Windows,
dartsim/dart,130,2013-12-26T13:48:46Z,2013-12-27T20:42:53Z,True,2013-12-27T20:42:53Z,d69ace0428f9594d2db2530ed34662c014554a86,1,1,ace85ea1abd4b4af32f221959057bd5177249687,,Installing 3rd party library packages from ppa instead of building the sources directly,This pull request makes Travis-CI to follow [Linux Installation](https://github.com/dartsim/dart/wiki/Linux-installation) instruction.
dartsim/dart,227,2014-07-17T19:30:11Z,2014-07-17T19:30:27Z,True,2014-07-17T19:30:27Z,f9415eb49bdda79575da98e973e2c820a41243e4,1,1,12cc6b2a04b207155fa672b84adf52aa3ffa9373,,Fix creating working directories for abi check,
dartsim/dart,226,2014-07-16T20:19:34Z,2014-07-17T05:31:49Z,True,2014-07-17T05:31:49Z,39af6be688fa141972857a05a17227a3b9c4b9ce,3,9,bb7c5368ba9c12d55317b518d007adcd50ba6dc3 81484dc9d04594829fb61471303e2d218803bfb3 6c9802573617ed2cc71a89d597c866f2af2a715a 3d5069ac3a2bc09a1e2b82a2fc3aa8474c3b60e0 99be53336d3359edde2ae9ee2e254ff974885030 3b8fd6d03d5d69ba48aa45e8fbce9f4b1fe98d38 f1c78a99f683c449bc47a572da2b5a56705cf499 2563e6c676225b9d14fc3dd08b2ce238740fd213 d9535bd474d53863eae2904c35bcb45543fea390,,Add ABI check shell script,- `abi-compliance-checker` is required - Usage:  ``` cd [dart_source_dir]/tools ./abi_check.sh <old_version_number> <new_version_number> ```  Example 1) ABI check of 4.0.0 and 4.1.0:  ``` ./abi_check.sh 4.0.0 4.1.0   ```  Example 2) ABI check of 4.0.0 and current:  ``` ./abi_check.sh 4.0.0         ```
dartsim/dart,217,2014-07-08T07:43:47Z,2014-07-08T09:32:25Z,True,2014-07-08T09:32:25Z,0de9d8837d9c46dff3c884b085373e1200deea31,2,2,d21d9d601841755a525ec0d349948d5fe4f28dd7 edf2a8fcc7a1e5d590671755ab903a86d7f77fdd,,Fix supporting Visual Studio with DART Prerequisites installation package,- Fix referring to debug version libraries of ccd and assimp - Add option for Runtime Library (/MD | /MT)  - Installation instruction is on [wiki](https://github.com/dartsim/dart/wiki/Windows%20Installation%20for%20DART%204.1)
