Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
nasa/fprime,1,2017-07-12T15:42:26Z,2017-07-14T17:56:01Z,False,none,c52841a36aefafa3e75b829c46d219b58ea24888,1,1,671e71d8bfbd1f8980e904d3b9798dd1752127d9,,Fix spelling,
nasa/fprime,2,2017-07-14T19:02:44Z,2017-07-15T04:50:45Z,True,2017-07-15T04:50:45Z,8f72e038498dbb79d907dc83e9e9854ba249a486,1,1,1761322733f562fa9f39d1e8cbf0ad6389993602,,Fix spelling,Alright  trying this again on the devel branch.
nasa/fprime,4,2018-03-16T17:43:47Z,2018-03-16T17:53:15Z,True,2018-03-16T17:53:15Z,fa3ec799b9125f72ccecd90383d7207d381bf927,126,47,6299639b52ae32b76ad3b4280196aa8a93f4f3cc e2477af71899593bcaa36c598af3daee63c28177 ab688490c3357d3933d4e4939007a5c9c25c02e5 2ab32d783009e64f19a3ec4a464a92cdb34ecc66 33cd3016b5656a2748001a9dec3e58985d48b07c e86992544a1c800627a0d0648d6358a4f3fe696f 2747f922785724ae59b798c1095e0addca51f2a0 1d8aab96ad88d3654cce5ecb06e30fae863f171f 664e7a62478e7a6720cf187cd6462c6141db6e7b 3e64c1baa9c6d0430b62881c407b2db2e2d23fe9 6dc5e58350936ec600f44431c79adcd2090f196e 6b6454b6d29db69d63dd3c292014b5b8a446a259 3098d1fd90268e1152adbf1ec89795875341b9d7 a7b07bec1a0a4e78ac26f183a697130b03d398b1 9b721d8a6ceb9c63cfed631204bedb01affe7cc7 1e7e09a4e1d3efb336c02ffab003b0a6ed112e56 92511ca30955a1b3d84b7e3eadefb905003e56db 25d7ca487f0efa2c1283bcf4da75ff71e6f696df 926a36403f3a991f633f89f9907419e864f310f8 771e117f12167989bbab82d616ec6a7ec6dcf1d8 fe23f8d88a0b8ac9d7cbd877e010fb8661719835 d57cae54fa51acad1130b269c1e0376447011856 000bc504a945c80c84211bd461f1208c1aebc5b6 7789b9c9de412590fe0cb93af747fabe8cfd70c7 8bfa4fe59210952261898bb86b3e237e79488113 a881265564f475af5698b578d66d7ec3a3ad9386 82e0e41a68d204bbd9538e23a295165179660f9b 862a8326d7122e252c5253a8114e51b7423eb6ce 7940dfc251c05019cf84038b5fadd0b063c423a2 5a494fe1b182166caa6adf2ff6634c173150f90e 7376e14397bfd2dd41ec18de2c9f88b41dc965e9 138bd2144b0042b110bcde50e4a69c9fb305a364 c3dfaddbf16029f9e7e8f4d57157f67a96a38009 e3ed378b669b927e4c9acea90a7ffb285a8a1d7c b9262ddbae6621e781c82e464b884b05f7b5f147 66b9a9f66f78f493a04a7137382a94737e903197 62feacbdbd34230bce6f5db81bb92e7920b4f54d f7c6fca4d68b4549888afe359cc1f767a8f34271 5c6808d2b8e4e4728d5998b6bb43a11feff1a56c e61949a721b2d6c9dab10ee3d90590e441bf93c5 f27846d90eef239b7105e5595479bcf4b3686599 8626ab4df9b897b578712238e860ec84a4664d2d e32904be097f3d9d4589d38d45a80287d98212da 61f31d529c101b1db3868418535dc0a50ecc7ecd ac952e532c8ff666fb03ed6cbadc85b9cba4efb6 fa801d45f7bcf4f740f7e6fa2ee39c41dd1349bd da585e417d888ab841fe32062f3cb5fe66975882,,Merge RPI Demo,
nasa/fprime,6,2018-05-12T04:18:06Z,2018-07-30T17:18:48Z,True,2018-07-30T17:18:48Z,a35796fa07aa9d90549931d4976d0ad70b4ec14a,7,23,efc7c739fd7c6936b3eb23608676dc1521d55049 0071dcb33614ccb194b92dae8930a2c38187b9b0 1c6252c2ebacc5729a36977717c022e6c70d7041 aa0bafa6e3ac79f182a73dfc11f16df0f6737ce0 36e9942ee4147789023d5482eeaca83b1ec1e3cd 7fb2e8f6a332cabc8e0d93b7c64c53750a09eb72 85b3e0ae37b6e5eb2edb872d2bb8af79076918f2 1ed8f4d3eba2eee5bb799ba067f174fa3d62895e 965a38b973e6387876e33b2625525a460b50c449 55414d2eb2a00f9df444487b13756211d8264379 7cf9f33ed3abe9f98819f7131908072f230c04fa a22b8308208bbe0e38938fdfa8ddaffa878e8466 55b4be58f6c4d13e7d31094203dd09e464be73be b6762664bb33148164234833e8c064cb41ba0b14 91c34ffbc74c8971faa1d29b47342ba346a561e7 15d28e18dfdc08c6848e33f81827842314057fdd 2ba2e8ca22a2a09f37a573e665fc706b2bb90b75 78a01af9d70fa45a33aafe5c12d924c2df7e1cf0 84b08852e8a60a5f2b7cec23aed945046df2fd52 49859fe10a94cc67333a06b8378386b525ca7c2a 512888ce399780e904a8f4a59a6a3ec0a4fd894d ce79f3a6dfcb3796f990a09b7342e34f7b451cb1 7564dede3841bac4f5d85f25c98e1a446f855e32,,lestarch landing page getting started guide readme pointing to documentation,This pull request adds a GitHub pages webpage that gives basic information on F'. It also adds in a getting started tutorial that walks new users through creating a component in F' and wiring into a new topology.    Finally  it updates the README.md file to point to this documentation  and other available F' documentation.    The sample webpage can be viewed here: https://lestarch.github.io/fprime/    Note: the README.md file is updated in a way that the new links will not work until this request is merged  and GitHub pages is turned on.
nasa/fprime,9,2018-07-31T16:46:44Z,2018-07-31T17:23:52Z,True,2018-07-31T17:23:52Z,9880945b074fd2baf2f20381e6c6e9309ddfd1d8,1,2,ace4f08d49c934573ec758e76bda5948b338c0f7 e530749f0c40e9071381327fcbb53d8caae11b18,,lestarch updating README md per request,This updates the README.md because we couldn't get the webpage up.
nasa/fprime,11,2018-08-09T21:48:05Z,2018-08-10T00:54:22Z,True,2018-08-10T00:54:22Z,13f49126ae38d209166250f3d8a1ed2f2f535c7a,1,1,6be5da40b20b5f1ca7f99abe26150c214a1f8b32,,mstarch adding getting started back to navagation,When ready  we can release getting-started by merging this PR.
nasa/fprime,8,2018-07-30T18:10:31Z,2018-08-11T02:29:13Z,False,none,23b761187146f3ca2d1aa59e04a491eaccd59250,1,1,daee5b088189e8ad24202a5af83688dcdc937932,,Typo on paragraph 03 05,
nasa/fprime,15,2019-01-01T19:33:18Z,2019-01-23T05:24:19Z,True,2019-01-23T05:24:19Z,26c41e7b6dbb1df7711cbfa5d5ae1837b92b50a5,1,2,907a9df03c8e8d01ddaca9a1d30a4ba5beb5c10a 78470f861e56c0e4686fa5c98de94fa5f00ebaa5,,Tutorial Suggestions,I made a few suggestions to the tutorial to address some of the questions / roadblocks I hit while implementing MathComponent
nasa/fprime,24,2019-03-01T20:52:47Z,2019-03-01T21:42:34Z,False,none,96691fae79afeaf1719f5a542b88035036acce3f,17,3,0df0456c5912c1f478691e58fb69ba719c59223e 2e5c0e9eae710fd10ff56a166e2cdbe252d24b77 b3df726a67c5cdffbe978c475240ff0674dc5974,,TCSHardwareController,I completed steps 2.1 and 2.2 in the tutorial found here: https://github.com/nasa/fprime/blob/master/docs/Tutorials/MathComponent/Tutorial.md#21-port-definition
nasa/fprime,30,2019-03-20T19:12:54Z,2019-03-26T01:20:25Z,True,2019-03-26T01:20:25Z,3eed3d109c0ad9741018b256564c1b87cc09b50a,1,1,e417c757eb1acd612fab24d5fa0054156f250d9e,,lestarch fixing GPIO number in README 29,This should fix the wrong GPIO number in the README  as can be seen in #29  the topology uses pin 21.
