Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
nasa/fprime,6,2018-05-12T04:18:06Z,2018-07-30T17:18:48Z,TRUE,2018-07-30T17:18:48Z,a35796fa07aa9d90549931d4976d0ad70b4ec14a,7,23,efc7c739fd7c6936b3eb23608676dc1521d55049 0071dcb33614ccb194b92dae8930a2c38187b9b0 1c6252c2ebacc5729a36977717c022e6c70d7041 aa0bafa6e3ac79f182a73dfc11f16df0f6737ce0 36e9942ee4147789023d5482eeaca83b1ec1e3cd 7fb2e8f6a332cabc8e0d93b7c64c53750a09eb72 85b3e0ae37b6e5eb2edb872d2bb8af79076918f2 1ed8f4d3eba2eee5bb799ba067f174fa3d62895e 965a38b973e6387876e33b2625525a460b50c449 55414d2eb2a00f9df444487b13756211d8264379 7cf9f33ed3abe9f98819f7131908072f230c04fa a22b8308208bbe0e38938fdfa8ddaffa878e8466 55b4be58f6c4d13e7d31094203dd09e464be73be b6762664bb33148164234833e8c064cb41ba0b14 91c34ffbc74c8971faa1d29b47342ba346a561e7 15d28e18dfdc08c6848e33f81827842314057fdd 2ba2e8ca22a2a09f37a573e665fc706b2bb90b75 78a01af9d70fa45a33aafe5c12d924c2df7e1cf0 84b08852e8a60a5f2b7cec23aed945046df2fd52 49859fe10a94cc67333a06b8378386b525ca7c2a 512888ce399780e904a8f4a59a6a3ec0a4fd894d ce79f3a6dfcb3796f990a09b7342e34f7b451cb1 7564dede3841bac4f5d85f25c98e1a446f855e32,,lestarch landing page getting started guide readme pointing to documentation,This pull request adds a GitHub pages webpage that gives basic information on F'. It also adds in a getting started tutorial that walks new users through creating a component in F' and wiring into a new topology.    Finally  it updates the README.md file to point to this documentation  and other available F' documentation.    The sample webpage can be viewed here: https://lestarch.github.io/fprime/    Note: the README.md file is updated in a way that the new links will not work until this request is merged  and GitHub pages is turned on.
nasa/fprime,24,2019-03-01T20:52:47Z,2019-03-01T21:42:34Z,FALSE,none,96691fae79afeaf1719f5a542b88035036acce3f,17,3,0df0456c5912c1f478691e58fb69ba719c59223e 2e5c0e9eae710fd10ff56a166e2cdbe252d24b77 b3df726a67c5cdffbe978c475240ff0674dc5974,,TCSHardwareController,I completed steps 2.1 and 2.2 in the tutorial found here: https://github.com/nasa/fprime/blob/master/docs/Tutorials/MathComponent/Tutorial.md#21-port-definition
nasa/fprime,56,2019-06-27T17:42:20Z,2019-09-03T18:14:34Z,TRUE,2019-09-03T18:14:34Z,0982c146b8b020bf32880f08c81916a6c14ac7fe,1,1,53d06ee55d75957d7a77623642ea33d6f340df70,,Fixed reference to seqgen py issue 25,* fixed the outdated reference location of seqgen.py in compile_ref_sequence.sh
nasa/fprime,80,2019-09-16T12:05:41Z,2019-09-18T23:00:46Z,FALSE,none,1c2875ffd685948c39e06683ed32b13d43dff09c,5,3,8896e49e04f00d8b2d49e40d499a0fd3f7d999f6 71f6106864fe7874f3bd30452feaf3696ad14c5b 3e6d3b80b1e6e74d10ba4da24ba9175e61c5d3d0,,Updates to raspberry pi tutorial,Updates after completing fprime raspberry pi tutorial  changes to work with new file locations  bash shell  and general clarifications.    Confirmed working with a fresh install of desktop Raspian buster on a raspberry pi 3.
nasa/fprime,83,2019-09-18T20:56:02Z,2019-09-19T21:46:38Z,FALSE,none,ec8e574e7fe6c543742ce934da91dd5c4bad14e7,5,10,dd9af6a21bd96589594952a4143caa13b01f34a7 5de78932b76b27121e81c22200521c6dab832437 aba45ade1209df8cec47fb8b2b9a6685fcc78c2e c1e846d4ce5c24c0fff12c48eb1a950bddc3e3be 9b1a0212fd388dd6421fc75a28ab215e17f3a2e2 2c1559e4039f88b2f72564785814615a928c4b1f feadc92b6897fab66972e26771fa934ee62dc712 bb4a909e577fc7fc3c9f1cd603c856acf5bace69 c3332053e1992ea1b502422d28bcc0c2161a30da 1d566f6f850116451e44e85426cb4084ce0afe78,,Devel,Working updates for local build raspberry pi tutorial with some conditions:  after `make rebuild_rpi`  you have to go to the `Gds/src/` directory to run (`../../RPI/scripts/run_rpi.sh`) because spawning the lxterminal for the app doesn't maintain environment variables (namely `PYTHONPATH`) from the previous terminal. If you spawn from `Gds/src/` then your new terminal will have the `appwrapper` module in its path.    If you run in gnome-terminal  environment variables are kept in a spawned terminal  but I think this is the exception just from messing around with my mac/lxterminal on ubuntu. To maintain the environment variables and keep everything isolated  you may want to `printenv > ~/env.temp`  then source that file from the spawned window  then delete the file.    Minor update to the `run_deployment.py` file as a `proc.returncode` of `0` is a success. A few other clean ups just to make things easier.
nasa/fprime,90,2019-11-01T19:27:36Z,2019-11-01T19:58:23Z,FALSE,none,8043ea278a0dba7bfb7e0e1fadf84c22ea018fcd,1,1,a4b95ac7f2a0253221e6e7d637fc600430592264,,WIP fix validation call from cmake,Resolves #89   Also remove trailing white spaces.
nasa/fprime,96,2019-11-18T22:51:14Z,2019-11-18T23:17:38Z,TRUE,2019-11-18T23:17:38Z,ac30af112317caa2c52d96f5a9c5065369a37fed,243,128,de5101afb93e4330453ca8fb6082a706bf6be8dd 3c616410d21cb4c05ace92539f1318d25c30a8d9 94726a7c730e8c6f297d9c937d7dce82e6d8422d b38a22cd44dc160bfbb4ff359e31a8020b52a73f c42f8ac7a0176721997ba8ab051d366de075cc5f 20edd5023c14ac6e9d9cdcceb4f6528113be495b 3b31d1cfaf7aaed0ea67557f937e3c6781c8ab0e fcbc0cfcbab3866cd520ec5216cf94362a11cf4d 545dfb402420f6f4d34e6bdf66f16e25683fda12 eb516e0bb345cf7a91532f6f7b97123bfeba845f 1e9a41ec751c1fc07d92d521ee91b1e8d0e86064 e978c69d1ede5978b15a879f8df6e62ceb42e1ce 3cadfcfb9b3ac6f39cc4897f11485673e4c6fc76 9d2cb9438410b97679e984ed0daaa442ec92cd1c f198982f34dc0498002b30b282d518517edbbcea 0135c464bfbee8118110fff2fd16b656ecef3239 b1bd950f9ad516defa0805fe0b8c2130ff087ad9 f8bb287bd6c817eac4227c55f452ce2da3068285 1a840c4acb6fcf3f7d73db09957d09ff8f4bb67b 6392edf8e9913b410f4122489687632ea982206c cdcf03375e55f694de72e5a5ddfc0c446a0c4402 c6435f9b929b7bff152005de532ebbfaf42d399c c02cbc7703b2b5bf70e6562392d6e6320c28a4c2 4825c5f1004dc03bed164c75ac71e10197ce67ac c0214413203031635dd25987d83bf2c9fc6b4375 a30b9e7768391ff9eb0958860baec0fce8bdd10a 75ad978e10d5ddec4662ca8b4abd4e4821d63008 4b06d467b2153cdf81efd8130f5338189875d959 61ec89a8687241435b9eaf2cb89ed6fe0be19d73 2a1eb9fda11691ca371a093ee5fcecb72d922200 bbedf194b2628366e1debc0efdf01f819ea5ef2c 29a35b4724ff4dbf066c88b2a2925eec460227f0 d2969e9fe0c01b5620c0d1b3345977840f87fc5b a8fb7eb8899bd3e82f57d7bf0c8c48af9d881f7e 9d4dd8ae29978c0ffa0fd43ca3e93f77f526d54d f66ff0c34c8dfc9f2b5b0bdb3fc5b48181d58608 d6ece463ea6b11cb8be47d251ff09ffae3bff284 4b2605127540f55931264d39f41a6db9aab93051 69dbef0184977e2328c76ba5ce189622416cd7c8 b41aa1c8b7e2b24c0c0534ca4404d976aa99e5b7 7ed1e75d399f011373a622fd9ae927dac78704bb e8e22f601198672596e4df15aca9ed374829a035 983987ab153a123ed2f3d5b547354b0e48603a2d b0f35db6ae3347dc1a50ab4ce5354941edb0d61a 957aed6521fcdef5ba12efd3d3412b7829cbc7c4 e5193718a75df03cb44fb211d240c03e3c546e5c 4e7546f6065359729eef88e0f76e1ba2738f96ce 20fc9019b8db82969530a1918dbc2975b7d7a416 6b1780c568c0c107fb095187005cd4e5549476c5 53549c6220b7b5e6cec39fbda75ca03d1a3d9151 1170dfc7d55e9e0e42c047b2af29aee8c946b732 e41440a385455cd690b4b33187b137e24658e27a 6d9687a4c23e5aeef326a0b1cd04938d33fa8c24 287c15704d3035c2cbb4f81905e74ebe7d48f25d 5d9d584cbf46d6d21c5372b9f2f3d3b52530d77e eb28973a3a637331ba33ec77627092a76e3ad447 6c4325ffbcb41ef90d5128d5e33e1c8a83193b72 7fc5a783a76016ef0fe8514e7b8a19d8d21b5e80 e94332cd6b3afd3f46d2e0c7fc17764f4953e3c4 11e79da24f6c1d71bbaed9bdba4eab464a9f8c92 b2a90b833454a4a3d5edece2786e058c2d155c55 a62c5011e22fb0482d21212ca33373caba0eeb5a 8390db23764ae129326130412e292d8e7cd51cb9 c457fad23b01dbf9e8f0a0174875337938242a8a be73e75f99c8c69887c458c8ea46106b36004b08 d62b974db6cd4cea402e8699ecab2906bb537d5a 3206e68dba436d5662e6131e776b636eff3d3f6f 92e5ac31d966c0946943b4d503303b0f258507eb a5db9fa4d0c37e25e73a9b46e18815d2e7e90e26 2bef131bf9f27b4ca2dd0c3b2eb6e65614bca6fc 48a4a44ac288e5dad9df46f800c8ddb16e0744d1 834c8b9666b441bae88f0255450fc2ed8f466fc9 b89b068ef3acc501620652a30a47d11f31168677 7860b548571ffb973697e9363023020f448e9219 2a0410dbf410ab34d72e45630420b26b5d740142 db2f66fd2c6ceb6709c8bba4ca002adb2e59efea 921b581dcd2a40b943d62c28ab48d14cec0566ba 17d4db54ebab40167b3fd2596cc4d8811e70b517 788c21312da838310c44995245788fee79840e33 5b0013bce129d2a1fcc70316680f0fce52d90ec8 c2026706c631c7064620e04d27fd447d0f6523a8 1ed4ff7e8e8758bcee5fdc039b6aa9369681e687 a111c71e73487a9b845040625bfeb0169e5b7157 f54b2fff218ac4ef3e118f440ae2201373049dd5 717f5f2d130f9340e9312976be309b86430c3f16 9417a8e412b000d5834e617d790b34d5d8442f62 484f68577d4819745b3eac753881bcd3232db967 597f00972ab11b111f90b032cb15fbc476cab650 38403ecd2fc0686425b6ba133529bd1c0ef59a68 1dbbff7e1c6974ec124ab01662c324818aa9a815 01a06f328d875f38a4bbb3f2e71f08cf24b70aea 8057a09a5d8d97c50bf3ed9c7c40413e2a717fcc 4fb578406de64a8e63ae54ef9912bf25c37fa625 2c3f739767721714cae4d1385adf7a73e24ee96b 55e6ce2525654969e2c9ee3ff313b07382ee7f47 c732a2d34de69d8df156466e3ff5535c452b51a4 924a6a332af5b671ec68f55f1548badd4cb54d24 29c206780cc21f3fde121bc631eeb4657734ea5d 497c1a7eb57192be8b3c38ca26ffe2dcc23ac9a1 7dcf8e5af000986a1054171600e0f07c3601c917 97166ab0becc9e95580d04e3e17e019c41fcc0bf 2e78407e27bf06627dbce5421b737df34518b99a a737ecfb419e5941039f8b56781e6a804dc7e7f8 2be3b1892450e8c58252ba88d6f231d666b5e9e7 6fc1d580d95ff9a9048fd44606f868972e7eca37 8b49e8194feae4340549bb39d923a453c8b1f532 bbcca9dfb1fd6cb2d585cf841fd3d55f368bca16 a186ea4c34500b41d79f8bcedaec09f8e8d59536 cebf54b83086225d6dbd807e470d7fa116fbfb42 3fc3de1d842e85b746223b48651ea55e11adc086 b61a9e286910d5068cba91c085b749b008fd7c1b 1278bbb8d2b50b9fb8f18939e7bc0580de32ceeb bd48bcee8678476ace755e0d788c5142e3d027bc 4e1ca6cd066126833137c43a6a43aeab42b1b58b fb12cb9999ae9d2152529aa89de37cafb853f8fa e0a17ca533f2a0702113ebe8b86a5c98c2545dc8 d0b98fc00789799d47c8edd4c801a39f73562161 bb766514d1d01fdff70b848cec73a8a51bbc8638 007c59f95f0b333a7153713f25bf34dacc206b9e 01ff1649469369cc8f8fc48b6e3a77d54d2bcd59 6cc871610d036afe310f42b5367a898d131307da 1da3784ea4c65717d9083c1461921c1c59a37a98 5f286973b887a7dc580300e126d51249575f5510 2a9ed1cdc06ad2297f95d23d641219a72dae3d0d a988e64caa895d2600b205207341e6352c9ee7e3 a28d1d814c5872456a25db1405a06d1e4f6e6775 562592c6fc4ea2c7e6a80666bbb13aee1b49fa8e 0b6fb749b26c11dfecc1b954a080e89b52c67d8a,,Release 1 3,This is the code being released as F´ 1.3.
nasa/fprime,94,2019-11-02T00:03:34Z,2019-11-18T23:06:43Z,TRUE,2019-11-18T23:06:43Z,562592c6fc4ea2c7e6a80666bbb13aee1b49fa8e,1,2,497c1a7eb57192be8b3c38ca26ffe2dcc23ac9a1 1278bbb8d2b50b9fb8f18939e7bc0580de32ceeb,,Cheetah compile py3 fix,This allows template code generation to occur using a system installation of `python-cheetah3`.   We check if we are using python 2 or if we not using a system install of python  i.e. if we are using a venv. If that is satisfied then we use `cheetah-compile`. Else if we are using a system install of python3 then we use `cheetah-compile3`. This fixes build issues on Arch and Debian based systems.    One caveat is that if you are building `fprime` with python 3 outside a venv/virtualenv then you cannot use `pip`'s version of `cheetah3`. This is fine though  since using pip at the system wide level is not recommend in the first place. It should only be used in virtualenvs or at the user install level.    Confirmed with both system wide python3 install and virtualenv python3 install. Have not tested with python2  but I am sure it works.    Note: I could not think of a better way to check if the python interpreter was not a system one besides checking if the path starts at `/usr`. There is a CMake variable `Python_FIND_VIRTUALENV`  but that only works if you are already inside a virtualenv  defeating the purpose of the check in our case.    Resolves: #93
nasa/fprime,18,2019-02-09T19:36:18Z,2019-02-09T23:34:28Z,TRUE,2019-02-09T23:34:28Z,888b6d6bf17dd76fdb77d5bea63653b0e07745a8,23,2,65332504a4a994aece5b1f99f520430260457dd4 5f5bb42e5a05305b0cf6ea2f617e5c0eaa770465,,Update better magic plugin,This is a push of an updated MagicDraw plugin for F´.  This is an attempt to help with issue: #17 and issue #14.    This version has been tested on the following MagicDraw versions:    1. MD 18.0 SP 6 for Mac  2. MD 18.5 SP 3 for Mac/Win
nasa/fprime,128,2020-01-15T18:00:12Z,2020-01-22T21:46:04Z,TRUE,2020-01-22T21:46:04Z,9a52bebd5e280d65670770c3f0510bd247d326a9,35,27,2a1efdca7e9afcc910c581633d8895ad894412df fc06ce0f04c5bbf4322bffadaba2b91daf93fb9a 7b85f30fa581a1c34d7ed81a1e45dd850f82d8bb abaf03644ff2518fd629be77b4e9903edfbd427f 4511e53b1ae1199beacb5b10e5cae216c1c6ea09 7f623e0ac84531ea0b39fe85e4a4da2797829f41 d617397ecb5fa92c2671acb06301ac885fe98036 b50ec2e598be4b31f5c3db6204c5c0595e4e332f 3e49b9992e211e2eee8e1a853cd415f88bdbf16c 925fe88d809d1be369edc5b51860c5d426a74cd2 1ea91448b3aabc4aa31ccb468ed64e1a47f9bff3 eef0606c8374b793db0ae226262b5f9c6ed66e33 2398099c8964b79333bd889da5852541667bc058 d5062925b19fc704906b121945fa186f65b6c67a 4a7efbc189f2b26068f15264fc3887a27cb77954 9a96e6b5a323d9552b5fd69d2dd99d91fbfe8cac 37c4dcc86979af602b7493db7f58ffd5e3f18b14 78081fa3c1825dce7adc69c703034a0df99a843a d3f37938483d57dac608a7f61d6a6bd336d287ce d360870df42b07f70075951dfa0ff21464782223 83e810ba6497d613b0afa74d79dce40f0cb74e6a 091f4eb2c51abaad7bf5fa10b9df7510704b1094 5506ffe675ea2cc10a36f0a0f1997efc4c8e8edc 39a520b125f2356665dd6c5244c1a1cc4ddfbed9 fcf889908f61f694b69af773b02009d6f823343c fc342ebe522aa98691e271f16e748defb4855213 67f6157bc270eb8b6d14a3197735a24eb41f47c2,,lestarch rewritten documentation,## F´ Pull Request  |**Field**|**Value**|  |:---|:---|  |**_Submission Date_**| 2020-01-05 |  |**_Submitter_**| @lestarch |  |**_Originating Project/Creator_**| F´ |  |**_Base Branch_**| devel |  |**_Short Description_**| Rewritten documentation for F´ and Tutorials |  |**_Effected Component_**| Documentation  |  |**_Effected Architectures(s)_**|   |  |**_Related Issue(s)_**|  |  |**_Has Unit Tests (y/n)_**| n/a |  |**_Build Checked (y/n)_**| n/a  |  |**_Unit Tests Run (y/n)_**| n/a  |  |**_Documentation Included (y/n)_**| y |    ---  ## Change Description    Updates  F´ documentation.    ## Rationale    `fprime-util` has been added as the recommended path-forward to build and develop with F´. This updates the documentation.     ## Testing Recommendations    None
