Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
UAVCAN/libcanard,1,2015-08-16T14:12:50Z,2015-08-17T08:59:40Z,True,2015-08-17T08:59:40Z,d190ae10887c87a6dab7c49d066939e26a42e554,6,8,cd8abf456488faa12016cc5aaed200b719b721cc c806566f55d0eeb05c9db5b0a4d5c7c02737692d 4666a0b9406e25f722b4be1c46689c2dbac5b186 e76eae6751fbf34a8f1e12c58632a104f10fa514 a0531fef63f6d842cf0d94dddc3638d7c3f6fd4f 94cac71e838018672e8e1931b858fbd1a0af1fbf 11c419b9acba5aec155cf1e639a2d40c27c28975 b1d73df29598cb3df43425377a395c1e4cafc1db,,Implement block memory allocator,First real code for libcanard :)  I implemented the memory block allocator  or at least how I think it should behave. This is my first try at doing that kind of things so let me know if anything is wrong. 
UAVCAN/libcanard,5,2015-12-28T20:03:12Z,2015-12-28T20:10:12Z,True,2015-12-28T20:10:12Z,d55e9d5fe6134b9431bb932e1c1cd9c8dfcd1535,2,2,070e39a7c5c10a1754d59c1b19ce522b76653f94 d47aaddaab0eef1ebab7c558ab507744554ea98b,,Convert design documentation,I converted the design document from Google drive to markdown. I feel it is more appropriate to have it in version control as well. 
UAVCAN/libcanard,10,2016-01-19T16:44:32Z,2016-01-19T17:03:20Z,True,2016-01-19T17:03:20Z,04aa78f0c54e7cf4715bb40097410a9dafe92a0e,1,1,f766217fbd69c8b9566704f8e0fb59c4dde43677,,Fix clang build Switch to container based build infrastructure,This PR is a work in progress. I will merge it myself when the Travis build passes. 
UAVCAN/libcanard,9,2016-01-16T16:59:44Z,2016-01-19T20:51:18Z,True,2016-01-19T20:51:18Z,71f2581e3832b869a6209fbe31957c3b4a56542a,1,1,afa6001c7105845f8a17819b545f74ed78ccbef2,,Corrected mistakes in the design document,
UAVCAN/libcanard,3,2015-12-21T18:08:15Z,2016-02-08T22:18:39Z,True,2016-02-08T22:18:38Z,87a32e5caae239848c98e6c4531ce8feea595b67,6,58,2098c60a7556296976440457b5d6d62e6489d368 90e98c0bcbc5b0ba1f246b1a4cae7d04d9226f03 ed7a1d75902f9f9d06f7d8bd7005261e9d0c8316 0a2c0ac5cd65bb4532825d80e0a5148c12f8d637 6091d174e67e59a39ddd99024f514cf389c6b956 afcd1102265c01a86151ff741f9809ee87d113df e1b5169fc41b21588972d0ae7fe446462bdca360 076e0eaa0339c53566762f2b2f043a930b029645 c6ee1dfb01b83fb64450cbc5f6fc29ea48da1561 8470b143d0effd110df469691c9689ae94066a69 4b9ca64684bf08ce4236ca2a5012fcaca053e0b9 c57df3dc00e63548220833e877976a9047332720 e3452442f31f290ce12b0ea5926162194be3b5ee 0844f5b147bfaf23180b4adad5a099e53e029fde 14898d9d45ab41fd5bb0f8ddef9f82413cc20e49 e288578c4bfd4520008d7f560b9411861afc219c 8951b98b32ed12fb096aadf9d093b897548b6766 eec4efffd2ec3e7321a18b8be48d0b49e979c43d d708b34b7a4f3b864898eddc9d443f1f4d753385 db6a367e101f5222e10810679cc03c42afbf2b01 4ceadfaf949e54afa2b5135d214013869ea6193b 645d5c8348471f8dbe5e24bd7a6bd1968ca58977 6e7012b9979696243d4eca2a397d3addf78cd9fa 4d5aad2c66e35658482210f8236493e9291679f9 7cd5eb092694abc6a0539932770180335d82f205 6265e9b8733914120b830e6d5a5a5c5ffb846163 4dda3d27555d6a14eb7cfb2493d021551847e3de 7dba83fbfc66a0f00f25b9433da003c4ebd49610 08a164a40abe1c5f62bb4774d215f9f8a617d5bb bdc3bc388387a07b0fbae6b7b67a972e0ac4afad a45b7f62dcafe59115f06edc44d27c2951171ce4 ffb77d908ba30c1d81eb93ff100f271a72bcb636 b796124118f7b4fa0e43be995205926ca49c3ad1 a1f84d00e959d68e337fe452f4c03091d613c82a d5843b1d19d532d33597becbd7e44cc7aa3c165e 48e5398c61ba522394da63f3ec39810067155cca 4deee93a03655d372d74486d737adf6a7d1e1724 f53b2d26540160046cd2d2877653df79a5af8d01 b1e55e6e883c5481938a7f6fbf2aaba2cd78d78d 056e9a5176ed8eb5f1c1b06673dfe5f831fbd821 87fe8ea7509ba19e11614dd5d88d531407ac6cc2 cf324b97b1fd3bbc8e8bf639896f959d5428be91 211e8148394662dc3e7eada71c3021f5b11523de 7a4f3205b45e7856f674511e2d436554c76b6a8d a4b7172bd67a9c85b15d488f0a95407a8f18fb0f aef7d51aec4dbf781bea2d32484b1d9c1e40172c 605960c0e4d9272a5be6b89081892900324f5386 5e0fa6fe80d757a5eae377ac1232ee7ca9d1e86f 6aab3b66fc8780c4fbd29727b5e983625553aa80 89514fcd39f1cf344a164e925a2475896f0905a3 167b54a8a588c63eb788fd294671230b0daa137b 9c595b48e8c9ec31cbdef328056edc4686dfd712 fae086eed9e8a6543c0c13f80ee7ecffcd11ce39 aa112be54f834a4cf48097be51a9a76c1aa614f8 bc8c5833b1401a5898e52d31bd91d3e7e43c2866 519a259764751e7810e43dbe21086fba602c5479 28755c2bf71347f9d5f52eef21aabee7d5c65d0a 8a7a6d1cea4adfc5e30a45a2e8e3bfc1d1343b4d,,Implement Libcanard Library,Included is my current working version of libcanard. canardReadRxTransferPayload is the only missing function right now. Recent updates to the design document have also not been implemented (ftp://pkir.net/libcanard.diff). canard_test.c  based on simple_sensor_node is what I've been using to test the library. It sends 3 data types on the can interface. There's also a function  random_drop(x)  called on the bottom of the send thread that will randomly drop a frame. Set that to the probability you want frames dropped  0 if you dont want anything dropped. Right now canard_test just prints out the data received from the library.  To do: implement crc checking ignore incomplete transfers (probably has to do with the above)  ask any questions! 
UAVCAN/libcanard,16,2016-03-15T06:18:08Z,2016-03-15T19:59:59Z,True,2016-03-15T19:59:59Z,4ee53e1881f2381c2a153e36d967528789bfa03c,1,2,b409b0eb4978b8eeddfe6b3f640af0e0a3bc2589 4a440ef01cae4637fc46a012acb713d98a286e57,,Destination node ID checking,
UAVCAN/libcanard,17,2016-05-12T17:57:51Z,2016-05-12T18:58:56Z,True,2016-05-12T18:58:56Z,ba523d0bc4baa0aede6833cbbaa4b61c95cee4ed,4,1,27b3c8788f8b7200eab76a13cac4d0fc46a30d92,,Use fewer headers and change i to uint16_t,
UAVCAN/libcanard,18,2016-05-13T09:17:24Z,2016-05-13T09:17:31Z,True,2016-05-13T09:17:31Z,d9ab40f194f156d4890ba720ac3db6d8f72f8c50,1,1,ed69d59ddf840f68a52f1222b85eca60c05707b8,,Properly releasing the transfer payload,
UAVCAN/libcanard,19,2016-05-16T17:54:09Z,2016-05-16T21:34:39Z,True,2016-05-16T21:34:39Z,5029639e82f444645342841fc6cdc167a95ba8c7,1,2,219d4e3d047a21d02749b48aa90888db24142c1c 5be7c3ca69295ce1e1fc5b5c545b1006b1d72119,,Multi frame CRC should be little endian,
UAVCAN/libcanard,20,2016-05-16T18:38:20Z,2016-05-16T21:34:56Z,True,2016-05-16T21:34:56Z,c35385d4d8cfa937f105446f0ca6da8820319671,1,1,dc0db1474f23246a430a538079d9384f9533715b,,Bytes of signature should be little endian,
