Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
mavlink/mavros,56,2014-07-20T15:09:15Z,2014-07-20T15:09:53Z,True,2014-07-20T15:09:53Z,dd0ff92144561bb2cba0029855fb10339f290247,12,4,d2faf8787bd276ef9fc2498430c5645bbaee5b3e b1e16c347e3ad3ccc0049e729d5ab7400c808335 9bb1bc7fd75f959c2a7cb02ff96f5ef618d899d6 df70043d64d03136538e1735edb005d34b63a564,,Switch to libev,This PR close #54.  Enchantments: 1. Simpler 2. One thread for all IO 3. Less memory copying (one or two in worst case) 
mavlink/mavros,73,2014-08-01T17:40:07Z,2014-08-01T17:40:18Z,True,2014-08-01T17:40:18Z,d2833ccc8c54af555df5535e76c89ec098fd6be4,11,7,cd81244f963fbce71f7e51274a226681a923d756 100bcd9ec64b1cc527d868fea8cdd6b971103fa9 4a9f6a9c85815107fe54d18cd633ccf4f9f51100 31092e7e134d21425c394057bab9023ee9ad1e94 4ab00def7d2e0391d6f9d3c51bbfe8a898d04129 9862962fc0b20e2f4fbcc0b30fe65c9cef56952f 7311b71b370d0f2bf87722baac0fa095583db93a,,mavconn Revert to Boost ASIO,Because i can't find source of issue #72  i decide revert boost asio. 
mavlink/mavros,107,2014-08-14T06:57:24Z,2014-08-14T07:01:11Z,True,2014-08-14T07:01:11Z,0ab4602e5eb6c3888484dd3d63d5265c1c2ffef8,1,1,52a49a7315fa427c691c96cb3499862300866833,,mavros ros message parameter fix,only parameter1 was forwarded into the ros message 
mavlink/mavros,110,2014-08-14T11:59:55Z,2014-08-14T12:05:19Z,True,2014-08-14T12:05:19Z,e099642416a6e02793403e59050950c2e0768c76,22,20,7e85cc903491c3d7d47b1add6bb4abc9055b69d6 652b4e1d593fcca43396c64af86df7f6d158c22e adeacbde34e0d94ec8b99f130da1d34d7dd8e2ed 309f0596efc1f14c93315939fad3e63f03acaea0 d677ea42ef5458c79656da8b4d10d1c7391a1dfc 73d97ee947093ba5225e09c8c3bd0ced0dab1d36 73c088d2d30315759d8a1d068bc9aa2a4118f4ea d8bc401aef418b6ca6d9570eafee33528721eb6e b46d1d517dc2b42e76c2e1a1f6250d91272ce04b afba9b1a5ec06b160efc99609b794de551160b6c b177da8b04aee6bfffef34b3664986c4e5e08e4e 307a9dd466e637f44e3ae6c856fa12b2fe4f0979 51301877b0a4e7afc3912aab89b98d83589bf3b3 aefa42946a1680be6f5d076b926b2e7c752725e5 ee9ef6afe34fb384957c7c453168554aed4da293 08394464f12f276977d1725ec531a3da9d1630cc 9929a39990d9d32c34dc72a9ac66018ecfa45c58 c14056383a9528dac529694ff9676fc5ea7fc47a 901dae0a98e5da20fba6ff1ca1767e7ec98fd641 1bfeb13715aaa4cabe16409555f666f7f98a1935,,Plugin API update 109,This PR fix #109. 
mavlink/mavros,111,2014-08-14T13:16:39Z,2014-08-14T13:42:07Z,False,none,d481c9b4f067e2525ce4ec5fad83d6dc40f0168f,5,5,6ac4841a57f723559cdf95089f99528c3594edcd de881e29d016eb951bf47df10b819838c0281b10 6b1b322f6bd582595fbf038017c8000adcab8481 2d856fc06594a4a4b6e5f6b3d1ec8bb9805b4d7e 4abb681ddd94bc82d27d8e3bd8d5a49045109bb1,,Some changes in setpoint_attitude plugin,Namely: - changed `Twist` to `TwistStamped` - added `reverse_throttle` option for throttle control - use `cmd_vel` as the same topic to control linear a angular velocities (it's commonly used by controllers) - added normalization filter to thrust 
mavlink/mavros,113,2014-08-14T15:16:52Z,2014-08-14T16:54:01Z,False,none,6efa34bed903d744e10897264d2bda742c33fc12,5,10,6ac4841a57f723559cdf95089f99528c3594edcd de881e29d016eb951bf47df10b819838c0281b10 6b1b322f6bd582595fbf038017c8000adcab8481 2d856fc06594a4a4b6e5f6b3d1ec8bb9805b4d7e 4abb681ddd94bc82d27d8e3bd8d5a49045109bb1 7273721e51c2eb65dd16c84b8be994ca10e2f63a 35ae2c01c2456a35e93f94b640c1c0a71b4aa3d4 8efb68e8cf29b6839dcd83035e3e1ec436015142 9731f75e44418fc8cfb5a8ed944359fb7874de60 511f411aeef50130d6d3aab4e75863e662ccae34,,Update sp plugin,Well it's done now I think! 
mavlink/mavros,114,2014-08-14T17:21:02Z,2014-08-14T17:27:57Z,True,2014-08-14T17:27:57Z,930b779bd65e4582cf12c2fafafc08742ec0bbc9,1,1,21bf284bd22c228a50d9da88028a7952e1cfc47e,,setpoint attitude change warning message,Here are the mods finally!  Give it a try! 
mavlink/mavros,115,2014-08-14T17:37:18Z,2014-08-14T17:40:06Z,True,2014-08-14T17:40:06Z,a5458a8506d2155641b6b7de025d24c9b45d4d62,1,1,4de72e55572c601899cf77285e6bf0f15cc63f42,,Code style update,
mavlink/mavros,112,2014-08-14T14:10:55Z,2014-08-14T15:51:14Z,False,none,ef1f2e8e16b112dd3869fc1f91fafb4191dbf8b8,5,10,6ac4841a57f723559cdf95089f99528c3594edcd de881e29d016eb951bf47df10b819838c0281b10 6b1b322f6bd582595fbf038017c8000adcab8481 2d856fc06594a4a4b6e5f6b3d1ec8bb9805b4d7e 4abb681ddd94bc82d27d8e3bd8d5a49045109bb1 7273721e51c2eb65dd16c84b8be994ca10e2f63a 35ae2c01c2456a35e93f94b640c1c0a71b4aa3d4 8efb68e8cf29b6839dcd83035e3e1ec436015142 9731f75e44418fc8cfb5a8ed944359fb7874de60 511f411aeef50130d6d3aab4e75863e662ccae34,,Some changes in setpoint plugins,Well I'm going to try this again!  This time seems to have my name right :)  Added stamp to be sent in setpoint plugins. (this one is still marked with the other name tag because I did the push before configuring it) 
mavlink/mavros,117,2014-08-14T18:33:08Z,2014-08-14T18:44:53Z,True,2014-08-14T18:44:53Z,6f66b93023cb7332210d5360cacab53e8eb874f0,4,1,61b397a8e936698f31859b96881e8dc7f675273c,,added time stamp to received msgs,
