Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
mavlink/mavros,56,2014-07-20T15:09:15Z,2014-07-20T15:09:53Z,TRUE,2014-07-20T15:09:53Z,dd0ff92144561bb2cba0029855fb10339f290247,12,4,d2faf8787bd276ef9fc2498430c5645bbaee5b3e b1e16c347e3ad3ccc0049e729d5ab7400c808335 9bb1bc7fd75f959c2a7cb02ff96f5ef618d899d6 df70043d64d03136538e1735edb005d34b63a564,,Switch to libev,This PR close #54.  Enchantments: 1. Simpler 2. One thread for all IO 3. Less memory copying (one or two in worst case)
mavlink/mavros,214,2015-02-07T21:12:01Z,2015-02-07T21:26:36Z,FALSE,none,none,32,2,b3328d06aaf887da7f8fed3a5506d47075b94c5f 041b813a921b86ace4cecf2c84c91d56f58a95a3,,Vim modeline fix,This makes the change that you requested. I think for mode et  it should still be there as you have in most of the python scripts.
mavlink/mavros,224,2015-02-26T03:56:55Z,2015-03-10T08:51:00Z,TRUE,2015-03-10T08:51:00Z,501856138e9884e555f3d386b4f0d5e440b6f400,1,1,b37d6033eeee6da128096a1930e63bfc27bd5525,,launch enable setpoint plugins for APM,As of ArduCopter 3.2  APM supports position and velocity setpoints via SET_POSITION_TARGET_LOCAL_NED.
mavlink/mavros,296,2015-05-15T12:57:30Z,2015-05-21T17:06:10Z,TRUE,2015-05-21T17:06:10Z,3b5e6dff204effb54ab7e7bfbaf309df7f4a49da,5,38,f5c411340abefcc414e662b6ff10e6a64589a68a e8f37b824c48c72cf5393fbd912a8d3387a1eb13 3626687c003d96bc0119202eea624162dada5f6a 47c8d5822a749f36b5ca3b91f9af7e1a54e39f99 3d9af7b495dd7bbf2b1f2ffdd03e088ce3ca5d4f 40730b667f2c5c9453f7caa5bdce7caa956e7475 0a14b0f123b6535b7258affbc6e74a4a374bd097 e6677ecce9557a157be6b21b1156b16945bacc5c 36441a07236d96b20a71e180bf3e67d4cd1dab55 6f3c118c79914f0b51da46ae6eb92b6736a88b96 4107b33ce169052368511f9346a4720bfc216b11 e3e14c9881212dfe8757ac251128f177b9144b4e 925d859b42ec6e8f1ea426d1ee7c4eba17d16693 7fcecf7ef2fddab88f8eab38684b1e7b208da7c8 0c82b24bf7bdd98dd5f1510cdadea9669c0c4178 ebf0121f913198877e89888390d32c885660d646 3597b84ea166feed8f62daf6f8f795568c775c6b bf673483d6735f6586812efaacaf4bad1bb40d6a ebc523f517486c57d2e3f643912ef2171bc38b0b 5f32d73e5a6b1009e931e5458189c8d83187f0d0 a3b593479c7909cce66cc10b0e02e7608101df0a 7d6af497e2b97fbe48753af2998a19449c422972 c08ef7e8ecabef57dac68099316cb73f9459b3b4 4ec5cb71bc3cba8d4b2250df51901eb00a807adb 42bf15a847e4e84928598a0237b562372fe2b83e 5dd2e1e5742cea77e6b133bca753b4d8f3e404c6 ff581a0752107f7ad875c16f83f7b75ccd92f847 96b5703b18611a5a0baa56ed176ea1e7b2169f81 d62e35b119612ab08dbf02e01d3b832890eb0114 28b9d6da4e640dc2cbc7068b8962c812f91e5b02 bd65571fb6bfc4935e19f068b333599212d814ab cbeef23bd4e853d38c7a2dcb6ea1513204f77c05 881225a9ecb38847884b4b78a6626fb927c72d05 34f92ff9cd4d0aa9223ec2a1d67630a6aba3c851 7c6514d3d5ec3c9f75b32db9054d468c49dbdfe8 d8706b988d12509c3f04e65f96e6547d37669112 27ef8ddaac02e18b655fed243e4248e3315c3b51 1336502e47afd3e671c8f4ced7aad24c2269f924,enhancement@testing required,distance_sensor small enhancements,@vooon new PR. The static stuff was added cause it was giving me a non-static related error. But then I realized I was defining the variables in the wrong place. This PR adds what you recommended+error correction.
mavlink/mavros,309,2015-06-12T18:45:09Z,2015-06-15T16:45:02Z,TRUE,2015-06-15T16:45:02Z,193856496c8db2f9f532018dfb1547dd3218a299,7,3,25e265ff3e018ade546020be268fa91d7417ed6f 6d378941c05198563fe8b0c6e6b23b86e7292817 05a49228d3a2a97cf2517a2d5296ed40b9e30a4c,extras,VIBRATION msg support,WIP: This will fail cause it requires mavlink release update on ROS.  **Update:** mavlink version on release: https://github.com/mavlink/mavros/issues/308#issuecomment-111607740
mavlink/mavros,342,2015-07-16T21:05:38Z,2015-07-18T02:06:42Z,FALSE,none,35c58fd45524e1cbbc802c7177a746034e9b7953,4,18,d5f736a1ea5b10b609a30f0f21c5e8c9704e311c 5f06c83c84ac9f83ccc0b0dff2abe0037178e298 3e7f7868d72333b504964c653942d9b014149a99 9b8ece41616928d1efb149e5f3024aac29b3da4e 9162a50583688f36667e8525a8d4e67e466dda76 0462cd927cbd9fc1ad92cf369eac6ef1abb66ab5 08f4e8fa167aab81b5463b9863f070a158ce3fe9 b44a461281f20bb867b2f23d3877c2e72f2259d0 8fedc4e696cc06af2dddf98e86b3f6bc4b28f792 73cea4988566ff40f0897be521311accc06dc30d 1dbaf73154ad83a8051971c5cea631a9871d20ae 3779217f5b0885148c51eb7f0f13943a5b6d6ce7 ad1068965b1552b390ebf8215475abcece48478e ad7a7b45f1b176027a57addb79af7c3a8e1a699e 5a7478d66ba84474a0b94486dda04736dbe9b614 872fdce926b87aa1f581f1630db97bfe27c4f933 b9275aae330728bf1cc081d52970bbd01705a47f 9f92221139f5aedfb01353765bb5c789ff4739a4,,Orientation enum name,- Added names to orientation list; - Added functions: one to retrieve the name when having the enum  other to retrieve the number when having the name.
mavlink/mavros,369,2015-08-09T21:18:21Z,2015-08-10T20:45:35Z,TRUE,2015-08-10T20:45:35Z,3d1d59f8a3dc4ddb546aa29b781b80707ffcf3d7,87,34,3e198127d500d2b7e39ae93d76df88fc50968607 e05c71a824cc1525d7cecb9a5ed021346cea7c8f 5dadff847366e6fcfb41d8c3fd5341da94853054 d45189f23e10f4ffa7752fa7fe54c1400cc0d735 059b715a5ef363be9c70fe27f11877e165e3978d 58772adac34376aed9be869be32a7f627e5853c0 41ec3abc6d290bbe8f659fcc96262cf4fe3125ab 0d021324c82472ed10860c67447742e0ff4dc8eb 281fb361d563197d2a45a1d38434c8501c8d6b15 3ec3d2954418b97d737c2340d9af3f46fbbc71d5 f73b457756c3260412596b4eb59bf553fbcbd9af 4ff3e0900c3bb5187729c9178ff9fc1756449059 690b594c81bf80f9e2c2d881bf19c7415a672a71 d6718a10e13d275cc8bb76a7e413c508d2b56a9a 258e2996e5daec2900f348f1ec8b9c2dd7047433 fe2f968773849fe98f50490702c1741dd614363b 5ddb79a06f3a2c73fe70649cb3e136a44b6eaea9 9c2ae53537e00b02cd339136c04e61b408170368 c131af2f50662db7fed5ea1c21fc4e30d2fdf8c8 c7ddaa23e9219e64e3a43d0143c92c3103861ddf 24a5d4a6502a0a07f7bebc6544a1204052f07c31 a0ec2c5be5fc5f46e6a7db7b260d47d715eef44a 1523be12b1c8391249ee7d258b7943ea0d9c59b8 ed84e931668020bbee67298d19fa5f2cf4aa0811 80230388bdbbbf6a3ab8078b9ac9c843f604ad30 544bd22d6270b158fe7e2b5d5d518550693c2bac 172a8eaa33eeb7fd392f6b0538e1f0ceec34ff3f 315ffadbdeae5b991f6830f5b9d761c751117a5b 05f62d510f5addf221a9e8032a40327634e0628c c332638e03ef50a39c19a986361aa0e042fe9dbc abbbc8619c39762f45935381cb1858e37fa6af91 431b62a33615b6b6ba89b4d302f8e85443868907 0d73f84801e20b56d51b6280ed518e60acca94cb be68d02d6a6d848f7f1d6115d522e6a44c75b7d6,documentation@API change,mavros_msgs package,This PR fix #354.  Stages: - [x] Create msgs package and move IDL files - [x] Fix mavros package build - [x] Fix extras package build - [x] Fix mavros python lib - [x] Fix mavros python scripts - [x] Fix extras python scripts
mavlink/mavros,377,2015-08-28T19:05:27Z,2015-08-28T20:41:46Z,FALSE,none,1ab41bfef43fd26d047cdc7a7fcf872bf3638402,10,1,bfb8160ecef6ec547d4a87a2f6c264d279973f61,enhancement@PX4@plugin@feature request,add MANUAL_CONTROL mavlink message publisher as a new plugin,I've created a new plugin which simply publishes the MANUAL_CONTROL mavlink as a ROS message. This is a little easier to use than the raw RC input.  I would like to also receive switches states (such as AUX1  ...) but it appears the pixhawk does not publish these  AFAIK.
mavlink/mavros,386,2015-09-09T20:44:47Z,2015-09-10T15:08:33Z,TRUE,2015-09-10T15:08:33Z,cbf8dec7db546164235a55e100e99acc08e27ed6,3,9,a29367e636b28466d64370c3c22c49f5d1081197 4da392a9386d20cc0c3c5860d42b00524fa2e8f9 07b9f79d1f2cb48e641ee6258a0f626f2a51c497 bad63e014aa216b2b401bf33866c6039c3689cbf fef5089936bfe6ac1c1c64a7ad305479e0fa8a44 c368f38417c9b9156cb457a2124a4f2a21eb8555 df166a5b20d90f4a12762d00dc559e488b0d309f 34a3165620fd166008cd09bcf38804a98cf64bc2 7d486428c5ad19799f72fffa987877340458205f,enhancement,Event launcher 385,WIP thread for #385.
mavlink/mavros,435,2015-11-20T19:29:10Z,2015-11-25T14:11:27Z,TRUE,2015-11-25T14:11:27Z,51d90d72d16bf2874d79285f712f62514173323b,6,4,87cd657347a8b27e86171c6a9fe7e25d26cd8f4a d061554cb48444a86f461e9cd9ebcd5505ce644e 017f87fab932fabdafb413c38b0b582480663d4b 992c40cf607e284d9b13b7202e8d3859acab8aff,PX4@plugin@testing required,Altitude plugin,@vooon Added a new plugin for the altitude message. PX4 implementation is in the queue. https://github.com/PX4/Firmware/pull/3234
