Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
ros-planning/navigation2,4,2018-06-11T16:48:35Z,2018-06-13T22:42:29Z,True,2018-06-13T22:42:29Z,fa9adfaf9e785242e126705ab2d5df07c1eb83a4,1,2,be7f39f1034964ab76553450096b154110c87b85 110c0835d42c5bdfabe6946fe4ae1c20bacc5fd3,,Added Overview section to README,This overview is based on the current understanding of the existing ROS navigation system and the expected behavior of the new system to be the same. Feedback welcome.
ros-planning/navigation2,5,2018-07-03T16:05:06Z,2018-07-12T22:09:10Z,True,2018-07-12T22:09:10Z,e61be13ea5dde1bb162b435fcd63935af9e374e3,26,11,1654264ebfb077fb89085712b69490c7742f3f31 29207aaba873a2147ec4e6405108e85d6f80384b d0e5ec08a78aea0b1ab850bbef02013102fb0651 3697967600c2b1c5a9175548dbf67d13add39ca7 5854b00f410d0fcbd3fb6fe7ae114bf5e5943548 0e2babfbf2172eb0c3ede3cd810ee55f1f4acf2b 62cec95168478f7e081e0751cb5ba590648db1e6 645f9f4b24f6e3ab35cca7e82b3550bff9a97a0a 75048293660ebec1c25c5b3ec52404a9c77bf002 a603201a0a81f3aadb52ebab19fd794457b37733 e0d28db017151fcc353d934771d07f9bcb04ad9b,,Add the requirements document,Adding a requirements document and starting to add some directory structure (placeholders). 
ros-planning/navigation2,7,2018-07-24T16:15:25Z,2018-07-24T16:16:04Z,True,2018-07-24T16:16:04Z,699debfcba55d0c3cb76f3e6a6bec08327f9915f,27,27,1654264ebfb077fb89085712b69490c7742f3f31 29207aaba873a2147ec4e6405108e85d6f80384b d0e5ec08a78aea0b1ab850bbef02013102fb0651 3697967600c2b1c5a9175548dbf67d13add39ca7 5854b00f410d0fcbd3fb6fe7ae114bf5e5943548 0e2babfbf2172eb0c3ede3cd810ee55f1f4acf2b 62cec95168478f7e081e0751cb5ba590648db1e6 645f9f4b24f6e3ab35cca7e82b3550bff9a97a0a 75048293660ebec1c25c5b3ec52404a9c77bf002 a603201a0a81f3aadb52ebab19fd794457b37733 e0d28db017151fcc353d934771d07f9bcb04ad9b a739b95cd80e9d4b23ec33f12727ab53b613df7b 9f54af09f28f9a3475eb6f32a8467168684bdd42 80c6b077eeee3dd6728b80f3ef4a8af4a0d9851c 3cff85adda0a1ff1ef47ff115adc7d5a022d015f 602138e771073947b131ad6ea17c939803a63472 ba6c8644eee74439a5745984a609a49fa3748b25 e1eace5a15c2d7d1d4c905706721f8de6fb524a3 6a0c774771b30478b49dc1a6a5396e91122241ec f037cfea76b3cb02b1e3704f83f665203694287d 24807de4395fdecebb2d4603d6d14f9bc0154509 98a8e87eaecebb671af3d33f1c9857892857c123 d8cd77ceb48f876a9e3b65648637f97befc2909b 6918bce3ebebde47671d677e43fdbea21c6526bb b2a987c8c48c32fd1c9211cd03366954fbc92d19 b1c01a11f03697ae77c927369c0289ecedebf115 4e3bf04ef18893c431c40d2851c02ba7e1dbc5f5,,Integrate shell code for control path ,Start putting classes in place for the control path. 
ros-planning/navigation2,8,2018-07-25T20:37:12Z,2018-07-25T20:42:04Z,True,2018-07-25T20:42:04Z,69a647ce8fbd218266446393e6af3471539ab895,15,30,1654264ebfb077fb89085712b69490c7742f3f31 29207aaba873a2147ec4e6405108e85d6f80384b d0e5ec08a78aea0b1ab850bbef02013102fb0651 3697967600c2b1c5a9175548dbf67d13add39ca7 5854b00f410d0fcbd3fb6fe7ae114bf5e5943548 0e2babfbf2172eb0c3ede3cd810ee55f1f4acf2b 62cec95168478f7e081e0751cb5ba590648db1e6 645f9f4b24f6e3ab35cca7e82b3550bff9a97a0a 75048293660ebec1c25c5b3ec52404a9c77bf002 a603201a0a81f3aadb52ebab19fd794457b37733 e0d28db017151fcc353d934771d07f9bcb04ad9b a739b95cd80e9d4b23ec33f12727ab53b613df7b 9f54af09f28f9a3475eb6f32a8467168684bdd42 80c6b077eeee3dd6728b80f3ef4a8af4a0d9851c 3cff85adda0a1ff1ef47ff115adc7d5a022d015f 602138e771073947b131ad6ea17c939803a63472 ba6c8644eee74439a5745984a609a49fa3748b25 e1eace5a15c2d7d1d4c905706721f8de6fb524a3 6a0c774771b30478b49dc1a6a5396e91122241ec f037cfea76b3cb02b1e3704f83f665203694287d 24807de4395fdecebb2d4603d6d14f9bc0154509 98a8e87eaecebb671af3d33f1c9857892857c123 d8cd77ceb48f876a9e3b65648637f97befc2909b 6918bce3ebebde47671d677e43fdbea21c6526bb b2a987c8c48c32fd1c9211cd03366954fbc92d19 b1c01a11f03697ae77c927369c0289ecedebf115 4e3bf04ef18893c431c40d2851c02ba7e1dbc5f5 4ef3969202041a427e40699384a7976e0581d2b3 b850b570762269de84fbcea82c8974bcd2f0f876 20740e10f908be9b95bddf7107bdf0bfd6b5e0b6,,Ros2 devel,More work on basic command chain class hierarchy. 
ros-planning/navigation2,9,2018-07-26T15:18:33Z,2018-07-26T15:18:59Z,True,2018-07-26T15:18:59Z,b7c30bb24a6f86d5151334c76290881755a78ddc,28,1,0b7f85acbcf5ded63f0e910d278d3719ad265c01,,Move some of the task base classes out to separate directories ,Integrating some base class changes into the upstream repo. 
ros-planning/navigation2,10,2018-07-26T20:37:45Z,2018-07-26T20:38:20Z,True,2018-07-26T20:38:20Z,435db944813407f7bf46ed030cace281ec1e8a4b,20,3,0b7f85acbcf5ded63f0e910d278d3719ad265c01 c6e598387c6e2dd60d3c5418474b700d5157286e 256174c81a3db69046b57e7805fa9e35e2228111,,Start implementation of TaskClient and TaskServer,Move some of the task base classes out to separate directories and create TaskClient and TaskServer classes that have start/stop functionality. 
ros-planning/navigation2,12,2018-08-02T23:40:12Z,2018-08-02T23:41:49Z,True,2018-08-02T23:41:49Z,f05decc6dc09e325ac5eef23cbc313aa7656c41c,75,24,0b7f85acbcf5ded63f0e910d278d3719ad265c01 c6e598387c6e2dd60d3c5418474b700d5157286e 256174c81a3db69046b57e7805fa9e35e2228111 b748fdf5c0f16460b42de3a6ffd89a8d823a9451 c908bb3c9ce6fced1e9358b15f583842f6ac18aa 73f7f1754111e9902b3c608a9e247b520e12fc31 613646b5bf3835ad7d5698095f3b8de810886e2b 62ef400a4eb5a987673b4a79d7ae5cd0e937e699 c47f1e973270dbb6a3c29fe5d183cacca0b09351 ebbcd8643f68ae1eedf10791f4a016809d6b263d f5ffbaa495ac3988a3e636285acf625dbd5a5a8f ef11585dd340cee6923b116602527704f9c3e175 39e29d5d86623f958c67db401698c26377e35735 55d00c493a21f12819a74f713d6747cbbe6b9f20 083adaf22f45483734a7c80cc6130013fb9e0cd3 96527cb107d1014b4473ece5e423a5a990712d8c c12ffb378bc7d375913f040d575f16d57bbe07d6 7c28c579aa7967f2fe2b74eb543b3ec6132684f7 c61369a746d23c0a971b8db4091a1e0a2a9ce7a0 29d7376459d4f9fe7dbc4d7d505796e525c52d6a 0d73e1044e027e4a071ad90c439efa02aed8911d 86fd51d4ed3ff650aa620d03fa66863236cdcae6 68a8a94cf3b08a331a51ea830c4c72fb6d7873e4 8a3780760291d8becf3a23bd5a26a2e18bfd224a,,Continue implementation of the architectural shell for the command task hierarchy,
ros-planning/navigation2,30,2018-08-24T20:26:08Z,2018-08-28T22:12:38Z,False,none,53087594891076e14c73fca6d5e5aacdd13d3c4e,11,4,27aac66ba02b970677b656ce45225f3462d0c6b3 a8bc4b39771bce74ad49795552dd940055cad577 1d099d142838d3960b10755d1d4c025d79996efb afb17ef45a8988ee236913c112c56c4dd8a4924b,,Basic integration test,This is my idea of what an integration/system test written in pytest could look like.     - The call to ros2 run would be replaced by a ros2 launch in more complicated configurations.   - Partitioning functionality between the Node and the test will probably vary and depend on the complexity of the tests.  - The scope of the test fixtures will probably need to vary depending on the test as well.
ros-planning/navigation2,28,2018-08-21T21:22:18Z,2018-08-28T22:41:19Z,True,2018-08-28T22:41:19Z,67c1e66a11bc71b1e259429fb37f17dd79df8fd8,113,8,71be278be9dcddc3da6debb714d9ae1c6e4094ca bb02297b2a9404892b27db87721b8bb7760f7d19 3c2e3e6b3280a725a1e6b074fbed8c9f1b6120ce eb656f211c151affac32063bcc795c0eb60184e3 9b82ba45b60b6884a76e9f9d50f21e57da8d25ea f714644c6b14a28cdec5891e6b6838a89e11397a 391e8ae366df9436f897f83369160cbb22fe82c4 a7971e930b4ae40c0a3fbdc11f284111ea11cfcf,,Modify the directory structure to allow for multiple implementations ,…of a given task type.    Also create a shell BTNavigator class and introduce namespaces.
ros-planning/navigation2,26,2018-08-17T17:54:45Z,2018-08-30T19:21:57Z,True,2018-08-30T19:21:57Z,d6601c8c6ed76c7e818806639f176b295dacc6cf,28,10,5339e5a2d727f8eb1af1bd7e68b9020bc2773b97 1732f5f28f1221df373da90eb6e8a9bae0493501 9dc81b4a01951601965b261af4e4f62adf4f5385 3c392b4d7a89dbebdad78d82b1f0751990f7e55e 8cea606dac5edc5332d04b0c8c2d1df090157fc3 7f0893c723e3fd417a47a0e0f35fc893f14e7271 160b5a81e8c85edc7ed2c4468972c81a3f2a92c6 d4425cc6a4c3a1099f772922771dc0151ee6d6cc 7bb28c6228becee941e99ba5a0311d39cca3dfd2 08b19fa1e0a0a04085b136801790db6dbcfcee45,,AMCL Port,Completed phase 1 of porting AMCL ROS1 package to ROS2. This phase has all the functionalities except dynamic reconfigure  rosbag  and laser scan subscriber which is equivalent to https://github.com/ros2/navigation/pull/9/files.  
