Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
ros-planning/navigation2,86,2018-09-14T23:30:55Z,2018-09-17T20:01:30Z,True,2018-09-17T20:01:30Z,964456f95a8852a4c705144e35067c5311127ea3,62,2,49b21679835d2b50707fa9f5d13c248f596d1881 aeccc47ca3aa6552c9c1bd0e9cee382798010b16,,Add Costmap_2d from ROS1 navstack to port from in smaller PRs,We talked before about a different approach to merging our large code ports (this is already 10k+ lines) into master. This PR would simply merge the orginal (melodic) ros1 navigation stack code of the costmap_2d package into master (with COLCON_IGNORE so it doesn't build). Our goal would be to make smaller PR edits as we port parts of the code. We could make better use of labels to note when it is build-ready.
ros-planning/navigation2,31,2018-08-24T23:12:56Z,2018-09-21T16:24:54Z,True,2018-09-21T16:24:54Z,e57809b3233ec646c457e9764be3d01b4c467335,27,36,f23b0b13924c24c1a1376bf5d0bde302897b2f2b 282a6d59c853f9d789fc998676293bf0532a897c 0efb49bc3067c3ab96f2f6fb4f1883d271ff7335 b9e12e8b8612868e9905eacc028247ac801a2b1d 4a0e97f8838202a1efb6dcbd59333ee0f85c4d88 67763bed865b37f22dc3fa29a56e0c0234221e1f 68084b215a0531ce02d570d8fcaf4c8716b89ff0 917374308f3b48ecab099c29ba284995f96cf16f 1fe730a70a74a6e9af0f40d2e027b70e0707d245 832b1c93a306e267495f9ad95d0a7ba5c3cd3333 32ff9bd74d56f1fe43b2cb93b7be56bd3da50196 33890475661b48a970e7a0ddc6e48cf625c84e60 4394c5dcd3342ca668dc989aac728abce55b7c42 86941a384c26788f7289bda3d9e0c0f0e151da4d f3dda6d5ad05365bce931701798d25d1a7952901 6f5cd791a3228c0b2f476a7c9e1112b764780545 835042b60ddf7c8c2f446d0971986ad9f5296a33 ede47eb81e91366dcd9384f73c041251375cc9b0 b258dd05d07acfa6a4795b74a0298bf201deaf28 c6f970ccdf11e9ed4dd56db61f8ad7871ae54467 7d042e818945729c07bdef8c3fb9f32c816d2880 7ca19e2a6d30375a42deab9506c3232adfafeea9 397380be4bca8d6a6290cb458176f448bbd3c6d0 629904ba85ffc97315ca5e785706b10676c216ae 12a0ee2c221a16986fd30e92d67e13d2c95d72ae c439b6beb6fb974bb08b7349b0f10a64cb19a295 b28ea55a34ca0d17908956d46feaf250fd76da48 cf7d4617fad41bc9a7cfd39ecc968beaa0865829 53fad594bc6fa2b26974930750e0267540db3a5c 3e57e5ee05aae69da7c6ed95701b2269380aef63 6524297b1de3b415997842bff983d783a0f52b2e 5263a9dec8636c3cfd797da3fc5500d39107ee60 81fb42c93d6b8ff8449fced31fd16566a6089bde b836950f0ef452100902a278e20f2481be7ea97d dbdb39d745de03032bcd01e23530ffb61c1cc7b7 2ade04ed31498ca1f2a1b5fab434da23edbc2b67,,Refactored Map Server,This is a refactored map server from ROS Navigation. It provides machinery for an extensible framework for loading map files into available map representations (currently just nav_msgs/msg/OccupancyGrid) and provide as services/topics.
ros-planning/navigation2,95,2018-09-24T16:40:43Z,2018-09-25T23:33:24Z,True,2018-09-25T23:33:24Z,f0357815c30c108e8b39d987714af17a734717c1,1,3,c7806682d871e7dc51866a2557f23528243db47e d4c9aa5dc695ac91fa69c2598e512c15c23e04aa 6af648ce8a628db9a6aba82de7e1e79622515650,enhancement,Add Travis CI ability,Add Travis CI capability by adding a .travis.yml file
ros-planning/navigation2,106,2018-09-27T00:42:17Z,2018-09-27T16:28:43Z,True,2018-09-27T16:28:43Z,24790bd786c0c0f28828bf5a1d88425f6ae25365,62,1,31f17148f918eead8a7512285f04ceb97bce48e1,,Moving costmap_2d package up to libs ,Costmap_2d needs to move up to libs/ directory in order to compile
ros-planning/navigation2,108,2018-09-27T16:30:34Z,2018-09-27T21:03:10Z,True,2018-09-27T21:03:10Z,6271cb8d9b8e983423bc2fb3db57e5a2f9f913d4,26,1,551a1b0001117f85802ff3bfe9e9b5362332a6d7,,Put base costmap_2d on melodic devel branch ,Move the base costmap_2d package in repo onto the melodic-devel branch
ros-planning/navigation2,113,2018-09-27T21:01:53Z,2018-09-29T09:53:07Z,True,2018-09-29T09:53:07Z,0c8a7eb9f4687dab217cde9ddef3912acb4833eb,37,3,e98840c621e44a5bdca6d26cf5efed64a3d01429 5d1b6a08758c1adc8a767f88afba6c6f78dce31a c714cf04ade0719a4e27f091490faa994e72b97e,,Initial Costmap_2d port,This initial port of costmap_2d compiles successfully. There still remain many TODO which are documented throughout the code. I'll file issues for these TODO and remaining work.
ros-planning/navigation2,100,2018-09-26T14:41:07Z,2018-09-27T21:38:52Z,True,2018-09-27T21:38:52Z,a37ace46adb693f4e5a44c808ff2031da88a295a,28,14,b2596b13d11d8386ef81ac605423b966ce2d701f 915efcac976ee9faed007d2e27dac35397ce15e7 121ac8d7e9fe80447683acb8ee7688d01b97ef9a 28f7a51d2ab74dbd098062eb0f7755e7ecf85372 f5ca980fd2c7517fe8bae4161bdf0999d8eb83d3 e811a33b2c0a92c06fd36e5ce82db52258f3bbb4 129255939748d3a001c86b6d4e1a58fc8844456b b83998e90e8110602068d898cc3ce4c47f0b35f2 72336db635ec5bd75925c8a93344d828f41a6464 7ea05ba0ad944cc554162231094ba8fc85975bd1 94353a5f509cac7ce0d356ed78bffe4dda018b4c abced0e81c1213aa1567340913cfda40814d6462 85a7658b8bb33093950b7fba879d4e797950d192 8ca0dd24825772d08c4014f85c2f46e92bcc0eb9,,Integrate planning tests,Integrate Carlos' planner tests.
ros-planning/navigation2,136,2018-10-03T16:25:23Z,2018-10-03T19:57:49Z,True,2018-10-03T19:57:49Z,350533e5696c1250ea4fe63d0ddf78188a8afa7e,31,12,7e9ba73e2838ca31b6f7e5ad50eda97e7d9b3f2d b13167973d6c39dd78732f39cad22a5cc043c0dd 4f63212017e5e9846a594bda04443f76cca508b1 c179d9b97ca5c91722439d943621a8ad9af0ec82 eab272526a2379eb4f8d38f20cc49cae5a0edf2d accfecff7c62c9a55d880ac6e413f2b815a8c052 013067a8936f5dfe68f8799a976939dc09e35086 ebe726edee908ea085de7c3dde9a46c5e76f8427 ddbee57f03259eae609bc61cb1367ea0f442f765 42ec5735e8d8acf4c4a300509ca8a422f00865d1 f683cf17f42aea46c1e8290bd7b24152ed41c019 1a87996eabca5869ac5063574869ce9ea0ee5ade,,Subsystem integration,Some changes as a result of integrating the various modules into a working system. Also added a service client template class to common up some duplicate code. Added some initial launch-related files  but this still needs work.
ros-planning/navigation2,107,2018-09-27T01:43:51Z,2018-10-10T15:57:49Z,True,2018-10-10T15:57:49Z,ac932ea443ad1b3cd5e769aecb3c768baeb49359,387,32,f270f3972fda1f635224c3fa965122184dbf2757 1aa251546ac811707346220f44d89e4bfe6bc2d0 753acc0b8c2ce258fa43f8629c777fbcb2af2d9d dee5d824adff73912fda962160d42ff2f7eb0fc1 f73b0893c611db8d8b93d1b811a14aa06871957e 9e3929006f3f9f36402b210906dd663f639acacd 83b48c10da1cfcfccfa41a96dff6d09e92789bb9 a6ff72a3d975c82db15949b965b7a0e075201502 53e9eeed3f1195b1bb133901f0d061182219659d a9c58cd4922ca5e6e8df935323295df3000fffda 6956dc8a4e1700ca3a53fd1445da7bb5e5253775 e90fdf22a496ab813ee2843b5c2c9192d31dc760 387fe465678b0f3cc3f8dd345d144c02e9fad27b 359641fe2337cc40b495df8185f882b630df7e06 e75658acd7687b3ed9cdd7ee9eb7ed800d028f06 4414050e87b9592e9a4003122345e20a6f38a84e 17746928f50dc9819e15b1594abd4093a28e380f d764d250a83b39b13764c7be5d7e8aeaa42c7ed6 b8a83628ce594d841ad0c28756709725ce4e3a17 653ee5373d5e23edd4d6cb0cd97b1c09730499fe 8f7f3d0036b692632aae07dfc46a67aad2197ed1 5c9bc6bb3c612740e1ed86601e7c383dec2bb2ae 9c0962060c7ac225bc1bc8947e11bc4b3a08f313 c1fa056f25506deae384cd9bf9a244bd10d969ec 719c622297b70be24bb605a89793569a86fc42ce 6ea52aa2f2f53ab357696416f4fb531644c33221 da3cafe123815c92652f942536166becb04d74d3 2d9cbdceef5106d6fd16b64d317c53750c798664 6636b0f4f78d313272e3131d7294fd7043e3ec9a 3f8e650b65dcfcbca899b143d7a7acb1ee5304e2 c76f278dc0f952a1a937a6103bc4ee8528ded9e7 bc168a20ce6341808aebacea9957e5ab7e2e3b82,,Metapackage Reorg build script updates,Addressing #78 and #35 and #135     - Adding a proper metapackage to the repository   - bringup package  - DWB planner is as a placeholder  in a nav2_controller metapackage until I think of a better way to handle this  - Reorganizing packages to exist in the root directory in accordance to ROS conventions  - Changing build scripts and documentation to not build the workspace in the package repository (which would make it impossible to build other things in the same workspace which is a necessity) -- now it builds in a `navigation2_ws` workspace. initial_ros_setup and build_all scripts updated with docs  - Fixing some tab -> space conversion issues  - merging the msgs packages - it is standard for a metapackage to contain 1 package for messages. It made the list of packages too long otherwise and most of those packages were completely empty anyhow. We shouldnt need 7 msgs packages for 5 messages and 1 service (where most of those are repeats from `nav_msgs` anyhow)      Notes for future work based on what I looked into:  - Many of the messages are either near identical or identical to a `nav_msgs` counterpart. Is there a reason for this? The `Path` message is only `geometry_msgs/Pose` and not `geometry_msgs/PoseStamped` like in `nav_msgs`. That Stamp is really important for those of us that create custom planner/controllers.  -   Build script function `download_navstack()` hard-codes the ros-planning repo  in another PR I could change this to be a flag to use a fork instead - which would be useful for those of us without push permissions without having to add a remote.
ros-planning/navigation2,91,2018-09-19T22:09:42Z,2018-10-11T20:53:04Z,False,none,909ad39aa4cc735153716cc6a6930665262ff975,30,16,7e9ccb63e3d6f70ef7def7fa874f732520e71141 c7654b8fdfe108671008a332ec961f770dbd437a 699edec817c05364ee79d0e2e31f13421f3ca7ad 783ea040b04612ae7439cbff8b6da4040dc5c454 31ed77d5f9aed28a3942e3f4c47058fc3706b53b b8eb848a8efd0f3da396feb0550cbf6ab3d423cd 30bee5f999407180119f0539f762485706e94bca 2cb4d86309e73890298f8ae216afbd45f747d3a5 0a765c5341bf4eb579cade0a288441e2354e0a61 a20f1738243ab209903afd54af2e847a831a9dbe 9fd6093bc9c4c6dea726f218aacc1549c6db8be4 efead8f6fc7f6196b1d6e3fb896f73eac7c51697 a4749d3e6144ad68523c480bdaaef8153fa96e86 8a1af4ae001a59652528a024fd6d3dbc25504956 1c7891e90b6c361d963c49320c8ac3854db52231 c82e9e2f9aac71e288e71b78f1be9ef3a7296cc7,enhancement,New behavior tree,**Background info for this change**   The Navigation 2 software stack can be driven by a Mission Executor module that receives a description of the desired behavior tree as an XML document via its input command. The XML is contained in a MissionPlan message as a string. The Mission Executor receives the plan and builds the tree according to this XML description and then dynamically executes the resulting tree. Currently  the nav2 software has one Task that it can perform  NavigateToPose. In the future  other tasks can be implemented and included in the mission plan.      NavigateToPose is implemented by two alternative modules  the SimpleNavigator and the BtNavigator. These implement the NavigateToPose task by invoking sub-tasks  ComputePathToPose and FollowPath. Each of these are themselves separate TaskServers (what will be ROS Actions)  so the Navigators have corresponding TaskClients to communicate with the task servers.     The SimpleNavigator has a hand-coded execute method where it invokes first the ComputePathToPose and then FollowPose.  In contrast  the BtNavigator itself uses a behavior tree to implement similar functionality. However  the behavior tree is more easily extended and can do things  such as run the ComputePathToPose (the global planner) in parallel with the FollowPose (the local planner). That is  the global planner could be run at a desired frequency  sending the updates paths to the local planner. Also  using a behavior tree  there could be recovery actions upon failure. To implement the behavior tree functionality  we're using a new version of the behavior tree library that was previously using in ROS1's ROS-Behavior-Tree. There are several useful additions  including XML parsing & automatic tree building and blackboards.    **Description of the change**  For now  this commit gets basic behavior trees in place for the MissionExecutor and the BtNavigator. These will soon be extended.     Fixes #51. This was an issue about not referring to the library directly in CMakeLists.txt  but using find_package instead.     Other issues  that will be addressed as we develop the mission plan capability  including #58  #41  #43  and #42.
