Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
ompl/ompl,13,2014-06-10T06:26:01Z,2014-06-10T13:58:29Z,True,2014-06-10T13:58:29Z,1657c68478f578321acf99350212cae1e87f4db8,3,2,9000aab6d348a32847886a6e8f4f9a25a0e6bd2b 3b5ce596a9e1e88e952ba8cacb8e3675ec27754b,,add missing construtor for completeness,
ompl/ompl,20,2014-06-19T05:31:50Z,2014-07-22T04:32:28Z,False,none,dc003257817b9f4c8c6776720824eace55418937,70,22,8d71a2a50be46051a080714007fdce48520374df 0fb482641c7f8df62a654300fe833fa287cb2199 76e03a96fdd2d90919eee2ddf119727b96973fd8 e704be50474fcc4a185d36195b9ddffa6a9ff6e2 6ee094180df159f0ccbc5dcc1a74200b0d845dd2 31c751160eae47e6cff448d7edcfd54f6a0013c1 229cb44bd94c0ee000fbe2a87a3fbfcaca16f0fe 0f3838dea796974607511c190c900425288d9b00 f24bf4f80c2b8a340a208f7ae132fa2e9ecf6684 068ef9fd0928fd5b0f0486dafc7cf2a5cd16d0c7 b49ee0e3e91c05d4d54127a83084cba9f0ef165f 2a1062e0802e54ed6fb9b8acae052543b818be30 fff158d7f6b39728b48dc6d785487b377bfad8d7 0bba33288cf6561eb1d3705218e20063a0e9a25b 9e7439b85ee6edcd8935fdf2ba58ffb092d01137 414b30d2630530c10a731eb841644383116d2824 f9d774dbf6d1639e967d4e8d8553922aad581b21 a120c36449617d6eaf796fa79522c5920f7c87d9 edf8f87f0cd207d02141b008cd73379f1dfb5295 3f735565bc172d67537985eac0fcba5baafc3170 a3b05f9588701c57d23e6c9b7449349f0c37e1be 117f3369906e2de8fd0e4835093932a4367ceee9,,Minor changes,- More descriptive comments useful when doing parallel plan - Feature to allow color console output (stolen straight from MoveIt!)
ompl/ompl,60,2015-09-07T11:34:45Z,2015-09-08T15:30:45Z,False,none,0a4dcb92103458b909e97d66535dea508ac2ac25,1,1,cd0a14baffda7c87c3da1439b2ce199d22cb560e,,update homebrew for travis CI,Travis' homebrew uses boost 1.56  though homebrew users will be generally on boost 1.58 By updating brew  this will more accurately reflect the average homebrew install
ompl/ompl,89,2016-09-26T03:15:25Z,2016-09-27T23:01:19Z,True,2016-09-27T23:01:19Z,d07dd9148b00d2f14efc2dc0735e2f02ae240b01,3,1,e26153b10de77c6351be924747d26620e7422c14,,Dockerized Travis build,- Add Dockerfiles for Ubuntu Xenial and Debian Jessie - Test in Docker via Travis - Disable Travis cache of /usr/local under linux due to timeouts
ompl/ompl,90,2016-09-28T21:54:42Z,2016-09-29T02:55:45Z,True,2016-09-29T02:55:45Z,df6167b9058c47bf4f08fd99eacee69a41a43ab2,2,1,8a1c90b3acb5fffe700632b1f987ff39f7903f19,,Retry apt get in docker build,
ompl/ompl,101,2017-05-23T08:22:05Z,2017-05-23T13:28:09Z,True,2017-05-23T13:28:09Z,ac5cbf391dfb09c9c7ef6c0a9d498a7d1904ab0b,2,2,2a9cabe000341e7fcf52a0ae47b7d79656d048d1 5deb2275e13171f8715daa6f84430ec6884597dc,,Fix Yocto builds,These two commits make OMPL buildable with the latest Yocto. Particularly it fixes a compatibility issue with gcc6 and makes setting RPATH optional to conform with Opembedded-Core's QA checks.
ompl/ompl,102,2017-07-18T17:16:36Z,2017-07-18T19:28:32Z,False,none,9d845037523d51bada43739650bcccc7228474b3,1,1,5d89c42faf0f0bb0e57e4cc874103532e3e75c76,,Add option to skip setting RPATH,This is a patch from 1.1.0 and it haven't been applied to the 1.1.1 yet such that now I am having this error:    ````NOTE: Started PRServer with DBfile: /home/yangjiel/morty-test/build/cache/prserv.sqlite3  IP: 127.0.0.1  PORT: 42057  PID: 6694  Loading cache: 100% |#####################################################################################################################################| Time: 0:00:00  Loaded 3637 entries from dependency cache.  Parsing recipes: 100% |###################################################################################################################################| Time: 0:00:00  Parsing of 2877 .bb files complete (2873 cached  4 parsed). 3635 targets  258 skipped  7 masked  0 errors.  NOTE: Resolving any missing task queue dependencies    Build Configuration:  BB_VERSION        = "1.32.0"  BUILD_SYS         = "x86_64-linux"  NATIVELSBSTRING   = "universal"  TARGET_SYS        = "arm-poky-linux-gnueabi"  MACHINE           = "raspberrypi2"  DISTRO            = "poky"  DISTRO_VERSION    = "2.2.2"  TUNE_FEATURES     = "arm armv7ve vfp thumb neon vfpv4 callconvention-hard cortexa7"  TARGET_FPU        = "hard"  meta                meta-poky         = "HEAD:fd7f2d644a94bbb951c0bed11af7deb35f1cfb22"  meta-gnome          meta-oe             meta-xfce           meta-systemd        meta-networking     meta-multimedia     meta-python         meta-webserver    = "HEAD:fe5c83312de11e80b85680ef237f8acb04b4b26e"  meta-gumstix      = "HEAD:b589059797b1e528c296fc29d95cabd36dbfbb1a"  meta-gumstix-extras = "HEAD:88742504115ea2623af84d09ed687ef63098856a"  meta-ros          = "HEAD:2b7704917c0443183ea1299b15543157fa0c4185"  meta-ti           = "HEAD:aecc85c0848a25c8c2abc0bb1e6573ae4504c3f0"  meta-java         = "HEAD:67e48693501bddb80745b9735b7b3d4d28dce9a1"  meta-qt5          = "HEAD:3601fd2c5306ac6d5d0d536e0be8cbb90da9b4c1"  meta-browser      = "HEAD:ee0d264347ca89efe73788a11f31504d1d42b716"  meta-raspberrypi  = "HEAD:380bf2ff445c2049bdea15f3bb36e8cb36540345"    Initialising tasks: 100% |################################################################################################################################| Time: 0:00:00  NOTE: Executing SetScene Tasks  NOTE: Executing RunQueue Tasks  ERROR: ompl-1.1.1-r0 do_package_qa: QA Issue: ompl: /work/cortexa7hf-neon-vfpv4-poky-linux-gnueabi/ompl/1.1.1-r0/packages-split/ompl/usr/lib/libompl.so.1.1.1 contains probably-redundant RPATH /usr/lib [useless-rpaths]  ERROR: ompl-1.1.1-r0 do_package_qa: QA run found fatal errors. Please consider fixing them.  ERROR: ompl-1.1.1-r0 do_package_qa: Function failed: do_package_qa  ERROR: Logfile of failure stored in: /home/yangjiel/morty-test/build/tmp/work/cortexa7hf-neon-vfpv4-poky-linux-gnueabi/ompl/1.1.1-r0/temp/log.do_package_qa.6760  ERROR: Task (/home/yangjiel/morty-test/poky/meta-ros/recipes-extended/ompl/ompl_1.1.1.bb:do_package_qa) failed with exit code '1'  ````    The original commit is: https://github.com/ompl/ompl/commit/5deb2275e13171f8715daa6f84430ec6884597dc
ompl/ompl,96,2016-12-18T16:44:43Z,2019-02-20T14:27:37Z,False,none,c0bde14f851e430703276ab8fb9142ae60b20d44,1,5,51a5d43af6d404b50140e7992271c42d46756305 5ade16dc2e2c83d96ed8f72eae2b8c6fcc5370e7 860f9b2c891db3fde37fffa268746380769ac9c1 bf268f0b7a7f6a49dcf1e9e18f6e53301d2b4dda 83ea6bc21547ce5ffd6cd774e6f508eaeabe4d95,,Flann CMakeModule needs to include libs in 1 1 1 ,The Flann CMakeModule does not include libraries. The ROS indigo version of MoveIt won't compile from source and needs the 1.1 interface.
ompl/ompl,118,2019-07-17T14:11:16Z,2019-07-17T23:22:27Z,True,2019-07-17T23:22:27Z,063baa1cde07da8ee93d03703b61240173cee13e,29,3,b691c1af711969b55f074ecf005e608cd81ca577 2a9bfa5e508dbf80ce6e97ebe3488407aa1a544c d1c6e222dfdf4e3646b1ea5220aff631acc5864d,,Serve video content from HTTPS,Nowadays browsers automatically open HTTPS if available and disallow serving content from non-secure sites if you are browsing with HTTPS. As such  the currently published documentation's gallery page does not show any embedded videos.    This PR updates the YouTube and Vimeo URLs to HTTPS and also updated some others  e.g.  ompl.kavrakilab.org.
ompl/ompl,701,2020-03-10T18:40:45Z,2020-05-14T04:12:58Z,True,2020-05-14T04:12:58Z,5bd2e0c40b15df5b8a971652665a03d4d2aaab92,33,4,92b32eb193c6b11754f442adcafdcb3dc1ac37a1 0ef8d9d6a658b00ec4ee9e360662b6e89510a9f6 28f7a19e5a496f3bd594f889eb1acb695295ca3c 6a3b4536432c95a514dd8bdc30e2daadffb3583f,,Initial implementation of XXL planner,Remaining TODO items:  - [ ] Add citations to paper  - [ ] Test that output of demo programs is consistent with results in paper   - [ ] Code clean-up / modernization
