Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
paparazzi/paparazzi,20,2010-11-24T16:18:50Z,2010-11-27T15:24:28Z,False,none,,1,1,b70fd2cebafa40fa03dd4b0d220267c82861d40d,,Inline,I added some gcc parameters to increase the inline limit  as we were hitting it in the rotorcraft builds for the lpc21: Warning: inlining failed in call to 'main_event': --param max-inline-insns-single limit reached Warning: inlining failed in call to 'foobar': --param inline-unit-growth limit reached  It works here with gcc 3.4.4 from the paparazzi package. What about newer gcc versions?  Do we even want to do that? It increases compile time and code size but - well  it will inline more obviously. 
paparazzi/paparazzi,24,2010-11-27T19:43:02Z,2010-11-27T21:07:30Z,True,2010-11-27T21:07:30Z,,3,2,277256e3d591d45ab1ec204bf7ca9f843e5f04ed 10bab23fd258022e8ea7eddcbbf4a213f937141c,,Updated antenna track code,Updated code from Chris. Works well with the modern Pololu servo controllers.  
paparazzi/paparazzi,27,2010-11-28T09:48:51Z,2010-11-28T11:29:31Z,True,2010-11-28T11:29:31Z,,3,2,0c4ef5af65b97b827c25c2ca91262d9179b69eec 9798e0b6398c0fb686ae63a1ae81935546ac19ca,,Move Pololu antenna tracker from sw in_progress,
paparazzi/paparazzi,28,2010-11-29T18:12:09Z,2010-11-30T09:10:02Z,True,2010-11-30T09:10:02Z,,14,8,8306062e84bd76debacdb4a73d6437355b66ae6d 82da2faf8ee115bcc3267b41ab92c555aa4c40ee 42436213e5f109ce2f887cca1e1544a0a64f8fb9 bf7416882311d88a1b6bc9eae0c2bb07a2085702 a0e5b8bc66668c0fb8d60c63606280c19aa36cbc 9c35d3510f7968023960516870c509b72c811c26 992e60b979538c77234254ee132d4aab301f6729 874506cf7652383865edc9a9d9f05063e4e80a54,,Shared subsystems,improved makefile generator with support of shared subsystems 
paparazzi/paparazzi,32,2010-12-20T11:11:32Z,2010-12-21T18:58:52Z,True,2010-12-21T18:58:52Z,,4,8,f0a02e31ca11d0af34d83d76765cbac0f88fc6e8 97545053ad61f986b43867e82109b68f04e162eb d4cb63f512bf22182407eb3af0ecabcfec14c9e4 4e07ba5fcbd6f3c6167e720438618cd14307ee02 9dd5695387df95d1da1c23b6811ccc2aa07cca62 cceb5066976aa3600a9b94b937382d96348887d8 90e244facacd858f10336b229c1413a18612851e bfe4ae0fc5b859bb37ea960b25f0aa64fb9a60a2,,Multi select,GtkTree widget to add/remove/edit settings file with the paparazzi center 
paparazzi/paparazzi,36,2011-01-03T10:42:46Z,2011-01-05T10:47:52Z,True,2011-01-05T10:47:52Z,,18,8,c643a3b76b3c3087eb0b878f65242c6a48fa96d5 161c2e7c51fd30d1ac8599cd210ea6eb5779cf4e 267ee33b0e54cf94ca115e0ae9211dc45411e2ec 28e26cb7c596b970d72fc960a53cb1f79a11742a c60d4a759a302b24a3ed61fc5d91f3f68f04ab65 144243a41a27fa7178f1f8962533d275019812ec d48c91900a991a29cd3ce9b24d00800897a81bef c60c844affe9e5bade66310b78422bb8baf845e7,Airborne,Ir,Unified infrared subsystems : ADC and I2C Wrappers to use as modules or subsystems  Can someone test it before adding it ? 
paparazzi/paparazzi,39,2011-01-18T08:13:44Z,2011-01-18T09:44:44Z,True,2011-01-18T09:44:44Z,,1,1,648c82016d38dc5fa0507e397f864f6a34af4f56,,Fixing build issues caused by Makefile stm32,Builds BOOZ2_A7 now on MacOS X and should also work on other platforms just fine. Provided the arm tool chain is in the path. 
paparazzi/paparazzi,40,2011-01-18T23:20:47Z,2011-01-18T23:26:45Z,True,2011-01-18T23:26:45Z,,1,1,c2b5daa2f848208ea5f9827e34bab82779b830b1,,Updated Makefile stm32 to pick up the toolchain if not found,If the tool chain isn't found with the current command it falls back to picking up the tools from the path. It also prints out which commands are being used when building. 
paparazzi/paparazzi,43,2011-01-27T16:13:01Z,2011-01-27T19:33:12Z,True,2011-01-27T19:33:12Z,,10,1,43b661ed174c5946baef91af6565a2f26c2d2884,,Ap mode,display real ap_mode in GCS for FW and Rotorcraft 
paparazzi/paparazzi,45,2011-02-01T00:34:06Z,2011-02-01T22:22:47Z,False,none,b4e44da4cbf4109d0e47cdd7dc27536b6b22a971,4,2,78507bbb3fe1854f443f0338896cc1bcf91bed62 fe06312c41ea1253c32d2070060ff49ba56460ad,,Added some make file and targets to be able to build an SRTM file,WIth these changes  from the command line you can do make <Some srtm file> and it will download the file for you into the data/srtm folder using wget. 
