Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
PX4/PX4-SITL_gazebo,1,2016-01-08T14:25:06Z,2016-01-08T14:26:16Z,True,2016-01-08T14:26:16Z,11e4bdf3e18bb753e01a0ca7645f91e603415a75,2,2,a22a78161cfc86e80b8383430d7247da6d4f6796 ac0175be66cf0a7cf8ce2a60f5e155725aaa1a74,,Tailsitter fix,
PX4/PX4-SITL_gazebo,2,2016-01-08T18:09:27Z,2016-01-08T18:28:44Z,True,2016-01-08T18:28:44Z,f3bc1b6e260526bcd6d52ea608306e7805a9859d,2,2,c58e029f74f54ea7b744f429fabcd267abf1d225 0ffcd013cae0d17bab02325291a8d437f6aceea3,,Tailsitter doing nice transition,
PX4/PX4-SITL_gazebo,4,2016-01-08T20:20:47Z,2016-01-09T17:43:25Z,True,2016-01-09T17:43:25Z,51048d29b318f794fd51a631a25511f72268c7da,1,1,b7e7eaed531c1b62de403073ba29270f4f9e8a61,,mavlink_interface remove fixedwing hack,This hack made Gazebo for MC unusable. I hardcoded fixedwing to false. 
PX4/PX4-SITL_gazebo,5,2016-01-09T22:05:32Z,2016-01-09T22:42:17Z,True,2016-01-09T22:42:17Z,a4f750849a199b1a9b63f1a2688b716046add6e8,1,1,20a8978a66c04094bb438a11ce192647bba14203,,mavlink_interface fix GPS not initializing,If no motor commands were sent  GPS would never initialize. 
PX4/PX4-SITL_gazebo,6,2016-01-10T23:45:48Z,2016-01-16T13:30:52Z,True,2016-01-16T13:30:52Z,0b585e161c33c2c93d168415e7939df7de738bea,1,1,94baa8715cdc1f2ec8aa7d410d40d85063c942a8,,Added dependency for ubuntu,
PX4/PX4-SITL_gazebo,7,2016-01-13T10:00:05Z,2016-02-07T10:46:03Z,True,2016-02-07T10:46:03Z,none,14,11,0bba3ea0fa78f0678f8f31813a8297e01f6bec6f f8d13b75aeb305c02a9741b4e5566cd03f07e1ba d5e14db741e2cf26b406ca12071f8bb91150d536 aff59307687baad2744478d53e0448b8a84836bf 9acd71a3ffced3be36f5ab0140747dc9163f80dd 30da191fb79a8c5bbef32937256af3055e7a49a9 5f4d7e0528f5b7f2c852c632af5df68b9b05cca7 4c1bb22517bfd1ce94381a39d0970f4d232c662f 88a90e2b5a31129d1374ffd31d8d15c3a3fec3bc 57a54ab73740f45f7313cc8179e21cc3b0d53b41 16f7fb37619e4af772a543f7bac62bef5126347b,,Standard vtol,Just for diff - needs validation locally on Mac OS and then if that passes a rebase. 
PX4/PX4-SITL_gazebo,3,2016-01-08T18:44:07Z,2016-01-08T18:44:12Z,True,2016-01-08T18:44:12Z,a87920f39df2fe841b7508a7489f786f47bed9f2,2,2,30da191fb79a8c5bbef32937256af3055e7a49a9 5f4d7e0528f5b7f2c852c632af5df68b9b05cca7,,Tailsitter stable,
PX4/PX4-SITL_gazebo,9,2016-02-07T10:56:40Z,2016-02-07T14:10:34Z,False,none,a2c9fb24b462c62bd830b242b80b7fd502f9b9bc,5,4,4e71b1978b08e53a63f40562c97ce7d5814bd4ea 935a518a7d1187686b608fc9314dc94b7ff4bbac 283aff5c5af84ef2fdccee477bdb79efe7cf5386 b28258f1ac0d66eddb2c8682b8bad3586c6c855e,,Add mag declination to SITL gazebo,This allows to simulate the environment more accurately for magnetometers.  @priseborough FYI 
PX4/PX4-SITL_gazebo,11,2016-02-28T15:22:03Z,2016-02-28T15:25:09Z,True,2016-02-28T15:25:09Z,4a96bf995e910326167cc81b3f0880e4a05a902f,1,1,ac842f8fdff270322fd37e0c24f76b212df60b33,,Build liftdrag on all platforms,Fixes https://github.com/PX4/Firmware/issues/3828 Linux systems also require this plugin 
PX4/PX4-SITL_gazebo,10,2016-02-07T14:38:49Z,2016-02-28T15:25:36Z,True,2016-02-28T15:25:36Z,f7dc2e1ade1fd93f57ddf4f8cfe3a09689a7d36b,1,1,ea8981455686c5a751ffe9f9d1cd2af9c5c171f9,,GPS AMSL altitude,This fixes the simulated altitude to proper real coordinates. 
PX4/PX4-SITL_gazebo,12,2016-03-04T02:41:01Z,2016-03-04T09:12:01Z,True,2016-03-04T09:12:01Z,bd40ab527dd752a628e7841876b8bad12450fbd1,2,1,2ce086fc0512b8a0b82320ccb3cfb7ef35bfadd7,,plugins use std dynamic_pointer_cast rather than boost,prevents compilation failures like:  ``` /Users/liam/code/3dr/px4upstream/Firmware/Tools/sitl_gazebo/src/gazebo_opticalFlow_plugin.cpp:59:5: error: no matching function for call to 'dynamic_pointer_cast'     boost::dynamic_pointer_cast<sensors::CameraSensor>(_sensor);     ^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ /usr/local/include/boost/smart_ptr/shared_ptr.hpp:848:42: note: candidate template ignored: could not match 'boost::shared_ptr' against 'std::__1::shared_ptr' template<class T  class U> shared_ptr<T> dynamic_pointer_cast( shared_ptr<U> const & r ) BOOST_NOEXCEPT                                          ^ ```  which suggests boost::shared_ptr cannot be converted to std::shared_ptr in this case  Compiler is  ``` liam@drungus sitl_gazebo (master *)$ c++ --version Apple LLVM version 7.0.2 (clang-700.1.81) Target: x86_64-apple-darwin15.3.0 Thread model: posix ```  and boost version is 1.59.0 
PX4/PX4-SITL_gazebo,8,2016-02-07T10:55:32Z,2016-03-12T10:36:12Z,False,none,5b3f2c8abcec6927fe0b1d034bf81365fa62b62c,10,1,ffc4885097e71e4b280796b8860ad649239f0b67,,added sun and ground model to repo,@tumbili We should work out how / if we get this in. 
PX4/PX4-SITL_gazebo,17,2016-03-16T22:02:09Z,2016-03-17T09:20:54Z,True,2016-03-17T09:20:54Z,5b43a35b4e915dcdce8e7e1790f329a7c488c633,1,1,4ea8f8daec559d7911c910d94d7812f5feebfe9f,,BugFix GPS update rate ,Old bug("gps_update_interval_" being redeclared caused it to be zero in other functions). Prevents GPS message from being sent every iteration of sim update. Now verified to only send GPS data at 5Hz. 
PX4/PX4-SITL_gazebo,14,2016-03-12T20:23:09Z,2016-04-06T03:23:30Z,False,none,0785ca32ac0fe660a5067fa8fcb5c71ce1f9c3f9,3,3,ba00aeb833f5cda02e45fafe87f621620da1936b d4903a76d428214e965176a6211ac757b64fc100 b046657add0b90f1eea15c001f5d1268ad3ce6b2,,Gazebo 7 build fixes,Hello   I'm using the SITL with Gazebo 7. These commits fix the compilation errors and warnings against Gazebo 7. 
