Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
PX4/PX4-SITL_gazebo,7,2016-01-13T10:00:05Z,2016-02-07T10:46:03Z,True,2016-02-07T10:46:03Z,none,14,11,0bba3ea0fa78f0678f8f31813a8297e01f6bec6f f8d13b75aeb305c02a9741b4e5566cd03f07e1ba d5e14db741e2cf26b406ca12071f8bb91150d536 aff59307687baad2744478d53e0448b8a84836bf 9acd71a3ffced3be36f5ab0140747dc9163f80dd 30da191fb79a8c5bbef32937256af3055e7a49a9 5f4d7e0528f5b7f2c852c632af5df68b9b05cca7 4c1bb22517bfd1ce94381a39d0970f4d232c662f 88a90e2b5a31129d1374ffd31d8d15c3a3fec3bc 57a54ab73740f45f7313cc8179e21cc3b0d53b41 16f7fb37619e4af772a543f7bac62bef5126347b,,Standard vtol,Just for diff - needs validation locally on Mac OS and then if that passes a rebase.
PX4/PX4-SITL_gazebo,8,2016-02-07T10:55:32Z,2016-03-12T10:36:12Z,False,none,5b3f2c8abcec6927fe0b1d034bf81365fa62b62c,10,1,ffc4885097e71e4b280796b8860ad649239f0b67,,added sun and ground model to repo,@tumbili We should work out how / if we get this in.
PX4/PX4-SITL_gazebo,32,2016-07-24T15:17:26Z,2016-07-24T15:42:12Z,True,2016-07-24T15:42:12Z,0e3e246f9e00ab2281721b72b0ab934a066148f3,99,1,14147a7a38630c9ead783efcaa79ca9093e721a7,,Fix optical flow sim and add packaging,Fix optical flow sim and add packaging
PX4/PX4-SITL_gazebo,31,2016-07-16T02:39:43Z,2016-07-24T22:07:30Z,False,none,6c0b2c29aacb81c124f2a00eb9d653f73500379e,98,15,b9b2679eb44b509eb67581470f4118fe50b3548c e6dbf8addd5ecf039099b45e0f13dd7197ff09d0 275dddcaaabcd560d4591b12443637d55dd308b2 60c3caecaef53d4a6d203da6bc2f170b751cad02 aea187dd4392dc70b2339f694eb255b626b3b186 5de302474c6547c99db6c8a34bab8f55c14732f1 b153bbf66d8b779408d9bff7ffd2e8ae690f9485 8547dedfcd910d8ccc42df109961655da0e17bee 05217a0e7a3226efe542684dc3d80a3284d77046 4647c3ba673f92705f3e1435034a71a009fff000 77fab13d8cca5cfde3d26967922fc5626fffb64d bfeed7c48fd20a02af56b3d0f9a986db640cb2fc aeaca4c304d5d56d0cf6b757b41ae85bf258738b 7e835ed4990be45000975092a7fc54847f523173 d196b1cc64dbe78e78733a40ac4d822b42454667,,Package improvements,- adds support for install - adds support for packaging - adds BSD license - adds sdf generation call on build
PX4/PX4-SITL_gazebo,36,2016-08-23T20:21:45Z,2016-09-01T20:07:19Z,True,2016-09-01T20:07:19Z,87e5b5e0739458ef6fc1b0aa4adb1951a07130f9,20,68,a503229423906a75d5724aff1999930b834ec91c ea88b2fc9e3e261d6c65746af5395bd11b2b5806 25688a07a5f0a21cfd40976f2c463fe9592a587e 8d298e67bff7a1398fc2fcf7675036ddda674aea d456a3b50c2090d77b3b91f383efb2f99d3e84e2 4d46b200d9714eea4b5dd281ade9d9403d6ccbce e5dd206c160fa78e9539dec0403e655f982012bd a1c4c6446e2297817a8c44b2b3cdd7aeb6fd4ce1 285d7a23f6b23a9d8cd926f53a3a5964827e4892 1c182680ea730658ab577690d7e9ef0fa6509e0a 0afbc7b0a18707d52488722916206e8376779444 995f5c39d9a5f26979bd05b6a379bcf810b04860 322af814cfc109bd47065d3a03eaa2bac8db5bc7 737122e0349b1c5325a37466625ef514ed8f1fe0 3a4c8c96bf162d84847ec4c70fd9fde2adb2d09e 5183d97fa13a92b7fce45a9fd7fb234dd57dcd6d cfe3f16b60ce29dc8a54086fa0faba9f9d092106 13f5540c800f57c15346bb1d62937b4c9bbc191b 5646e7ded119dc50757778c87e485f6a5f1cb820 aa171a33908d7c88dfdc750cc6ed78d31097e039 d638a5ad808ffb654378d030161ed6ad63d9db35 338286d2ee1f4fd95fac68baaec1d611bfda2639 6a7c3b981cbba16df3eb88c0a30bcdbe68d56d00 e9db7636d32c12c06dd6cfc6527002bc7e081bd5 a04efb54e55961582c5caf2bfe04ccaec1b53576 b3a9d264d74dab6b5b881d4556799f278424ab8f eaa4796203c4c53ef244e818d0459f55f06d3650 4658e205591f02199743940d651ee6d69b019364 33c2baeb93245342f6f0e982d3a387a3150c25ff 3a7183b950237fc71ffbbbf5aab1c2beee228008 c69d60f5c1494c382f2f3d0ac9e6d30be5771bf0 648b18b3bd4ac6e2af38809ef22fa2da74becbb2 c2e2484e694a107341aec9f55c39dd3c585bba2c 6b492e24e03ac96fa6392835f2faaad4d2058934 f571d34b0eca9ebad2667be5864f6e77886463f4 1e56e2fbea87c0c27fdcf11d54db10aaf6ef301d f42dddc5c0b9e6873d7b2ae7be184899dad06a8c 1e0b099f7e9a609742281e59bd90e315eb716691 799a1f76391178847478b1ed2d8178c3ebfc8915 bb0b45f8c8eb853d10c91f7d5fe108444f30c5b8 5a32f2c363e0cc4e87264cf86e92f29a6804848d f2844fd34d72ed834016188a8f3847df79867ed1 90639ed9fbfd322d82a9993e10f272998f87bbe9 cadaf99c0cff7d2b72d899776bb4fdd0a472c969 7262a458610dbe1efe4801f3e6fa37315568a38e 6a41df8281e0b3a7435796aabc1b66b39789be45 5b0941bb8d3fc3981e9d536ca9b719eddcacaf24 af4314a157fb91263c479605679194e3cb3bbc82 c56f56fe8dec7f27a67e40783ff2a724d15fabe3 e9cc782cf46f991ec302b37dd53800c78ff9c0a9 9a0f3d1a5c73dcd254b830ac6ea95337b66249f5 f55713a4f5bdaf66d0fe7f101a2a50fc0bb8a879 44b3f54997e64363e2c48b85552f362cdd74613a 892363962f81882fc86b7bc2c72237da7dadd40b 535cbf9af9bea62b850db78a41c3e31add0ba8ef bf70831f667b5410627eb494f31c935e339298fe 434098b1e41f1849fef976a46eb1d443d8e1966c e2bc620e10031f41656d9a5f1c7f87f5d41a2a24 32f3112aeb4d88598b54e5321c807d5249e3f913 3e27c6efb7767d442b7b322f94b6cfc08281e841 cae926711fae95af0a7c016bff47b8252df6604b 09e7e4f4331c49ee9ecf336bca909e19f7ef4f45 89fe6fef3467e0c224901d895cf0287bbd99e646 08ed26364acbf5694d3e0eb8716f83b4ec2c8c24 f649538793d3ca66b001084bb0d9baecdae8fee4 d7a7fcd01061ca92470b73d8503eb365fd194813 414d2d4967d8caf60c4fd32027b8a5f555e260b3 87e5b5e0739458ef6fc1b0aa4adb1951a07130f9,,General Improvements to Gazebo SITL plugins,- Add Zephyr Delta Wing Model - Add more options for Multirotor models xacros - Gazebo Plugin updates   - implement generic gazebo_mavlink_interface plugin controller channel mapping   - allow pid joint control for gazebo_motor_model plugin   - add gazebo_gimbal_controller_plugin
PX4/PX4-SITL_gazebo,38,2016-09-01T14:51:59Z,2016-09-01T20:07:19Z,True,2016-09-01T20:07:19Z,050ea17aa6168d4caf80ebab2555d92c24445b38,353,73,a503229423906a75d5724aff1999930b834ec91c ea88b2fc9e3e261d6c65746af5395bd11b2b5806 25688a07a5f0a21cfd40976f2c463fe9592a587e 8d298e67bff7a1398fc2fcf7675036ddda674aea d456a3b50c2090d77b3b91f383efb2f99d3e84e2 4d46b200d9714eea4b5dd281ade9d9403d6ccbce e5dd206c160fa78e9539dec0403e655f982012bd a1c4c6446e2297817a8c44b2b3cdd7aeb6fd4ce1 285d7a23f6b23a9d8cd926f53a3a5964827e4892 1c182680ea730658ab577690d7e9ef0fa6509e0a 0afbc7b0a18707d52488722916206e8376779444 995f5c39d9a5f26979bd05b6a379bcf810b04860 322af814cfc109bd47065d3a03eaa2bac8db5bc7 737122e0349b1c5325a37466625ef514ed8f1fe0 3a4c8c96bf162d84847ec4c70fd9fde2adb2d09e 5183d97fa13a92b7fce45a9fd7fb234dd57dcd6d cfe3f16b60ce29dc8a54086fa0faba9f9d092106 13f5540c800f57c15346bb1d62937b4c9bbc191b 5646e7ded119dc50757778c87e485f6a5f1cb820 aa171a33908d7c88dfdc750cc6ed78d31097e039 d638a5ad808ffb654378d030161ed6ad63d9db35 338286d2ee1f4fd95fac68baaec1d611bfda2639 6a7c3b981cbba16df3eb88c0a30bcdbe68d56d00 e9db7636d32c12c06dd6cfc6527002bc7e081bd5 a04efb54e55961582c5caf2bfe04ccaec1b53576 b3a9d264d74dab6b5b881d4556799f278424ab8f eaa4796203c4c53ef244e818d0459f55f06d3650 4658e205591f02199743940d651ee6d69b019364 33c2baeb93245342f6f0e982d3a387a3150c25ff 3a7183b950237fc71ffbbbf5aab1c2beee228008 c69d60f5c1494c382f2f3d0ac9e6d30be5771bf0 648b18b3bd4ac6e2af38809ef22fa2da74becbb2 c2e2484e694a107341aec9f55c39dd3c585bba2c 6b492e24e03ac96fa6392835f2faaad4d2058934 f571d34b0eca9ebad2667be5864f6e77886463f4 1e56e2fbea87c0c27fdcf11d54db10aaf6ef301d f42dddc5c0b9e6873d7b2ae7be184899dad06a8c 1e0b099f7e9a609742281e59bd90e315eb716691 799a1f76391178847478b1ed2d8178c3ebfc8915 bb0b45f8c8eb853d10c91f7d5fe108444f30c5b8 5a32f2c363e0cc4e87264cf86e92f29a6804848d f2844fd34d72ed834016188a8f3847df79867ed1 90639ed9fbfd322d82a9993e10f272998f87bbe9 cadaf99c0cff7d2b72d899776bb4fdd0a472c969 7262a458610dbe1efe4801f3e6fa37315568a38e 6a41df8281e0b3a7435796aabc1b66b39789be45 5b0941bb8d3fc3981e9d536ca9b719eddcacaf24 af4314a157fb91263c479605679194e3cb3bbc82 c56f56fe8dec7f27a67e40783ff2a724d15fabe3 e9cc782cf46f991ec302b37dd53800c78ff9c0a9 9a0f3d1a5c73dcd254b830ac6ea95337b66249f5 f55713a4f5bdaf66d0fe7f101a2a50fc0bb8a879 44b3f54997e64363e2c48b85552f362cdd74613a 892363962f81882fc86b7bc2c72237da7dadd40b 535cbf9af9bea62b850db78a41c3e31add0ba8ef bf70831f667b5410627eb494f31c935e339298fe 434098b1e41f1849fef976a46eb1d443d8e1966c e2bc620e10031f41656d9a5f1c7f87f5d41a2a24 32f3112aeb4d88598b54e5321c807d5249e3f913 3e27c6efb7767d442b7b322f94b6cfc08281e841 cae926711fae95af0a7c016bff47b8252df6604b 09e7e4f4331c49ee9ecf336bca909e19f7ef4f45 89fe6fef3467e0c224901d895cf0287bbd99e646 08ed26364acbf5694d3e0eb8716f83b4ec2c8c24 f649538793d3ca66b001084bb0d9baecdae8fee4 d7a7fcd01061ca92470b73d8503eb365fd194813 414d2d4967d8caf60c4fd32027b8a5f555e260b3 87e5b5e0739458ef6fc1b0aa4adb1951a07130f9 11f8c457407531e03ee37ba0f7cdd92ef1faba8f fa44d14c5521e0e9b6f91fbc03fff7e7791c1d1e e32e56f95710b6ad4bc0252adef5a1c834de4df5 49e78d163b71b2f49110fd656da0f6bd54ddac1d 050ea17aa6168d4caf80ebab2555d92c24445b38,,zephyr continued,@hsu I picked up your zephyr branch and continued the gimbal control  It also switches to the mavlink HIL_ACTUATOR_CONTROLS message to support 16 pwm's
PX4/PX4-SITL_gazebo,50,2016-09-28T12:54:54Z,2016-11-16T07:02:54Z,False,none,ebe0e53b2795299e94918dd047da6e62f15d67cf,10,7,3df92ba9957c371d8d21bf8d9eeab8d65364b28e c5ac564745971be0e5c499b8ffbc23c9d2420b10 37c193f32fe4ee62b89fc2473265a6ee4de3350d 7d56a02e17338064b0a57044200d02a22e605288 b941d5b890c63b78a18e503b1adfbe39eb41a63d e977da4985d2bf02b0ecb0b1954d048a703bc178 7685d6ed37aa20b26275de5feda18b2bad5bae76,,Geotagging plugin,This adds a camera plugin that writes images with a fixed interval and geotags.  needs the `exiftool` command to be installed. This PR includes #48
PX4/PX4-SITL_gazebo,48,2016-09-22T08:32:49Z,2016-11-16T07:03:37Z,False,none,0fd1fdab0aeb421f64b8157aafbcd27be7621099,6,4,3df92ba9957c371d8d21bf8d9eeab8d65364b28e c5ac564745971be0e5c499b8ffbc23c9d2420b10 37c193f32fe4ee62b89fc2473265a6ee4de3350d 7d56a02e17338064b0a57044200d02a22e605288,,GStreamer camera plugin,This adds a GStreamer camera plugin  so that for example the gimbal camera can be viewed with QGC. Some remarks: - gstreamer is optional  if not found  the plugin will not be built - I added the plugin to the typhoon  but commented it  because it needs a lot of CPU and I don't think we need it enabled all the time (especially since gazebo also has a topic viewer)
PX4/PX4-SITL_gazebo,71,2016-12-27T08:53:31Z,2016-12-27T14:30:25Z,True,2016-12-27T14:30:25Z,62c24e39956c58eaeb2e427cb5fe91211ddbb2c2,10,10,63700a4dbb7e168f9ab658925257b4414a6a9606 1616b9b2293ac517064546858af7f8e2ce93e8d8 cb67560772bb2320da3172d640694583dd66db00 b876929325f20d290767c4ac1cd51a1b3a6540c8 4f56caa452b0bee8531ab354462f44528becd799 1fd02a5f7236ff17f210c184ed89620a457259e1 177a22bd16cbc4c6c9d7dca3d803f9564db27086 01c1e03e5ee8396ba8c0a1e8bd8595cd970ada8b a84aae96d4fb2812fe6965a80633631b5fa77701 4c5ab4ca2b7c22443f3a96cff2045c5d8fc1d4d1,,submodule optical flow,These are the changes to include the new optical flow repo in sitl gazebo. There are two flow implementations: klt_feature_tracker/opencv and px4flow.  I have also changed the camera image format to avoid unnecessary format changes.  The goal is to use this flow repo where ever flow calculations are needed and to avoid duplicated code. Also other implementations can (and hopefully will) be added in the future.
PX4/PX4-SITL_gazebo,75,2017-01-06T15:44:48Z,2017-01-06T15:48:31Z,True,2017-01-06T15:48:31Z,6a4b8822f92dc1760408f400d7dc88bcc815c322,6,1,64e52f13206f9c4d7b8d42e824dafae9a30592c3,,iris world world with uneven ground,In order to better test landing and takeoff  it would be beneficial to have a default world with uneven ground.
PX4/PX4-SITL_gazebo,76,2017-01-09T15:38:05Z,2017-01-09T16:35:16Z,True,2017-01-09T16:35:16Z,2cffec9ea866987f5832a001bcc270900e91f0e6,1,1,be8c67ad9f54cfbadd074a72af3110552faacc1c,,update OpticalFlow submodule,This will improve the px4flow calculation method. I did e logical error when porting the code from px4flow... It used a histogram filter instead of an average (like px4flow)
PX4/PX4-SITL_gazebo,77,2017-01-10T09:41:21Z,2017-01-10T09:57:22Z,True,2017-01-10T09:57:22Z,c65793654ef6c5bf66aa5ff72b453d16f744d8d2,1,1,c65793654ef6c5bf66aa5ff72b453d16f744d8d2,,update submodule Optical flow fixed cmake policy warning ,@bkueng I fixed the issue https://github.com/PX4/OpticalFlow/issues/1. Can you please confirm?
PX4/PX4-SITL_gazebo,79,2017-01-12T15:25:36Z,2017-01-12T18:56:29Z,True,2017-01-12T18:56:28Z,3512ec89592feb6b14c791a09cc3476146f0de24,3,1,ebbb14d4e50be7841af7b7eeedacd5e484417102,,set flow ouput rate update submodule and adaptions for it,
PX4/PX4-SITL_gazebo,87,2017-02-10T18:36:06Z,2017-02-13T20:39:45Z,True,2017-02-13T20:39:45Z,04cdc16910f193d5c97d8651db1f2adf2231fbe7,5,4,ab6d6a30a15eb8cb92e7a78019956b19ec97085e bb75eb448384166445564a0a996877a930479df0 f7ceff775c81b02c9da422156b9a2095f14b5b1c 55320b2f61ac87f592df5144a20d99148443b033,,Add iris with rplidar ,Add rplidar model.
PX4/PX4-SITL_gazebo,92,2017-03-11T21:23:39Z,2017-03-13T07:19:27Z,True,2017-03-13T07:19:27Z,619e7aded56d783a178226afd089bdfc2c348eec,2,1,f6a116d7741e70af729f2513ffbf9cc036bd291f,,Updated optical flow repo,@ChristophTobler Can you review and merge?
PX4/PX4-SITL_gazebo,91,2017-02-20T20:20:02Z,2017-04-29T17:12:46Z,True,2017-04-29T17:12:46Z,9f613eb646d99396f1082d25747293e86c70fc4c,23,8,87d5d7dd71347f47359180681f42175edc2da924 0a18e496e94600135fbd517f60a9196d46380822 5c597a949a91a78e60723d52978185f969582dc2 b67649f935ed87601fc3038d31347bbbec1e0ff2 379ce69834d5c2d570f7dfd5f13ae03169773c1d 8cc6375a0d121985001de94b5c9b8cf28d39b0f1 63046698adb9eb81a5865f9d506750cc201abf3a ad71ebc8a9cd385974b94f5e98d1009d003b1ddc,,Add rover model,
PX4/PX4-SITL_gazebo,98,2017-05-05T11:27:04Z,2017-05-09T11:19:35Z,True,2017-05-09T11:19:35Z,0a65213e2c44fa4102e823962340ae391cfc9582,9,8,8bb82f53623654c358707c7c6917f6ed971a606a 18655876597e40ac68f9854c5e95df8eed4729fc 307c10fe7aad1b2fcbf4bf39e238258a7ccfb022 cf521c4acfb9eaa91d44f87e01ab1fa87a1d8d20 02a08deeb85c5684846681875f049abc83b875e4 aa4b8e9bfe8cd27f9e28c6b8c50882797c1a7dcb c0daa5eea35dfd2f3ad5ea635704f8752e5dc459 91c0c72cfd4fbc002947d498cc00d35e096b7b87,,Sonar model,typhoon h480 with sonar model and mavlink interface for distance messages
PX4/PX4-SITL_gazebo,100,2017-05-11T08:29:42Z,2017-05-12T17:51:02Z,True,2017-05-12T17:51:02Z,7b611a2dac1abb0145dc1125b43d820288b1b5cc,2,1,ac9f155f64417a42c4c30956102bbe07da4415bb,,add ramp model for downward facing distance sensor testing,
PX4/PX4-SITL_gazebo,106,2017-06-30T14:13:06Z,2017-08-10T13:51:44Z,True,2017-08-10T13:51:44Z,58fb126e3f10b05d0034e199af575d5248307031,10,4,f1e7aa41273f3b571076589f6bd9ff52ebda3d5f bb503fdfc128c3c861386225d5d7312bd2fe98b0 df377ce0cd73cbee2440e549536be8bd235b70cd 6ffd142b909ec6fb8b50458a2ed536ae6e9ffaf9,,Enable Simulation of the Hippocampus AUV from TUHH ,Adding files which enable a simulation with the autonomous underwater  vehicle (AUV) from the Technical University Hamburg-Harburg.    For safety reasons I just added files (only had to add some lines to the CMakeFile). I have tested the simulation with gazebo-ROS and it works fine. For further information about our project feel free to ask or have a look at https://www.tuhh.de/mum/forschung/forschungsgebiete-und-projekte/flow-field-estimation-with-a-swarm-of-auvs.html
PX4/PX4-SITL_gazebo,134,2017-10-20T16:00:15Z,2017-10-20T16:31:25Z,True,2017-10-20T16:31:25Z,b8fc1962c1dc7237250983cec50fb64865395366,12,3,4733aa20e5b77743e674cb08f243546317963d03 62b54746c5c2afca7360bb9cc32e5d03de1c8e55 70cc66cac0926cabb49154971e9dd113f75d859f,,Add IRLock simulation and GPS noise,This adds a simulation for the IRLock camera and beacon  which allows testing of the precision land feature.    It also adds noise to the simulated GPS measurements with a decaying random walk.
PX4/PX4-SITL_gazebo,143,2017-12-11T21:51:38Z,2017-12-12T11:09:22Z,True,2017-12-12T11:09:22Z,32a057c4441b02824773f0062f9354e14ab071a8,2,1,1fdcfeeecf486d93907e619ae1b65efc767fbc1e,,build add FindMAVLink cmake module and enhance Mavlink dir search,This actually solves some trouble with people trying to use `sitl_gazebo` without: 1. PX4 Firmware folder; 2. ROS. This allows to check for Mavlink in the most common folders and also sets the current version of them and also to unblock https://github.com/PX4/sitl_gazebo/pull/136 and finally have CI for `sitl_gazebo`.  Note: this is an adaption from a @jgoppert `.cmake` file  so credits go to him.
PX4/PX4-SITL_gazebo,147,2017-12-30T19:22:28Z,2017-12-30T19:30:31Z,True,2017-12-30T19:30:31Z,8ef100924d4e1dca6e309ec9a388b7cb7175c8ba,1,1,f8fe9dfff006c3483f1002782d5126d1db067289,,find user built headers in usr include or usr local include,
PX4/PX4-SITL_gazebo,136,2017-10-26T18:47:12Z,2017-12-31T00:38:55Z,True,2017-12-31T00:38:55Z,a131cbc546c9640c7319370220e0776249ae952c,1,1,3366bce3ecb86d95d78ddc63b65fad2294316523,,initial travis ci configuration,@ndepal @TSC21 FYI
PX4/PX4-SITL_gazebo,146,2017-12-27T19:27:35Z,2018-01-03T00:15:45Z,False,none,e6c51c3d2c93459cf2c47531d9cc098573c9c9be,30,47,055c713c8dd10d5c6ac6a065f03e434f646f5102 cd815e995aa475b5adce3b2a50a3af0878219823 e205bb0adb614171f9f384824766601aa226a5ab ee793ec253f26a5865d47d90815beae82ad54181 b083560dea816ac0920862780550c2e23362d8aa 177bd12ac39ef0576e7a0fc7581fcbcc71ae97d0 1930a31258459616beec47e62c8dd5d609043a7f 118aa05ef4d817685f5ef3fc9964f84e5c99f5d2 f7e6bc79a539fe5dd9f61fd0ff11d5429dddfecc 34b192d5115878d48b6931e4db85d4164ccd7b22 13b7d42cb15b6fe84128f67c8e0553a8e812d86c ca0d3d08a6aa15f06c15301f5ae25cda3d70b672 d2f46b7ae062c828e675ab9534d4c70c56cd23d6 8ef100924d4e1dca6e309ec9a388b7cb7175c8ba 1498a3453edb1aac6f0cda7a5ad73d0f18879186 a131cbc546c9640c7319370220e0776249ae952c f50c5dc30a924a6bc503facdd7497c469e8cc666 2f4b18ae4b61a0a05295ec8058ba9e64f682f588 f474cf10b42e81b278bbf211792ca0962779285d d27867de5e3f313280495c9cd87ddf87e15814e0 946146f3144ee71f4fde70f195b912d2ef1e8238 5acca61c31a497916844c3cb5c8424c1333fb2be 1dc976f89d3bee46c3c29e8f4608ca7af9a49412 da2bb226f56a18293347efd08e52b0d176d429db 4395333e1b932c9c6cf4dad3336ac134c26741d4 3eb22c14d020d1c6e6e0152dc3f1f22c63668496 4e9a9cd487d29c51e3e79431e17fcd71df27cb98 1783a07db19070362a74eac1c8c45d7f8fa14f17 b2d9758fd0f734db36f7313bf99054cac50c68ff de2edcd0398aa65ae190c358b3917abc780956d1 2a70580c92061094e46d44a5746dcee19b4dbf1e 71a44b97ef4888eb2a247fbf67c79c65dd4e2ee0 c1c3fbae12280db7aea6402f1f5fe4377859803b 976508fd90b155cd0e57c2b642be0cd41dbcbace f960151f9331409d1980140ab45b030d091582cd c023f84e53d30729c69fc1fc9a34c346788a0a7e 5b253fbfd5977c60193130335d7fb0da594fb673 bb5438043fa5eba0f53d8291dcd6320a8f58473a e3437ed6998a92f69eb78e7237e9cca1291ed655 e251f9cdf06278852f002292c504361c99299b75 f376cd7ebf8354bf4ab3a9cdb7aafcac6e7b1456 1971c3a6e2073b07e32eb67566d817faf90f2411 b421c32ad276cdba5cb833b4355293269a03cf44 fc672c9be9b42f17381023936b7bd5a7c45e3b8d 058e15fbcbf51b756848d56b8d4fde2c7e9276e4 88795c63a08928e3c1f629b5dabed4ddd7b1d1ed f8645eef7eab72c895dc659e342bee8681c3c003,,HIL integration for Gazebo,This PR integrates HIL for Gazebo. Gazebo listens to a serial port for a connection with the FCU and establishes a UDP proxy to QGC.
