Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
rusefi/rusefi,381,2017-03-24T16:26:41Z,2017-03-24T23:15:56Z,True,2017-03-24T23:15:56Z,ec791596703127611c77268a88701605bb2c0432,812,1,6532983aaf2aec4ad3b682bf1d5da4167b8d4871,,CRLF LF for everything,_find . -type f -print0 | xargs -0 dos2unix_    I converted everything from CRLF to LF.  You are likely to break the merge if you push any commit to master before this.
rusefi/rusefi,379,2017-03-22T11:21:28Z,2017-03-26T15:13:28Z,True,2017-03-26T15:13:28Z,8aa5c6511412fb69ee98ddb1c98c7e7ce2f993ca,1032,15,ca92b34a8278ceedc45240bf08faa5b8b5d8bc2a dafbf828504324ceb390a89da0dbfec8d9df1d37 3b5eb165f153ef011c895ef5362bb0de0d5f9467 d89f255dba78d5388662d10493706387e9731b4f c707fb4fb1a4813222896a679f4ee17319b20757 d0639f5f8d143a7936b5d6576a73df319fcb74ea 4c41c6004e780479f3969e40eb55cd24ddf8a20c 23621e2537a6fcd4a96fb511b0425c0ef3ce1591 5dee6b88198d6a53244a045c8f5cdff3caf170ca da7183ac4137c667fda287571e6b028d14299964 2fbe8c52c376b8603263afe2e43f5580cee7712f 0a3be430d5c78ef9dae8cef2a556d08d68bf554e 11eb93e3edaa42c147d14860ae8d39bd050dedc6 decffe324dee4c901cd80cef08f5c92bac69022e 9bf3eedc667058651d142364b4c12dee0664c965,,ChibiOS 16 x update,Let me know if this works  I had to make a lot of changes to the mass storage driver.    You'll need to init and pull the ChibiOS submodule:  _git submodule update --init_    When you are ready to merge the pull request  I will rebase/merge on your master so that you can do it from github.    Because of the CRLF crap  make sure your windows git client it setup as "checkout as CRLF  commit as LF". This should be the default. It's the equivalent of autocrlf.
rusefi/rusefi,383,2017-03-27T22:06:28Z,2017-03-27T22:53:18Z,True,2017-03-27T22:53:18Z,46043d50fc109a00a90c5e4b41d66665c5b85a94,1,1,367596e9a9efd1903509c2d0e4ef19c82c3fd60e,,Missing CHPRINTF_USE_FLOAT in simulator s chconf h,That should one of the simulator bug (#379)
rusefi/rusefi,386,2017-03-29T16:18:29Z,2017-03-29T16:21:12Z,True,2017-03-29T16:21:12Z,885a02766dbfaa6065534105f4197e0e0cbd1993,1011,16,1e324d9eef6a0d4c471fdfb9354df9d484e6eae2 1eb330c6002885607f9225ce3868fa86cd73432d 3b851fb3f37b4ff07be9f4acde77d51e14675f86 bac75b2e3eb8a8798295e5852c21035807956aad e4952250d172745eee845b7889a0d3b66ec92e44 1885da1ab9f1b9057e6e9ca920337f563ecf7531 8835ebee435738fcb232d7f0c8bca315a6a6f2a8 f5d2eab8b5189b45c5e66ef945617366856580f3 63e4a3dea1fd9efde2015e277e99cb2824b4f943 0babb9d5b842e2532c11a5d56404d1117bd0b337 c49b5392dda2b94cbcc0884910bea26a948250c5 77d7221843bc580255155635c2b0bfe8ba7a2d89 1fcafe9c5da4b5a8fb64370921104ca93ed1ab7c 4b6d378e818b11d695a60d32a05ac4acd61bff0e 9f75cd5c75f7132cf04c20ededb70acdf915886b a7cf2d82efedde9cccfa7ebb1ee2006b8d2ccd99,,Chibios update 2nd try,Same modifications as last time  rebased on current code.
rusefi/rusefi,387,2017-03-30T17:48:59Z,2017-03-31T08:32:19Z,False,none,72bad4f7a7e00c9f5dd4eb219e13df69949a81ff,0,0,,,Simulator fixes for linux ,
rusefi/rusefi,389,2017-03-31T08:40:36Z,2017-03-31T17:20:41Z,True,2017-03-31T17:20:41Z,b4bc118d8f17714f0dea50169efd83756f440720,4,3,3a5b92ea49ed44b41a978956e0ec5ee3b9819b7a 8f9a910aec8e12dd315a7411042a279189337e6f 27fb33ebd354c91f43a975a66811bfb16acbcbd1,,Fixed Posix simulator ,Just the simulator fix this time.
rusefi/rusefi,391,2017-04-02T05:49:40Z,2017-04-02T05:51:00Z,False,none,none,54,75,1e324d9eef6a0d4c471fdfb9354df9d484e6eae2 1eb330c6002885607f9225ce3868fa86cd73432d 3b851fb3f37b4ff07be9f4acde77d51e14675f86 bac75b2e3eb8a8798295e5852c21035807956aad e4952250d172745eee845b7889a0d3b66ec92e44 1885da1ab9f1b9057e6e9ca920337f563ecf7531 8835ebee435738fcb232d7f0c8bca315a6a6f2a8 f5d2eab8b5189b45c5e66ef945617366856580f3 63e4a3dea1fd9efde2015e277e99cb2824b4f943 0babb9d5b842e2532c11a5d56404d1117bd0b337 c49b5392dda2b94cbcc0884910bea26a948250c5 77d7221843bc580255155635c2b0bfe8ba7a2d89 1fcafe9c5da4b5a8fb64370921104ca93ed1ab7c 4b6d378e818b11d695a60d32a05ac4acd61bff0e 9f75cd5c75f7132cf04c20ededb70acdf915886b a7cf2d82efedde9cccfa7ebb1ee2006b8d2ccd99 885a02766dbfaa6065534105f4197e0e0cbd1993 33d78215ce390e0c477fe3b6afbbdb97dfb191cf 12b6ba655f13e2c6787e93e5173cc9f1cc5bc66f 084c3dc01f325200d73b47de073d72f3b6714024 e98dbc1218911ff059a363861820b72b08d615e1 1bd29111ad170e96601a41cac1f032a669c50735 89a0d7ce1e135fb6bb2dd18f7c8eb726d5c530ab 4776e72123a0554a7ff113978dbe773708fefa85 86d19d0ccc71b9585e24a6f5a5af2f1e21791067 b904710b12efcff55dca97b559b2d626b57e532c 8a5f3eb38c976eebe859f2e2a978540666bd60cd d99c529f91897b519fbbe6ca283c7f94dd2bcd98 eda9751bbd22a7ce8702854e2df7763084414123 7a662d1a81cb44ceaff805f3aad0c826f861ccc2 0eccf66dba6a70861a146425cb9d346cf21762fa e7f1d0a0bbf0a8041cfbb4f8f4349931de191f4f 947633b0c0407618ec6d64eebd6833a53a526b62 53794424e19fe25311597f8685b7b4a686938222 ea4c5ef21c03475fd75372f51e65e6e266700fb0 b0cd4a42320e350d3024469c1bb235a8179580d9 e8088162836ddb60bf9ca45fabfed20e800f76bf b6d6c2a8e40efa063ab35c7e16a9620d05db4037 0f6e2ded4ddfaa3ce457fbe48f9d3f8a76b9e48b 3509b0389742f93eb4b76976a24d72bc77fb3f44 264c2802b31dacaae5d838a7150b823b8fce4188 be1ef72b43ec88bb88299868f8f7fef2d75063f7 30aa3fc0214fe1ae89a44176f25c5e3154aeeac9 373bdd3ef9583e75b5eca6f03b9bcd35f84ca52f a6c36829523ac04c51e25bee33b1461e8b85e9d8 1bea7af4da8bc81c0ea7c251df2ba1916f796dce ed129878c30453f63b0ea9e37d2f423d15481c0e 2613e8fd869e2118c611b5f0bb5c4e5723d46b55 1e9a8bf65794f5a392baedf0cb93e6d1df618163 ea6e67f488d74078e721f7b717dd8cc94b538751 3cfc413ba68a56d662e92dbc3dd2f2620b8a67d5 f8feea53746b7bf5a4bf3ebc632e35bf0827b918 5955b0b2fa1d51a58c98827b42044310e13958e9 9c73858f66d18f364fb4b601fe808216b427dc37 3a5b92ea49ed44b41a978956e0ec5ee3b9819b7a 8f9a910aec8e12dd315a7411042a279189337e6f 27fb33ebd354c91f43a975a66811bfb16acbcbd1 b4bc118d8f17714f0dea50169efd83756f440720 db7faa4b311ec53caa54fa345cd3583373ac99ba 46fae6009116fe2deba7339d2752cc27a48635d6 941e53d5fff8fc52b358603fb477d8c01833200f f4148abff69704faab8f5cbf3be72b1f77358f36 6a2951aaf1b5559c8a08c78cf5e7f7029db065a9 a69a516ebf7700acfb831020a98e02f98ef20a2b 46a5d2ff05a99546f94f977c970f8c69ac273769 550911da8653433435f54bc4d472949ba14a95ae 2535d2290ff680386c8c0abb399df2aaf6e25cd9 b0f6304896e9155a7060c258e45867a8a37698f6 c96540756c3833cd5669d44f0ddfbf2ae3416e30 08e324770c44b2121d8f47319152fca494c182da f007da76dfa6f1029d62e943ed78154039bf5601 b9484413ff64baec49d4a5fbe2c6213b3597eaa8 616c2295fc800b1901fac6726c2bc196531eddad 7bed55cd3732425ba3bad1765a3304c03322e9a4 944139f48ee9b253eec652d0cb6fa6aea01a37a0,,Fresh chibios 2nd,
rusefi/rusefi,392,2017-04-07T00:11:45Z,2017-04-07T00:12:25Z,True,2017-04-07T00:12:25Z,e4e4b8e4a0614e093a9b51a039dff3e0ad0eba67,54,91,1e324d9eef6a0d4c471fdfb9354df9d484e6eae2 1eb330c6002885607f9225ce3868fa86cd73432d 3b851fb3f37b4ff07be9f4acde77d51e14675f86 bac75b2e3eb8a8798295e5852c21035807956aad e4952250d172745eee845b7889a0d3b66ec92e44 1885da1ab9f1b9057e6e9ca920337f563ecf7531 8835ebee435738fcb232d7f0c8bca315a6a6f2a8 f5d2eab8b5189b45c5e66ef945617366856580f3 63e4a3dea1fd9efde2015e277e99cb2824b4f943 0babb9d5b842e2532c11a5d56404d1117bd0b337 c49b5392dda2b94cbcc0884910bea26a948250c5 77d7221843bc580255155635c2b0bfe8ba7a2d89 1fcafe9c5da4b5a8fb64370921104ca93ed1ab7c 4b6d378e818b11d695a60d32a05ac4acd61bff0e 9f75cd5c75f7132cf04c20ededb70acdf915886b a7cf2d82efedde9cccfa7ebb1ee2006b8d2ccd99 885a02766dbfaa6065534105f4197e0e0cbd1993 33d78215ce390e0c477fe3b6afbbdb97dfb191cf 12b6ba655f13e2c6787e93e5173cc9f1cc5bc66f 084c3dc01f325200d73b47de073d72f3b6714024 e98dbc1218911ff059a363861820b72b08d615e1 1bd29111ad170e96601a41cac1f032a669c50735 89a0d7ce1e135fb6bb2dd18f7c8eb726d5c530ab 4776e72123a0554a7ff113978dbe773708fefa85 86d19d0ccc71b9585e24a6f5a5af2f1e21791067 b904710b12efcff55dca97b559b2d626b57e532c 8a5f3eb38c976eebe859f2e2a978540666bd60cd d99c529f91897b519fbbe6ca283c7f94dd2bcd98 eda9751bbd22a7ce8702854e2df7763084414123 7a662d1a81cb44ceaff805f3aad0c826f861ccc2 0eccf66dba6a70861a146425cb9d346cf21762fa e7f1d0a0bbf0a8041cfbb4f8f4349931de191f4f 947633b0c0407618ec6d64eebd6833a53a526b62 53794424e19fe25311597f8685b7b4a686938222 ea4c5ef21c03475fd75372f51e65e6e266700fb0 b0cd4a42320e350d3024469c1bb235a8179580d9 e8088162836ddb60bf9ca45fabfed20e800f76bf b6d6c2a8e40efa063ab35c7e16a9620d05db4037 0f6e2ded4ddfaa3ce457fbe48f9d3f8a76b9e48b 3509b0389742f93eb4b76976a24d72bc77fb3f44 264c2802b31dacaae5d838a7150b823b8fce4188 be1ef72b43ec88bb88299868f8f7fef2d75063f7 30aa3fc0214fe1ae89a44176f25c5e3154aeeac9 373bdd3ef9583e75b5eca6f03b9bcd35f84ca52f a6c36829523ac04c51e25bee33b1461e8b85e9d8 1bea7af4da8bc81c0ea7c251df2ba1916f796dce ed129878c30453f63b0ea9e37d2f423d15481c0e 2613e8fd869e2118c611b5f0bb5c4e5723d46b55 1e9a8bf65794f5a392baedf0cb93e6d1df618163 ea6e67f488d74078e721f7b717dd8cc94b538751 3cfc413ba68a56d662e92dbc3dd2f2620b8a67d5 f8feea53746b7bf5a4bf3ebc632e35bf0827b918 5955b0b2fa1d51a58c98827b42044310e13958e9 9c73858f66d18f364fb4b601fe808216b427dc37 3a5b92ea49ed44b41a978956e0ec5ee3b9819b7a 8f9a910aec8e12dd315a7411042a279189337e6f 27fb33ebd354c91f43a975a66811bfb16acbcbd1 b4bc118d8f17714f0dea50169efd83756f440720 db7faa4b311ec53caa54fa345cd3583373ac99ba 46fae6009116fe2deba7339d2752cc27a48635d6 941e53d5fff8fc52b358603fb477d8c01833200f f4148abff69704faab8f5cbf3be72b1f77358f36 6a2951aaf1b5559c8a08c78cf5e7f7029db065a9 a69a516ebf7700acfb831020a98e02f98ef20a2b 46a5d2ff05a99546f94f977c970f8c69ac273769 550911da8653433435f54bc4d472949ba14a95ae 2535d2290ff680386c8c0abb399df2aaf6e25cd9 b0f6304896e9155a7060c258e45867a8a37698f6 c96540756c3833cd5669d44f0ddfbf2ae3416e30 08e324770c44b2121d8f47319152fca494c182da f007da76dfa6f1029d62e943ed78154039bf5601 b9484413ff64baec49d4a5fbe2c6213b3597eaa8 616c2295fc800b1901fac6726c2bc196531eddad 7bed55cd3732425ba3bad1765a3304c03322e9a4 944139f48ee9b253eec652d0cb6fa6aea01a37a0 0caeb0ad37d2a243452acf040f739986dce1934d 16a0138282bb4683fcbcc2b97cecbbd8a312c8cf a80a754db0f0756b696bd8c73a15a6ce86f550ad 52370c0fb51a0947ca38a88556c303dbc4b854b5 778530ce7484e3d39be4346cd8f785a2d8c42947 42b0fcfb8bc24bb53fd82ec309a77c97820175b7 ac40a21bb4ee65865b53773508ad83810d117b81 b5b76574933759a24a204e636c1c29e07ab93fa3 3d206d704c7815657a7e1cdd59e2a0a3edcccadb 8ea1ec014788e9732f7fbd47fe5f7e8031bb1a1d 0ee294c5e7509896252e756918bf470961d7be11 d691424e8958c77febc8380cfc938c889c757ffe 9a7aa62cdea3a4b351d2a99fbca55d9322130e56 02954b5bbcfd89508f1781f9c888823b176fa671 2f05a05845233e1a4b9ab8da07ad5f998cd77d2c 563c9cfdab19f299a619ddbafd05880427683559,,Fresh chibios 2nd,
rusefi/rusefi,395,2017-04-17T15:23:34Z,2017-04-17T15:28:44Z,True,2017-04-17T15:28:44Z,75d112806253b4b8d871e758edd87f69a9e4f614,1,1,32ba5bc0d97649e715cff5713ac30e73e21887ab,,custom board makefile pull request,
rusefi/rusefi,399,2017-04-21T22:12:59Z,2017-04-21T22:46:07Z,True,2017-04-21T22:46:06Z,bf172e65ff939dc8b30d588ccd2823393e7e0895,4,3,7afeecc862e34d3f5fbe9384f7974aca954ab365 dc7a24d80fed3396047bd93bce3053c29c99e686 a15d48a911a000197608cc02a6e00655390024c9,,call board configuration pull request,
