Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
simbody/simbody,18,2013-08-24T21:18:28Z,2013-08-24T23:29:26Z,True,2013-08-24T23:29:26Z,59a34102d24f8d14010be1b6b80bcd7e4dc3b53b,8,2,095b7ae5dca221a4ab716e110906f3955c28c84f 95cf0ec7e0188eb8677d9e26a5061ac954f9a1c4,,Visualizer merge from Simbody s svn repo,Syncing up my last commits on Visualizer svn branch to the Github's branch. 
simbody/simbody,30,2013-09-02T16:42:07Z,2013-09-02T17:06:08Z,True,2013-09-02T17:06:08Z,b671ca55d0c5383740b13ee98ff0d2f7a53275ec,1,1,77e78ab5a1321ffb9847f6ab6d51484c9b3f45d4,,3 3 version release,Fix release version in changelog.  Sorry  in the first pull request version number was wrong. 
simbody/simbody,32,2013-09-03T18:44:28Z,2013-09-03T19:13:24Z,True,2013-09-03T19:13:24Z,c4cf3b2d651f27c0d2e2b38b3242c9aa00cc367c,1,2,61fa9b78a50dc01406eb1c823b6d05510b8993e9 430435706ac6500ea2a77dc0344c8fd0ee1a602b,,Clean up dependencies,Some of them were plain wrong  and some others are not needed (indirect dependencies).  We should propagate these changes to master branch. 
simbody/simbody,33,2013-09-04T21:49:07Z,2013-09-04T22:53:59Z,True,2013-09-04T22:53:59Z,d5364b1e6797423a610b182715ec714f74a2617d,1,1,dd1b1a9eabbf87fc7a973b53b16da8381a2f1f5e,,prevent NaN generation when gravity is 0 0 0 and we switch from body ,... is excluded to body is not excluded in gravity force appliction.  This is necessary as the rest of the code skips updates when gravity is special cased to zero. 
simbody/simbody,37,2013-09-26T17:34:38Z,2013-09-26T17:35:02Z,True,2013-09-26T17:35:02Z,1d81a410ddc49179d020e740fb3e5e4d0b84c4d5,1,1,eb394d30d8c5a28706b4780d5291ecb496ac5212,,Minor fix to SemiExplicitEuler2Integrator error estimation,SemiExplicitEuler2Integrator wasn't properly updating prescribed q's for the double-size step. That could affect error estimates in some unusual circumstances but probably won't have a noticeable effect. 
simbody/simbody,14,2013-08-20T17:20:44Z,2013-08-20T17:21:08Z,True,2013-08-20T17:21:08Z,ab1d7be2173f12edac969de52b1eedfc824ce293,1,1,cf82e97cb63e13b92c53dbacd7227b68fb9043ad,,Typo in comment ,
simbody/simbody,16,2013-08-22T00:11:11Z,2013-08-22T00:12:24Z,True,2013-08-22T00:12:24Z,c7f71fdb569d9c8199f8c43ae5fe5f011397b4a7,2,2,08e63d99e18300fb78c0adbacac1161b3d497aed 70172d6df05cf86d46685be40ff2e02d876a18ba,,Two small fixes FindSimbody now works for 64 bit Windows MobilizedBody isSameMobilizedBody fixed,
simbody/simbody,19,2013-08-26T20:04:35Z,2013-08-26T20:05:15Z,True,2013-08-26T20:05:15Z,89ee192b309c4abcf738a35683afc9c0425d1703,3,4,7b7090fd7629b8f05d8e491abc22ee492376c0a8 8047c19a1718fb74ada153aca182e6f96765702d 8525b1aa7b22acaf47fffb93a3317489515bff39 e55f7508917fa5dd176fd3a02ebd2b253c2f2329,,added new Simbody regression test to max Gazebo s ForceTorque test,- Renamed previous Gazebo reaction force test and added a new one to match two that John Hsu wrote for Gazebo. - Added mesh option for bricks in Gazebo2Simbody example. 
simbody/simbody,22,2013-08-29T00:05:28Z,2013-08-29T00:06:04Z,True,2013-08-29T00:06:04Z,2c40b54193d96b33db348b7ee2f92880b3d6b8a6,5,3,aba535d6f04dbbd071f5d8da317e92f993ba47c4 bacc04fa291bda6c30141b89a57fc907e4b67cfa 9b8467e00d34e4dce6fcb386d93841019070dbba,,Improved TestMultibodyPerformance timing information,I refined the measurements made by this timing test to provide more information about timings for individual stage calculations. These are relevant for computations where velocities must be iterated while positions are unchanged (e.g. semi-implicit Euler)  or when new forces are applied but states are unchanged (e.g. Gazebo's application of discrete forces between steps). I also separated out timings for articulated body inertia calculations since those are the most expensive single computation in Simbody and could be substantially improved. 
simbody/simbody,23,2013-08-29T21:25:32Z,2013-08-29T21:25:45Z,True,2013-08-29T21:25:45Z,1c23461e765133304549c2e961b3309267f7b918,2,1,eb5b1aad2d86bc7da2515fdd594000bbf9e2ad29,,Modified MobilizedBody lock and lockAt methods to immediately modify state ,This satisfies Kevin He's request in Simbody issue #20. 
simbody/simbody,31,2013-09-02T23:44:30Z,2013-09-02T23:45:29Z,True,2013-09-02T23:45:29Z,bdf0a20aed4721a1e9c8bcf70270cf04c92ee196,8,5,b8c4cc8e8a8ddd393e5b3c8075bbb645b6333fc7 8c3d9ffc20f844c7325fc3317e2d77c0222b596d 20a6b4b82068ad0174c562d0647a73e50eeb0a35 0ae258e03525b96551b06337adc2669647c021a3 1ac00736240243f9dd51082454a6f71db3d3beb7,,Fix multiplyByMInv so it is usable in forces controllers,Fixes issue #29. 
simbody/simbody,43,2013-10-08T21:35:45Z,2013-10-08T23:25:07Z,False,none,e93f01eb85ee8c5d4684f2a6e6d5f4dbc4938dce,1,1,183effcba7cc7f7cde00b59ca8413a9b7539110e,,Fix minor typo in ExamplePendulum cpp,
simbody/simbody,44,2013-10-09T01:40:53Z,2013-10-09T03:34:04Z,True,2013-10-09T03:34:04Z,d4b20a072a3a61d078ca5af9d0e88f58cdca1741,1,3,507ce9a167a2b6b1ff83107510b4e87a995c4963 bdbdd57b933e0e8741f70f02e20cbcfa57e5622c 8888131f7a6065cace2510154bb1b2720648b25a,,Doxygen only ,Fixes #41. 
simbody/simbody,45,2013-10-16T17:15:01Z,2013-10-16T18:17:51Z,True,2013-10-16T18:17:51Z,442127da6eaa3b02eaefc8651e199d555bb30922,1,1,9a987e31ff69cb77ce15bd40840a8def1e0cb766,,Removed debug message,This message is printed when someone uses the FindSimbody cmake file. I think it's just a debug message. 
simbody/simbody,54,2013-10-19T18:04:45Z,2013-10-28T04:52:21Z,True,2013-10-28T04:52:21Z,acb9017fa4fbab97591ed3395d29c6b4a233eca5,9,3,c201c2bda9bb6c0ee0f21b6f0a5241876f1e1c37 d0ace6a24396a364324233c49b06966acf7da7f5 d9262ddffa1527a29b6b0029d6f4e6a3117e4ac5,,Fixes 10 Optimizer getAlgorithm ,Each implementation of OptimizerSystem implements getAlgorithm. Something I'm not too sure about is my use of SimTK_APIARGCHECK_ALWAYS (https://github.com/chrisdembia/simbody/compare/issue-10?expand=1#diff-829061f3d46e7762cad70320fdaf5d1bL39).  I wrote a test that ensures getAlgorithm returns the right thing for the systems tested for IPOPT  LBFGS  and LBFSGB. 
simbody/simbody,35,2013-09-18T05:47:22Z,2013-09-18T06:03:56Z,True,2013-09-18T06:03:56Z,203e7ffa5ce6e58c10cbd77e63a5405ab07f5a7e,4,1,dd15e038baf2584200df8dd5f95afd3206960c1a,,Add ability to maintain back reference to user object in DecorativeGeometry,Fixes issue #34. - After discussion with @aymanhab  added to `DecorativeGeometry` the ability to store and recall a user pointer for use in selection operations for mapping the selected piece of geometry back to the object to which it refers. - There was already a body id stored with `DecorativeGeometry`; I added an arbitrary index also that would allow differentiation of several pieces of geometry that might refer to the same object. - Added missing concrete class overrides for the generic `set()` methods that return concrete type references for easier chaining. - Added some missing doxygen. - Lightly tested. 
simbody/simbody,59,2013-10-30T17:50:06Z,2013-10-30T18:50:18Z,True,2013-10-30T18:50:18Z,1498f1edb49a2ae222bb43edfaeb22e9722b5c7e,1,1,d2f84c5297f6fbc7b11bd3fa88bc620360d8db7f,,Fix doxygen generation for deb packages,Call make doxygen was not done in  the debian rules file 
simbody/simbody,61,2013-10-31T21:46:58Z,2013-10-31T22:10:19Z,True,2013-10-31T22:10:19Z,f87e000ff21e75bf493af6735faee5440d14ce26,4,1,a9a6cf1b76512c0ecb61ea1e142749f47cead8ca,,Added support for DecorativeMeshFile as a subclass of DecorativeGeometry ,... to pass meshes to Visualizer by file name. 
simbody/simbody,62,2013-11-08T01:10:57Z,2013-11-08T04:16:46Z,True,2013-11-08T04:16:46Z,1b48ab6e9c01b6ffe418f9c7065f38389044391a,3,1,bdaa038295c15bd65da403f67f847a5070290b04,,Correct typos in IpOpt header guards ,Clang picked up these 3 things and gave me warnings. 
simbody/simbody,63,2013-11-08T01:26:47Z,2013-11-08T04:19:30Z,True,2013-11-08T04:19:30Z,5ce2b429a60cc25b627aed1268b739f7b558d407,1,2,6e5015f060006d16298f2aad2ce6e4ac3d8858ae 44e32ea0372e6aa63d02925ad15349be5f2a27ba,,Clang warnings,Clang doesn't recognize -fno-tree-vrp -fno-guess-branch-probability  and emits warnings. These flags are only provided if Clang is NOT the compiler.  Also  I change the way how we check if Clang is the compiler. It may make sense to make more similar changes. We care if Clang is the CXX compiler  I think  not if it's the C compiler.  The way I check the compiler for Clang is as shown here: http://stackoverflow.com/questions/10046114/in-cmake-how-can-i-test-if-the-compiler-is-clang 
simbody/simbody,70,2013-11-23T04:43:20Z,2013-11-23T19:57:24Z,True,2013-11-23T19:57:24Z,c01fd53c4028ac1edc762f9632197626ee699202,3,1,924b7db4de477036ac9850e98a89c7061dda4106,,Added doxygen to Vec and Mat ,Added some comments and use cases to doxygen for Vec and Mat (under "Detailed Description"). 
simbody/simbody,71,2013-11-23T21:20:59Z,2013-11-23T22:47:29Z,True,2013-11-23T22:47:29Z,fbe5f5791011bd09900b18a6dfdce988f4ba7e3f,2,1,daad22b5555a106ff2778e5777ea108cc73a11a2,,Removed examples that only work in Release mode ,As per Sherm's comment on pull request #70 
simbody/simbody,76,2013-12-05T06:04:24Z,2013-12-08T22:49:49Z,True,2013-12-08T22:49:49Z,d9481212ea170decf606281175fd3e076880c165,1,2,eaa50b4d1ed5452da52db1b7f96d647cc48eeb48 6c3926a5b69053d399bf7f2fd38875b36966fe0e,,Doxygen fixed line breaks in elementwise Matlab operators ,Small doxygen fix. 
simbody/simbody,77,2013-12-09T06:00:13Z,2013-12-09T16:34:45Z,True,2013-12-09T16:34:45Z,a2a3fc6e70c77cef9e095c7199f15001c1544234,9,1,736991f73528f17443630ec86f4883bb57345698,,A step towards better Doxygen documentation for Simbody s vector and matrix classes ,- There is a new doxygen Module (like a "topic") on the vector/matrix stuff. The basic small and large matrix classes now belong to that module (using doxygen's `@ingroup` command). - I extracted some text from OpenSim's SimTK matrix library topic and used it to seed the general discussion in the new module  but that needs to be reworked. - I went through the Vector_ class and documented all the methods (many were undocumented). This needs to be done for all of these classes but you have to start somewhere! - I added misc. documentation here and there. 
simbody/simbody,83,2013-12-12T23:13:37Z,2013-12-12T23:23:42Z,True,2013-12-12T23:23:42Z,774f5de04b5b76b9691c64e836dbbd717abb8891,11,1,e3ec7b4cbab077436fae8e1febdd1068a0099379,,Delete unneeded Doxyfiles for individual libraries These caused unwanted installation junk ,Now there is just a single doxygen target and it covers all three libraries (simtkcommon  simtkmath  simbody). 
simbody/simbody,40,2013-10-02T06:30:09Z,2013-10-03T16:45:14Z,True,2013-10-03T16:45:14Z,376c65080f04dfceeb67827a4e3659595d94be7f,10,2,7023a2b188e7f4be42302cd8c0105fe193c94868 ca24c54d0b7f284bd7933480c8b6a0641f21ea43,,Fix for 38 use CMAKE_INSTALL_PREFIX,Except for the root CMakeLists.txt  it's a search and replace of SimTK_INSTALL_PREFIX to CMAKE_INSTALL_PREFIX. For the root CMakeLists.txt  I remove the block of code that overwrites CMAKE_INSTALL_PREFIX with the value of SimTK_INSTALL_PREFIX  and add a different block that will copy SimTK_INSTALL_PREFIX into CMAKE_INSTALL_PREFIX under certain conditions for backward compatibility.  I have tested this on OSX  but I still need to test on my Ubuntu machine. If someone can test this on Windows I would appreciate it. 
simbody/simbody,87,2013-12-15T23:54:46Z,2013-12-16T00:20:45Z,True,2013-12-16T00:20:45Z,dc26f6f7e72e9f1b965cd3a82b2b8f4f1dfa8b5a,13,1,9e60983063034672958ed006d801e0a866b213bd,,Split up the bloated BigMatrix h file into separate files for each of the big matrix classes , Global methods and methods that involve multiple classes remain in BigMatrix.h.  This will hopefully help make these classes easier to document. 
simbody/simbody,89,2013-12-17T21:48:21Z,2013-12-17T21:52:08Z,True,2013-12-17T21:52:08Z,60e1f0e6dcd40982ddfd6e88eb8eb003a7d34aab,1,1,5d61410291ddc9e1d0a6088cc46eaa19bf422022,,Fix doxygen comments for Force Gravity ,Doxygen comments for Force::Gravity were out of date.  Fixes issue #80. 
simbody/simbody,94,2013-12-24T07:24:32Z,2013-12-26T01:22:10Z,True,2013-12-26T01:22:10Z,3cd19227b66636b50bd43ea76d55d30d7f0179ac,2,1,143dd1a97737c510633eec2cdd60695f593329d8,,Install examples to doc dir and lib 82 ,Install most of the example files to the doc folder  except on UNIX  when the executable examples go to a subfolder of lib with a symbolic link installed to the doc folder.  Fixes #82  
simbody/simbody,86,2013-12-13T20:17:14Z,2013-12-13T22:59:21Z,True,2013-12-13T22:59:21Z,73912de520a55771ed939004c9da43c2ded003b8,1,1,8f6351ccc3dac26853d3e568cac56c356b01b83b,,Fix 85 reduce scope of Doxyfile EXCLUDE_PATTERN,The _/src/_ pattern was a little broad  so I changed it be scoped a little more towards simbody-specific folders. 
simbody/simbody,107,2014-01-14T07:05:53Z,2014-01-14T16:35:12Z,True,2014-01-14T16:35:12Z,0bb834ac90ed7f5acaaef1dffd00b432d03b24bf,1,1,ded13b0736c4ed13711d7ef3989907707aa282ca,,Install cmake config file to different location on Win32,See http://www.cmake.org/cmake/help/git-master/command/find_package.html for a list of valid install locations. 
