Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
simbody/simbody,16,2013-08-22T00:11:11Z,2013-08-22T00:12:24Z,True,2013-08-22T00:12:24Z,c7f71fdb569d9c8199f8c43ae5fe5f011397b4a7,2,2,08e63d99e18300fb78c0adbacac1161b3d497aed 70172d6df05cf86d46685be40ff2e02d876a18ba,,Two small fixes FindSimbody now works for 64 bit Windows MobilizedBody isSameMobilizedBody fixed,
simbody/simbody,45,2013-10-16T17:15:01Z,2013-10-16T18:17:51Z,True,2013-10-16T18:17:51Z,442127da6eaa3b02eaefc8651e199d555bb30922,1,1,9a987e31ff69cb77ce15bd40840a8def1e0cb766,,Removed debug message,This message is printed when someone uses the FindSimbody cmake file. I think it's just a debug message.
simbody/simbody,83,2013-12-12T23:13:37Z,2013-12-12T23:23:42Z,True,2013-12-12T23:23:42Z,774f5de04b5b76b9691c64e836dbbd717abb8891,11,1,e3ec7b4cbab077436fae8e1febdd1068a0099379,,Delete unneeded Doxyfiles for individual libraries These caused unwanted installation junk ,Now there is just a single doxygen target and it covers all three libraries (simtkcommon  simtkmath  simbody).
simbody/simbody,131,2014-03-28T16:34:25Z,2014-03-28T17:39:37Z,True,2014-03-28T17:39:37Z,a0c9d85796098fb64f99f1afdeb0140727fa9a86,3,2,a345bdcd56971403da91ee2bd4761652c2ab1d58 a78c840f6a3678a2f8c5f44fde97d85239d4ea2e,,Fixes 128,We should wait till travis passes.  Here's one of my commit messages  copied for convenience:  ``` In travis  use the -Werror flag  as advised by @scpeters. Doing so required me to improve how I add the -std=c++11 flag to CMAKE_CXX_FLAGS.  In the future  the way I set CMAKE_CXX_FLAGS should maybe conform to how @sherm1 has done it  with a separate BUILD_CXX_FLAGS variable. ```  By the way  I used cherry-pick here to get @sherm1's nlpqlp fix so that travis might pass. My first time using cherry-pick!
simbody/simbody,64,2013-11-11T12:22:57Z,2013-12-12T06:39:51Z,True,2013-12-12T06:39:51Z,dab32b92857050eb27f8da238258509657383b26,21,27,f4a95616709c43dcc69eb7977fc2e5c15d42c5e3 ce956537913bce77e54558cd43cf4c190a4afad3 bf915b90727d503d6ef9d23fead216b88e3a390f 3979bfa17b83a397f4054d7f1f1ac14e09fde4d6 0332d989601f7b85faf10791983a9414e670fb0c 88a6fcf039953b562171f80750a1a9e499f8b295 2b7c31060e86982dbc292697eb15e1cc80aa6887 87f5ea762399ff9348f41e88227daf0826723cbb ee4e224404c4b6f99ca1261c9c217ff5fe87f741 272842140d9899c7b23dd8892bb7fd0721fd547d b8e444256db03bf3ef9a6cb30b430aaf1319285b 763dbf4cf3eaee3f51a2ea36e26a017cd5df70a1 5df0ecbe1213afacb87ea7d864c42354d8eb05fc d80e89353d5ac18af99b465d24ff67c41dfd82b1 5d2f8fe712e56fa2dad389fe81d962c9bc8607da 1c88d6002d70980b0eeda71be3075dd147dc9539 e26c354174464db653a761742d2e96641f97a5e1 bb1f80d3379afcac078f2e9b49928dbe10423249 851f4d81eb8697c6d516d776919e85dcf352c4eb f67c917876384207996421cb232701901d91cb53 dec0e916ff96618a64391a363c87fa7a5876332d ff8fb771c5c693e182a6d2b6e6aed40e263ddb04 3061cdf18d964cb7597130fd65e5b95ebeea26be cf8fa6eecd2b128988dc660bc1e661d11eaa552a 2a3be0c12f290fb2a3f3265dde729df439837dc5 38d95ca333589088419b7abaa757e730f64a2d7e ac1e1b4a8099ce967c442cdda0a984d036d26662,,Standardize install paths and cmake finder,I've made some changes which should approach Simbody to the standard guidelines described by Debian policy and AFAIK they should be quite cross-platforms improvements  although testing in Windows/MacOsX would be nice. Detailed list: 1. Use GNUInstallDirs  which should provide canonical paths aware of the platform. 2. Change all the hardcoded paths to use the ones provided by GNUInstallDircs (CMAKE_INSTALL_DOCDIR  CMAKE_INSTALL_LIBDIR  etc). 3. Adapt and change name to cmake finder  generate it from a .in file to be aware of CMAKE_INSTALL_LIBDIR.   I will move the debian/ directory out of the source  but I have leaved here during the pull request so the great @thomas-moulard can review the debian metadata changes and maybe provide some feedback.
simbody/simbody,25,2013-08-30T07:47:49Z,2013-08-30T16:54:35Z,True,2013-08-30T16:54:35Z,8a80ec0a10d7c342b215d2521284d7e5d0998b2a,1,16,35aff561e8f0172812bb23f5eafc2badd32b996a 68c62fbea1db1ed6a36154d2364a6649492a682c 30230517e50eace1894198b010da189e6f3994c2 e26bb009c5d99efcffd45532710945fb45bdeebd 2a883cec9de062a1b5e0aa8c6a6d047032399c2c 3d18769d6daec83f215c6d862bb0db3b7234ac29 e03a99ffb4f021ab78ecea5d7f2d17d29be415b1 98abf8c4e96878d1759eee655dbbfbf96ba2aa1b c07a614feed15cab36198fd6d7701d254d5729d2 770acb2849b6937d73ca0ffc46be3b458bc32600 ccfab77e960aa429d8e7e25a426435fc33f7fbef b3457f87c866b5526b2c6fbbcc04d14810665175 4c177c491e55f31d1068708d46410c5d3700c592 c85f5acafd422ef82d5c6d7906a677d99968385c 496bcf8f059eebb6ee00fc3a17888ce9f53d0b1f 980de10badb5298a7fd13d3be489e100fd48c1ef,,Automated testing using Travis CI,You can view the tests as they're run  right after each commit  here: https://travis-ci.org/chrisdembia/simbody/builds. This is set up on my fork. You can see that the 8th test passed. To set it up on another account (user or organization)  see http://about.travis-ci.org/docs/user/getting-started/. Below  next to each commit  you can see a grey x  red x  or green check  indicating if the install worked  if the tests failed  or if the tests passed  respectively. The service is free for open-source projects.
simbody/simbody,53,2013-10-19T01:55:53Z,2013-10-22T03:47:41Z,True,2013-10-22T03:47:41Z,ede430174d64839747d3f137d88d4ffc00ae8aeb,22,4,c0fd1dc71870fb6501d819e52919e3a211beab8a e386b0ba33ffa42e747e9cfe16c303972f6d1b47 9d574674b6c2a5ee04548e4df42394cf3884e3b8 792d4a2ac0d734b80edf4ad8cdd6ef41367759b8,,Fix issue 27,Addresses issue #27. See commit messages for details. The text 'VisualizerGUI' does not appear in folder/filenames or in any files  except  Word doc's. The name of the VisualizerGUI is now simbody-visualizer.
simbody/simbody,170,2014-06-19T16:49:26Z,2014-06-19T17:08:54Z,True,2014-06-19T17:08:54Z,93532c28252be2c734d4a35cc626abc5a106be57,1,1,6f732f64fc3ff6705248febb031e4b642a4e0321,,Print test output upon failure ,One-line change to .travis.yml.
simbody/simbody,166,2014-06-14T23:06:48Z,2014-06-16T15:38:50Z,True,2014-06-16T15:38:50Z,40c50fba56f9ff7d83515194d365ada4af5da76d,2,6,ed2dd360d8329fed8d5d0d27a02bc68b6493bc6a 3b2eb98f4c2e6463aa4ae4066b43017c7d4483c0 144c35c8de33c19946b3576acd926210e9059a69 f1e00779eb7d65ff1f02dbd2eaf305e9f052ae92 7cd323b07f5970412b612d99b8bb62e229517a8f 450db53a9aa57f49d4a4b6d61f564d8ce554dc7c,,Travis and cpp11 updates,1. Cleaned up travis file; now building 8 times: c++11 on/off  build/release  and gcc/clang. 2. clang c++11 now passes on travis  b/c I'm using an up-to-date libstdc++. 3. On OSX  if using clang and c++11  we use the libc++ standard library instead. Tested on a mac and all tests pass.  Travis takes 19-20 minutes to run all tests now. Perhaps running tests for debug mode is overkill? I decided to do this because OpenSim's tests were failing in debug even though the tests passed in release.
simbody/simbody,194,2014-07-15T18:25:30Z,2014-07-15T19:21:23Z,True,2014-07-15T19:21:23Z,b1b446ad168c82e9cd006ce920ba01e01674689a,1,2,03bd33dec536b68dfa085792f196d8fa9911e3ee 4e8755d0577a4f4e4197296a8a453947e8fababe,,Add osx to travis ,Not ready yet. Need to make the PR to see if the osx tests get triggered.
simbody/simbody,200,2014-07-18T16:39:30Z,2014-07-18T17:08:04Z,True,2014-07-18T17:08:04Z,4bf2e164950bc5398b06755926862fe4243f7f21,1,1,dba6b7349788451338e18633352877ce82e0fe3a,, travis CMake not needed on OSX,See #194
simbody/simbody,202,2014-07-23T19:04:18Z,2014-07-23T20:32:22Z,True,2014-07-23T20:32:22Z,09b9d69e15b6d28fc229d8f1c8f5e8815398006b,3,1,436cc8564de0d3dc43da2a9543e35ce112fbc196,,SimbodyConfig cmake says where SimbodyDoxygenTagfile is ,This will be useful for resolving https://github.com/opensim-org/opensim-core/issues#122 in a cross-platform way.
simbody/simbody,203,2014-07-23T23:49:38Z,2014-07-24T15:45:53Z,True,2014-07-24T15:45:53Z,f4e5df779a959ed41c6b94b511dd33c57090f57b,3,1,ce69077f57d0bbd659449b37ad020321dba90067,,Need more info in SimbodyConfig cmake for tagfile ,This commit contains changes necessary to get OpenSim's doxygen hooked up with Simbody's.
simbody/simbody,91,2013-12-18T01:20:28Z,2013-12-20T19:22:09Z,True,2013-12-20T19:22:09Z,675c05bc0c023a92da4c17f95ad6b76fdeb1a411,5,5,7d21342c79d599d72d3ef4619aca905820fbd3d0 1348aae6e601f8895e970e139e9498fffee2e04c 16502f4f0fef961bf288442cc1c63d672f416642 9355e871634bd8a857890d3f5d0488ae55de2938 78cd0ef8645195c15aa426067d9c3983f81d5072,,Fix 65 Provide cmake config file,I've created a cmake config file that will be populated at build time with the installed location of include folders and libraries. I also restored the FindSimbody cmake module.  This fixes #65.
