Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
cyberbotics/webots,1,2018-11-30T16:18:45Z,2018-12-03T07:52:25Z,True,2018-12-03T07:52:25Z,ceda9e83e391c7b0bef67137723b494b3e85f6f9,2,3,54b815dc8850e8ced7f534349f2c35a535c2d12a 02a3a8d7b13704b93ce704cb32d3875872d0f315 5c79f289ce58f275a7238a1bf8d3170a7e7b4819,enhancement,Update README md,👍
cyberbotics/webots,2,2018-12-03T15:56:30Z,2018-12-03T16:44:39Z,True,2018-12-03T16:44:39Z,2c1b333f3f362ce3c57da243843f1c92d95f1fff,2,2,76710fe2fe5366694a94709ef48fb7dadefd2022 ec493ddf5866b95ee8b3399a6a0e0a5b45e40cb2,bug,Added Missing ODE Include File ,This file was wrongly in the gitignore and hasn't therefore been migrated.
cyberbotics/webots,4,2018-12-04T09:08:43Z,2018-12-04T09:28:21Z,True,2018-12-04T09:28:21Z,21ae133d08435a4d4a710c83c7fac8b065d2186e,1,1,70c843cd1b5717dfc78f7c2bc27c639b453a345a,bug,Fix path,Ditto
cyberbotics/webots,5,2018-12-04T11:09:50Z,2018-12-04T12:30:11Z,True,2018-12-04T12:30:11Z,2fb41d497c8445daf77885061b1684a8edb3d694,5,5,f007babc9e474f71516370e5af11e5ee2c367720 6627abbcf4e9e1e6ef95659253b05da724cbf482 504d681ed5e125fd1fbb92004985ec195d6124d3 342452bb211e617ba6dbca43ce9518d11b68802f 39e4e4b1b7ed11ebc009405b74b11b46307454d4,enhancement,Improve macOS optional dependencies,- [x] Upgrade to Python 3.7 on macOS: _As this dependency should be installed separately  there is no reason to remain on Python 3.6._      - [x] Update Makefile  doc and change log accordingly.  - [x] Fix java detection on macOS: _JAVA_HOME was not mandatory on mac  but was used as a test to detect the java installation_  - [x] Fix Python version in the linux build output (3.7 was displayed while 3.6 was used)  - [x] Fix consistency with the other wiki pages (mainly the linux installation one)      - [x] Add a bash_profile.mac file and updated the wiki accordingly: https://github.com/omichel/webots/wiki/macOS-installation#setup-your-bash-profile      - [x] Remove the "develop" directory  
cyberbotics/webots,6,2018-12-04T11:56:13Z,2018-12-04T13:25:45Z,True,2018-12-04T13:25:45Z,6504b0c199818d5f73031d5700d375212b0d3fae,2,1,464a41c85ef27c1d560d5624c1dd3b7434839b16,enhancement,Removed Unwanted BMWX5 Motor Sounds ,These motors (for indicator lever  mirror angles) shouldn't produce sounds.
cyberbotics/webots,7,2018-12-04T12:55:01Z,2018-12-04T13:30:45Z,True,2018-12-04T13:30:45Z,019cc20031c59b6f389c1bdf2ef2a918b629aa4f,1,1,4a61e8cc0f55fefe9e5b3e16c29564727a4d445e,enhancement,Improve iRobot create perspective,Do not display the ground display.
cyberbotics/webots,8,2018-12-04T13:29:08Z,2018-12-04T13:41:34Z,True,2018-12-04T13:41:34Z,e754dd897aa77ab845f15452aca673c678ad338c,1,1,2a3bb5e5be40c2ccd51ab8815db9f856715d7fe7,bug,Fix CircleArena,Before:    ![before](https://user-images.githubusercontent.com/866788/49444900-c7ac0d80-f7d0-11e8-9751-7275f3e08f83.png)    After:    ![after](https://user-images.githubusercontent.com/866788/49444898-c7ac0d80-f7d0-11e8-9823-e99b370d1c74.png)  
cyberbotics/webots,10,2018-12-04T14:14:54Z,2018-12-04T14:48:32Z,True,2018-12-04T14:48:32Z,54c0844259c898f8a7153b77ffd231740dd1f01d,8,9,7c8779c12f8aa4551dd76ca155e2c5a31cfd84a4 2aef7184ba92e7446dc2abb92dd8cb79fa5bde86 809c277e2e9f4e1f158ffa314c4ba7fb641ef891 6877f7eb13aa25f3f4c1393413445ccfe4edfae6 bc71dc9ed0b3a4c024d91b54053cad2009b6e30e 2503e830415e6fcb96ed14e93f7edcdd3d7af79b 48d3ca1410b6601c8b50c6820c214aeba6f04676 4a01848521d11264fafa3fe98f4558c3beb4620f 8042d998c1f5c9f6128af1d5068f2d5370c30206,bug,Fix macOS packaging,Ditto
cyberbotics/webots,3,2018-12-03T17:25:15Z,2018-12-04T14:50:17Z,True,2018-12-04T14:50:17Z,169670223d728d5e70d87e9c3245d5f78a402fc7,1,2,ec181204f9c81ac30c6182094adc2756dffaaab3 4c342947994adbbdab0fb6eaad7b06bfae3be31d,enhancement,Add Enumeration to Car Fields,Simplify use of the Car PROTO by adding enumerations to the `type` and `engineType` fields.
cyberbotics/webots,12,2018-12-04T15:12:45Z,2018-12-04T15:20:07Z,True,2018-12-04T15:20:07Z,6aee488c62dd0ba211690f7c11678b211d02fdc7,1,1,5ab5acabac70a129751564dd3bceb0630c6d7f53,bug,Hotfix BmwX5 Missing Field,This field was wrongly removed when fixing conflicts in another branch (pbr-everything).
cyberbotics/webots,11,2018-12-04T14:51:31Z,2018-12-04T15:31:49Z,True,2018-12-04T15:31:49Z,ac405662270c90685d4d4beed970bad236068881,2,2,78e8fc73bc3665b612f1da9fb8c08ab36ef80900 af3325d32139918119e544b09f09549c0bca1351,bug,Hotfix movie creation on windows,Fixes #9.
cyberbotics/webots,16,2018-12-05T13:33:32Z,2018-12-05T14:22:49Z,True,2018-12-05T14:22:49Z,b71f7c1745a8660af1031a5d473152d691195993,4,1,9964cc93ec4810f2649c7f0c9ebb4253bf4e8798,enhancement,Convert OSM Importer to PBR ,The OSM importer was still using the old appearance node.
cyberbotics/webots,15,2018-12-05T11:22:20Z,2018-12-05T14:49:12Z,True,2018-12-05T14:49:12Z,cc80391aa80b673093ba3a6b32b97f2d0002ead9,3,4,7b8e90abda9856d23dd905e98896c2cf0d89c5f1 f7cec063eeeabd8c06cf98fb7bf5b475c677765c 18eaadf62a5d17af213f0d09432545c387e30139 62f73307a87a8b754c9f152810fffc381b9888f2,enhancement,Improved Real Time Speed Computation for Worlds with a non 32ms TimeStep,Real-time formula was based and calibrated for a 32ms time step.  This was causing problem for other time step  especially the fact that the increment is an interger. For example  with a time step of 10ms  an increment of 1 means a difference of 10% which is non-negligible.
cyberbotics/webots,13,2018-12-04T16:10:57Z,2018-12-05T14:24:17Z,True,2018-12-05T14:24:17Z,c53011ce5bf7dc4946fe92b236aa19a516443f48,35,14,30f23763cb0e8c7c5326c80e63940257dfa76af9 a3cbe2427d8bdd0d2a076ed77ab5a7f50cef68aa 2620e6d2c7bd2530df2d0544888a6354002eaf84 5296361e03c99f3e07b82ff49c402c69a0c09bb9 fdf63f5e6ddbf16582a763b7bbed0f51278ea7fd cb85e41477d96280e88436f7832fc9b930d9fdf0 105106d16a14f06ca7793a9c61466274141bb943 ab7911e3ebc0c1064f5d1e7de37cbda0e8e5a6dd 02c955ce0e7c440eddd1d9ae72a2481e67f34c9b afba12a5adaefecf44be569c631a576ef8900bf2 125dac0892a1957fa79b3162c08361cb016a6b5f cca8b89003400ed5b500f3c29a2edafa7303292c b1200c903282f78899868c8a8e4e11f1cd41ee95 9a82f162794d9e0137f81ba4c1aba21628725b36,enhancement,E puck2 wifi remote control library,This PR adds a new remote control library for the e-puck2 robot  allowing to remote control this robot over wifi.
