Project,PNumber,CreatedAt,ClosedAt,isMerged,MergedAt,MergedCommit,nFiles,nCommits,Commits,Labels,Title,Body
cyberbotics/webots,2,2018-12-03T15:56:30Z,2018-12-03T16:44:39Z,TRUE,2018-12-03T16:44:39Z,2c1b333f3f362ce3c57da243843f1c92d95f1fff,2,2,76710fe2fe5366694a94709ef48fb7dadefd2022 ec493ddf5866b95ee8b3399a6a0e0a5b45e40cb2,bug,Added Missing ODE Include File,This file was wrongly in the gitignore and hasn't therefore been migrated.
cyberbotics/webots,4,2018-12-04T09:08:43Z,2018-12-04T09:28:21Z,TRUE,2018-12-04T09:28:21Z,21ae133d08435a4d4a710c83c7fac8b065d2186e,1,1,70c843cd1b5717dfc78f7c2bc27c639b453a345a,bug,Fix path,Ditto
cyberbotics/webots,5,2018-12-04T11:09:50Z,2018-12-04T12:30:11Z,TRUE,2018-12-04T12:30:11Z,2fb41d497c8445daf77885061b1684a8edb3d694,5,5,f007babc9e474f71516370e5af11e5ee2c367720 6627abbcf4e9e1e6ef95659253b05da724cbf482 504d681ed5e125fd1fbb92004985ec195d6124d3 342452bb211e617ba6dbca43ce9518d11b68802f 39e4e4b1b7ed11ebc009405b74b11b46307454d4,enhancement,Improve macOS optional dependencies,- [x] Upgrade to Python 3.7 on macOS: _As this dependency should be installed separately  there is no reason to remain on Python 3.6._      - [x] Update Makefile  doc and change log accordingly.  - [x] Fix java detection on macOS: _JAVA_HOME was not mandatory on mac  but was used as a test to detect the java installation_  - [x] Fix Python version in the linux build output (3.7 was displayed while 3.6 was used)  - [x] Fix consistency with the other wiki pages (mainly the linux installation one)      - [x] Add a bash_profile.mac file and updated the wiki accordingly: https://github.com/omichel/webots/wiki/macOS-installation#setup-your-bash-profile      - [x] Remove the "develop" directory
cyberbotics/webots,13,2018-12-04T16:10:57Z,2018-12-05T14:24:17Z,TRUE,2018-12-05T14:24:17Z,c53011ce5bf7dc4946fe92b236aa19a516443f48,35,14,30f23763cb0e8c7c5326c80e63940257dfa76af9 a3cbe2427d8bdd0d2a076ed77ab5a7f50cef68aa 2620e6d2c7bd2530df2d0544888a6354002eaf84 5296361e03c99f3e07b82ff49c402c69a0c09bb9 fdf63f5e6ddbf16582a763b7bbed0f51278ea7fd cb85e41477d96280e88436f7832fc9b930d9fdf0 105106d16a14f06ca7793a9c61466274141bb943 ab7911e3ebc0c1064f5d1e7de37cbda0e8e5a6dd 02c955ce0e7c440eddd1d9ae72a2481e67f34c9b afba12a5adaefecf44be569c631a576ef8900bf2 125dac0892a1957fa79b3162c08361cb016a6b5f cca8b89003400ed5b500f3c29a2edafa7303292c b1200c903282f78899868c8a8e4e11f1cd41ee95 9a82f162794d9e0137f81ba4c1aba21628725b36,enhancement,E puck2 wifi remote control library,This PR adds a new remote control library for the e-puck2 robot  allowing to remote control this robot over wifi.
cyberbotics/webots,38,2018-12-07T17:10:13Z,2018-12-12T08:14:41Z,TRUE,2018-12-12T08:14:41Z,c3cd64833f8b52a9ce71b5365f1c2035edb590f8,11,10,c4a3af9d6c61c351b9888263f1b613e016e97488 61eb616ba9e65b1a1b799ca6edc6e4eb25774c2c 11e7a901eb6f8dd88a998a50d5b6dcfa5945113b 702b354c4004d39be02495806ed56fabd2883b57 5824170a61aa41603b809ca013242901002b0748 c052309aba0c9aa1cbddf9bffd6f12f31fd3f0b5 417b9cf9e3eda08ed489c813f8d182c5180cfff8 b24568a3394a2d22c4e1a9163194abd9a65c0a7a 148b06922ed71c58f835f3978f221790a6b94e66 ffb38bec492e6240edd7ae5db449b3a8aa5eb56a,bug,Fix Windows distribution,Fixes #33  #34 and #36.  Unfortunately  I could not fix #35.
cyberbotics/webots,86,2018-12-17T07:49:12Z,2018-12-17T07:54:39Z,TRUE,2018-12-17T07:54:39Z,a77d5095f1017cb1f1547af4c7e1af50d573a943,1,1,ca2ac729284f96fb50ee2f4d602aa8578d60d786,enhancement,Improve macOS SDK detection when XCode is not installed,Thanks to Irina https://www.cyberbotics.com/forum?message=8729
cyberbotics/webots,87,2018-12-17T07:50:26Z,2018-12-19T10:11:23Z,TRUE,2018-12-19T10:11:23Z,f20243ae42d4d06e4e54db8af3a03863f50c681c,23,20,b4ced2b58d67d8f09cba5d847e23d902ae0fda8e 8bf49a1d2fab1768c3a8c0b3a9e4291f407ffdcf f93346414f07be0c717f29a45d768908f8b44439 fca07a74ddd6b2f05371e2cf3578cf8132b4f337 8860fbee607757c89c63aa62d34cbcf38a9c91b0 a0dc0f1e6ed5ee50e6927b25c62239fd101f2922 25a79363bc585c580c05aacf5324f965578adc45 27dd75216ea27eacae39486afee0fa903fb3e21c deb063c40676530e7c50c96424ac3156dc1dfa8b b5f63d03f3244cf0c5e97bb696f3951b45bda9a9 7c10a0481f05e2d8d08c96d5ce06dcaba170c6bf be074dd1e6e284d220266d5173bcee598372ea61 46f149c55d273b03b8a59fb228e9a987764f8009 4c4343975955b7a90e0f59ab1914a097f5d21f6b 7aa9f20449297b366f87f0dcf7801489df471f66 b1c8725e5fb6a6a26dab70cce52386ec4fb8dda4 bd78ef14d0118e7338e796628adcfa00cef9659f 841aa865d0fe34a331f1ad5109af167edd394695 927c5c5f63f1ce4648e5aef249296b64a71962b1 acf3737fa7394d4964ed26f4d8b1a477a5c3d1bc,enhancement,Refactor Post Processing for Cameras,This PR refactors camera post-processing to function in the same way as for `WbViewpoint` and `WbVirtualRealityHeadset`.    GTAO + Bloom coming in a separate PR.    The one caveat is still that we must manually apply the spherical camera merge as it is not linked to any single viewport.
cyberbotics/webots,97,2018-12-18T13:11:22Z,2018-12-19T13:22:00Z,TRUE,2018-12-19T13:22:00Z,ded23776c4eb65aa5704a633a15998837a9fbdcb,8,38,77abca94c01557e3094792a796d77b497fe4f25d cd21b73bd31cb78188bf7682e3fda6a4d02c7071 faf31f3049c7368de82ae183b32683df4ca071d1 c12e6c284984ea2c8c235bc49d55128dd51beb51 42ecfac5efafc7b9b350cf74e39f9c925f8152d3 acdb77e8aca54117de27b6029efb59ff450eba9d e45591ef80aeeddbb7d3e45699f3df027d2922a3 8470e3cdd8f165bec298e42a2fd592ca502b8571 8fca27467237cb849e5b6a506734dd4f7137428f 84185dfa03eaf7df29788dee1e452ad93aa69ae3 df84075f17d6f257c1b99fb5f1d1977f47409fbd 24401c166855990ef94732aa7321078cbaba8a34 384ee9321efeea70fd4066094a8708e50c8f4ebd 2ff15f2ee827b9103e3d7bdfe527e3e6477425cc ff2a735350766c1809711ee3b373725867b8a985 670ec68b9c6ac3b352b8c884d2a423bc8d274bb9 080c25b77416c5d42d271ed9483a0c2f1386ab7b 8ff4ac2dc896410b8d7fd0508cd06694fa406a3c 2d7171ef5587d9125b13e6636a72a1d9752ea950 9bd3f84f6a72c98307191c3a035d569ce99ab0b3 f4251e2aeeb6c0c80bee3268f9bd89410f2f9052 9fd3567a78e17a1105c9119bd8cfe55a09d9aa6b eb073bc8eaba6eecfd0095b8c5dd5263fc345ffb 0219ba441f3cee5780d0525f666f28f42d44ce93 26fa48b18b0d7b8bd7d33ab1eb04bb89873c3372 b1f70f181b5be7a8b8cd87eebc3c415b0f1dd4e1 6e7acc72ccbee637f7dff130818b6d712d601343 f65aa958f6fd1144f5119ec86caa09b529b0c8df c113469f4fe368eac712ce91050fdfb2e6cb8db3 1b95e526ac97a6120a349a50e9d1998d730480bd 4ca407c0eeba7ac1e5e9a6e7479bec14996840f8 c722d0cdd1809adfc986fd5c72bc4ba3fb89be46 e4c9495bed02cbc4e63cc2d09c827d1247113741 f2b3a64e6c0bd2a6041034b9c372a5c3e78c988f 6a679fc306c7feb2c279a4238bef07229eadb219 a9849aee12e34c9fd115986cdb71ad0e8f49edd4 1a327fb79833da30404a91df210af01accfb4bb2 fb11ba4ff5dbb3d624905fc3b8f7b0a7186c95e2,enhancement,Enable Travis,The goal of this PR is to switch some of the tests to Travis.
cyberbotics/webots,103,2018-12-21T10:15:42Z,2018-12-21T10:49:36Z,TRUE,2018-12-21T10:49:36Z,0ad0daed7adfea25f67bf83fbeb2f1716fa0c18a,1,1,c42beb65c0b4c50608af8c3f228093b6e9f60143,bug,Fixed Compilation of Java Controller when Swig is not Installed,On windows if the `src/install_scripts/msys64_installer.sh` is not run with the `--all` argument but the `JAVA_HOME` environment variable is set  the correct warning is displayed when trying to compile the Java API but not when trying to compile the controllers.
cyberbotics/webots,109,2019-01-08T17:27:19Z,2019-01-08T17:37:43Z,TRUE,2019-01-08T17:37:43Z,de185c7dd17e82759c04d89dd366d836d0523c91,1,1,50b337f9aa92ac3aa983ee6b045f98a16ea32f7e,bug,Fix Java Make Clean,The make clean for the Java controller was broken from the main compilation process because the Java wrapper is deleted first and therefore the clean rule was never defined.
